"","drift","bound","ter","sub","condition","alpha","beta","manip","resid","difflevel","fixed_parameter","Npar"
"1",0.112144282007518,0.0834405235340187,0.388101079338505,"51","minus",24.1860115774296,-1.183824111587,"alpha",0.00697761997247544,"easy","alpha",4
"2",0.197045568128479,0.0684742109350537,0.510605435047802,"53","minus",33.0687602799601,-0.87827756579709,"alpha",0.00097329683586701,"easy","alpha",4
"3",0.0782469259816228,0.0740382718275091,0.354595027716,"54","minus",12.6605919435493,-0.330400933372436,"alpha",0.00383229900449066,"easy","alpha",4
"4",0.133846245458484,0.0647612228747268,0.38621958809302,"55","minus",39.3076739200728,-1.9376322989642,"alpha",0.00421238827157397,"easy","alpha",4
"5",0.0754792546459808,0.103347103554275,0.251904457039791,"56","minus",17.6789377498273,-0.616745523423387,"alpha",0.0042303829820563,"easy","alpha",4
"6",0.152735788752017,0.0563613609580872,0.44388644398184,"57","minus",37.0980281804939,-0.941076732272848,"alpha",0.0034990697164206,"easy","alpha",4
"7",0.157817932164101,0.0734479701551208,0.633939133062754,"58","minus",11.9128997025617,-1.06865696447726,"alpha",0.00399212750686342,"easy","alpha",4
"8",0.16577808872761,0.0882168440095311,0.55474731379974,"59","minus",32.6891301056499,-1.53033575259174,"alpha",0.00212856518424085,"easy","alpha",4
"9",0.133976237857305,0.105455512790854,0.487355260014647,"60","minus",14.5649050162633,-0.400040194580705,"alpha",0.00131165422869173,"easy","alpha",4
"10",0.0976613427991065,0.0738150680068587,0.389713393898658,"61","minus",15.2926491105005,-0.307359552619699,"alpha",0.00285985265899299,"easy","alpha",4
"11",0.173518323011129,0.0867105895809854,0.436243398116001,"62","minus",17.0055976364894,-0.954022043930776,"alpha",0.00213819948968935,"easy","alpha",4
"12",0.211837701470266,0.0896880949104327,0.564460997617206,"63","minus",13.0601051552613,-0.55759378320728,"alpha",0.00148855667772789,"easy","alpha",4
"13",0.132130782406415,0.0721310973509325,0.516531226660664,"64","minus",16.0574908318348,-0.678945744884726,"alpha",0.00599495745829699,"easy","alpha",4
"14",0.173555573778197,0.0530386244598505,0.456806145688194,"65","minus",7.92545355082144,0.16764183437079,"alpha",0.00121484014103342,"easy","alpha",4
"15",0.0954769965842926,0.074936482279096,0.493466853689756,"67","minus",24.7981272596794,-1.19843134982734,"alpha",0.00304339749084925,"easy","alpha",4
"16",0.223731759366357,0.0576820034756159,0.524631059581548,"68","minus",10.3122355742558,-0.143973779910638,"alpha",0.00248898543067987,"easy","alpha",4
"17",0.155108723619795,0.0782761976007007,0.488433619512927,"69","minus",9.46627757573418,-0.277499076506964,"alpha",0.00149677260153115,"easy","alpha",4
"18",0.0706904473931242,0.0891608305954342,0.162474195439905,"70","minus",21.305459509623,-2.14231423230903,"alpha",0.00516925349261124,"easy","alpha",4
"19",0.135048940421442,0.07672209119672,0.589367565296951,"71","minus",6.23521777274264,0.284784415924919,"alpha",0.00138916224073524,"easy","alpha",4
"20",0.0992032912443283,0.0742553858891369,0.339116890899221,"72","minus",8.30833424329313,0.284250686519681,"alpha",0.00384979084256766,"easy","alpha",4
"21",0.14528904936878,0.072686127065763,0.494491395752836,"73","minus",7.43758878589706,0.194724069992993,"alpha",0.0024475037251745,"easy","alpha",4
"22",0.147788538323234,0.073652248308535,0.38636098153696,"74","minus",40.2654013368781,-1.21492008337232,"alpha",0.00203963396821967,"easy","alpha",4
"23",0.114651364209414,0.0666704575752921,0.447515528060214,"75","minus",15.9740552479388,-0.246568278990859,"alpha",0.00411731681400419,"easy","alpha",4
"24",0.0956963489977205,0.0778303077737581,0.514973268061001,"76","minus",11.111750125935,-0.0876541991139364,"alpha",0.00588300688456527,"easy","alpha",4
"25",0.172872244793084,0.0632694149270278,0.514554146622267,"77","minus",5.98325517666834,0.00935255572243367,"alpha",0.00278426792983197,"easy","alpha",4
"26",0.215255768311963,0.0847905046034794,0.524376019458621,"79","minus",14.0286659815113,-0.644215740887889,"alpha",0.00188509150471005,"easy","alpha",4
"27",0.149037872084086,0.0875634851188893,0.632956878019592,"80","minus",13.7486643961594,-1.01567652167217,"alpha",0.00587891091743956,"easy","alpha",4
"28",0.191349991564408,0.0841593786210336,0.476359852788729,"81","minus",5.10784472827536,0.387533512757557,"alpha",0.00188995362648205,"easy","alpha",4
"29",0.110671889828514,0.0785454650703185,0.395152722440049,"82","minus",16.3439159158874,-0.787290516200372,"alpha",0.0075624854869091,"easy","alpha",4
"30",0.137841725564975,0.0887525260608524,0.51819636298715,"83","minus",17.9496284966892,-0.529589186565083,"alpha",0.0023719216361741,"easy","alpha",4
