starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1714638886,dotcolour,dotcolour,xotask,0,0,0,0,training,positivefb,92,hard,35,3.0172458999995797,['n'],1,right,['3'],4,1.7266142000007676,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,1,0,1,1,training,positivefb,97,easy,65,1.716417999999976,['c'],1,left,['1'],6,1.7561799999994037,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,2,0,2,2,training,positivefb,96,hard,36,1.7336031000004368,['n'],1,right,['1'],6,2.143998499999725,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,3,0,3,3,training,positivefb,95,easy,16,3.1508567000000767,['n'],1,right,['3'],4,2.116755299999568,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,4,0,4,4,training,positivefb,89,average,52,2.400503800000479,['c'],1,left,['1'],6,0.9914167000006273,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,5,0,5,5,training,positivefb,85,hard,42,2.800434700000551,['c'],1,left,['2'],5,1.1754113999995752,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,6,0,6,6,training,positivefb,99,average,26,1.450212100000499,['n'],1,right,['9'],2,1.9031804999995074,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,7,0,7,7,training,positivefb,70,hard,41,4.066808999999921,['n'],0,left,['8'],3,1.007440499999575,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,8,0,8,8,training,positivefb,90,hard,36,1.4341425000002346,['c'],0,right,['3'],4,1.0540532000004532,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,9,0,9,9,training,positivefb,88,average,52,1.1670613999995112,['c'],1,left,['2'],5,1.0294690000000628,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,10,0,10,10,training,positivefb,79,average,26,0.9505829999998241,['n'],1,right,['2'],5,2.7756769999996322,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,11,0,11,11,training,positivefb,100,easy,19,1.3839726000005612,['n'],1,right,['2'],5,3.2170554000003904,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,12,0,12,12,training,positivefb,87,easy,16,1.6160372999993342,['n'],1,right,['1'],6,0.782180100000005,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,13,0,13,13,training,positivefb,95,average,29,1.4164478000002418,['n'],1,right,['2'],5,0.9347307999996701,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,14,0,14,14,training,positivefb,51,hard,39,2.499342600000091,['n'],1,right,['3'],4,1.0694063999999344,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,15,0,15,15,training,positivefb,87,average,55,1.2342588000001342,['c'],1,left,['1'],6,1.5617190000002665,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,16,0,16,16,training,positivefb,96,easy,64,0.850422499999695,['c'],1,left,['1'],6,0.7925619999996343,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,17,0,17,17,training,positivefb,96,easy,63,0.8679472000003443,['c'],1,left,['1'],6,0.5510753999997178,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,18,0,18,18,training,positivefb,96,average,52,1.0676498999991964,['c'],1,left,['1'],6,0.397734500000297,,,4,20,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,19,0,19,19,training,positivefb,99,average,25,0.633358699999917,['n'],1,right,['1'],6,0.6603095999998914,,,4,20,Vrouw,Rechts,1,
