starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714978727,xotask,xotask,xotask,0,0,0,0,training,positivefb,99,average,61,6.716368999999986,['c'],1,left,['2'],5,9.263975300000084,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,1,0,1,1,training,positivefb,92,easy,73,3.133299900000111,['c'],1,left,['2'],5,1.557774800000061,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,2,0,2,2,training,positivefb,96,easy,73,3.1677243000001454,['c'],1,left,['2'],5,1.456372999999985,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,3,0,3,3,training,positivefb,48,hard,50,2.6674308999999994,['n'],0,left,['3'],4,2.14705529999992,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,4,0,4,4,training,positivefb,58,average,62,1.6831657000000178,['c'],1,left,['2'],5,0.7697710999998435,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,5,0,5,5,training,positivefb,86,average,19,2.083247300000039,['n'],1,right,['2'],5,1.927891099999897,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,6,0,6,6,training,positivefb,78,average,61,1.4331222000000707,['c'],1,left,['2'],5,0.8810611999999765,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,7,0,7,7,training,positivefb,86,average,60,4.184750599999916,['c'],1,left,['2'],5,0.7749696999999287,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,8,0,8,8,training,positivefb,98,easy,6,1.3511756000000332,['n'],1,right,['2'],5,0.7304991000000882,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,9,0,9,9,training,positivefb,94,easy,9,1.43434400000001,['n'],1,right,['2'],5,0.38041690000000017,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,10,0,10,10,training,positivefb,77,average,61,1.6662684000000354,['n'],0,left,['2'],5,0.6109722000001057,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,11,0,11,11,training,positivefb,82,hard,29,1.4333716999999524,['n'],1,right,['2'],5,0.3619613000000754,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,12,0,12,12,training,positivefb,49,easy,70,1.8167759000000387,['c'],1,left,['2'],5,0.44313709999983075,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,13,0,13,13,training,positivefb,98,hard,26,1.2011552000001302,['n'],1,right,['2'],5,0.5940461999998661,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,14,0,14,14,training,positivefb,93,average,16,2.350740099999939,['n'],1,right,['2'],5,0.6204780999999002,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,15,0,15,15,training,positivefb,98,easy,5,1.1680899000000409,['n'],1,right,['2'],5,0.3249369999998635,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,16,0,16,16,training,positivefb,96,easy,5,1.2175962000001164,['n'],1,right,['1'],6,0.9918314000001374,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,17,0,17,17,training,positivefb,30,average,16,3.133011599999918,['c'],0,right,['2'],5,0.44314780000013343,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,18,0,18,18,training,positivefb,92,hard,25,0.9003376999999091,['n'],1,right,['2'],5,0.8775567000000137,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,19,0,19,19,training,positivefb,76,average,18,1.0671566999999413,['n'],1,right,['1'],6,1.2405745999999453,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,20,0,20,20,training,positivefb,84,hard,29,1.150410999999849,['n'],1,right,['2'],5,0.4250733000001219,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,21,0,21,21,training,positivefb,99,easy,6,1.0501010999998925,['n'],1,right,['2'],5,2.8227206999999908,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,22,0,22,22,training,positivefb,96,average,18,0.9169772999998713,['n'],1,right,['2'],5,0.5206129000000601,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,23,0,23,23,training,positivefb,94,easy,9,0.8833716999999979,['n'],1,right,['2'],5,0.32849480000004405,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,24,0,24,24,training,positivefb,91,average,64,2.267097700000022,['c'],1,left,['3'],4,2.2652658000001793,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,25,0,25,25,training,positivefb,99,average,62,1.1166897000000517,['c'],1,left,['2'],5,0.7372402999999395,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,26,0,26,26,training,positivefb,96,hard,25,1.2345417999999881,['n'],1,right,['2'],5,0.8265773000000536,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,27,0,27,27,training,positivefb,97,hard,26,0.9499078000001191,['n'],1,right,['2'],5,0.3718684000000394,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,28,0,28,28,training,positivefb,92,hard,52,1.633324200000061,['c'],1,left,['2'],5,0.42789059999995516,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,29,0,29,29,training,positivefb,65,hard,51,1.5674431000002187,['c'],1,left,['2'],5,0.4845611999999164,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,30,0,30,30,training,positivefb,98,easy,74,1.6671010999998543,['c'],1,left,['2'],5,0.5659370000000763,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,31,0,31,31,training,positivefb,95,easy,7,1.1665572000001703,['n'],1,right,['2'],5,0.42490299999985837,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,32,0,32,32,training,positivefb,93,average,17,0.799755100000084,['n'],1,right,['2'],5,0.35257590000014716,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,33,0,33,33,training,positivefb,94,easy,7,1.0168883000001188,['n'],1,right,['2'],5,0.7539612000000488,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,34,0,34,34,training,positivefb,83,hard,52,3.5335377000001245,['c'],1,left,['2'],5,0.5104890000000069,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,35,0,35,35,training,positivefb,97,easy,6,0.916725599999836,['n'],1,right,['2'],5,0.5579158000000461,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,36,0,36,36,training,positivefb,87,hard,27,3.5846257999999125,['c'],0,right,['2'],5,0.4887026999999762,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,37,0,37,37,training,positivefb,97,easy,73,0.9675095000000056,['c'],1,left,['2'],5,0.454599799999869,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,38,0,38,38,training,positivefb,85,average,19,2.08376659999999,['c'],0,right,['2'],5,0.2730248999998821,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,39,0,39,39,training,positivefb,96,average,16,1.2344693000000007,['n'],1,right,['2'],5,0.6212983000000349,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,40,0,40,40,training,positivefb,70,hard,53,0.9675909000000047,['c'],1,left,['2'],5,0.3739018000001124,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,41,0,41,41,training,positivefb,92,easy,74,0.9670577999997931,['c'],1,left,['2'],5,0.37601169999993544,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,42,0,42,42,training,positivefb,98,easy,71,1.3172521999999844,['c'],1,left,['1'],6,0.8692098999999871,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,43,0,43,43,training,positivefb,97,hard,26,0.8671194999999443,['n'],1,right,['2'],5,0.38361349999991035,,,16,21,Vrouw,Rechts,1,
,xotask,xotask,xotask,44,0,44,44,training,positivefb,95,easy,73,0.8336638000000676,['c'],1,left,['1'],6,0.7029849000000468,,,16,21,Vrouw,Rechts,1,
