starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714984234,xotask,xotask,xotask,0,0,0,0,training,negativefb,1,easy,70,0.8173329999999623,['n'],0,left,['9'],2,1.4703382999996393,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,1,0,1,1,training,negativefb,19,easy,9,1.7673038000002634,['c'],0,right,['9'],2,1.1963723999997455,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,2,0,2,2,training,negativefb,68,average,61,1.1512125999997807,['n'],0,left,['8'],3,1.4955689999997048,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,3,0,3,3,training,negativefb,51,hard,50,1.666220500000236,['n'],0,left,['9'],2,0.9849332999992839,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,4,0,4,4,training,negativefb,93,easy,72,1.2169658000002528,['c'],1,left,['3'],4,0.9359395000001314,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,5,0,5,5,training,negativefb,76,easy,73,1.465679099999761,['c'],1,left,['3'],4,0.7126136000006227,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,6,0,6,6,training,negativefb,96,hard,28,1.2837142000007589,['n'],1,right,['8'],3,0.7769131000004563,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,7,0,7,7,training,negativefb,61,average,62,1.5838405000004059,['n'],0,left,['8'],3,0.4505944000002273,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,8,0,8,8,training,negativefb,96,average,64,0.9672160999998596,['c'],1,left,['3'],4,1.0347431999998662,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,9,0,9,9,training,negativefb,76,average,16,1.400585499999579,['n'],1,right,['3'],4,0.4972498999995878,,,18,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,10,0,10,10,training,negativefb,71,average,15,1.9004304999998567,['n'],1,right,['3'],4,0.969565500000499,,,18,18,Vrouw,Rechts,1,
