starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714984273,xotask,xotask,dotcolour,0,0,0,0,training,negativefb,11,average,64,4.6175757999999405,['n'],0,left,['8'],3,6.1904766999996355,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,1,0,1,1,training,negativefb,69,hard,28,4.433328999999503,['c'],0,right,['9'],2,3.4989584999993895,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,2,0,2,2,training,negativefb,70,hard,26,2.982941799999935,['n'],1,right,['9'],2,2.0382604000005813,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,3,0,3,3,training,negativefb,22,hard,50,2.433070499999303,['n'],0,left,['9'],2,1.9954012999996849,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,4,0,4,4,training,negativefb,94,average,16,2.13297859999966,['n'],1,right,['2'],5,2.286121999999523,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,5,0,5,5,training,negativefb,97,average,60,1.700451300000168,['c'],1,left,['2'],5,1.2537913999994998,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,6,0,6,6,training,negativefb,78,easy,73,1.7505989999999656,['c'],1,left,['2'],5,1.0220112999995763,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,7,0,7,7,training,negativefb,36,easy,9,1.366087499999594,['n'],1,right,['2'],5,0.7906944000005751,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,8,0,8,8,training,negativefb,80,average,17,1.4004182999997283,['n'],1,right,['2'],5,1.0475159999996322,,,19,19,Vrouw,Rechts,1,
,xotask,xotask,dotcolour,9,0,9,9,training,negativefb,81,average,62,1.4661866999995254,['c'],1,left,['2'],5,0.9079701999999088,,,19,19,Vrouw,Rechts,1,
