starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714633386,xotask,xotask,dotcolour,0,0,0,0,training,positivefb,82,average,62,10.150375800000006,['c'],1,left,['9'],2,6.70351770000002,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,1,0,1,1,training,positivefb,100,easy,74,8.033427299999971,['c'],1,left,['2'],5,5.328531899999916,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,2,0,2,2,training,positivefb,99,average,18,1.517652699999985,['n'],1,right,['2'],5,6.3809492999999975,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,3,0,3,3,training,positivefb,86,hard,50,2.133723600000053,['c'],1,left,['9'],2,4.52654009999992,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,4,0,4,4,training,positivefb,99,average,17,1.7827743000000282,['n'],1,right,['9'],2,2.5853687999999693,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,5,0,5,5,training,positivefb,96,easy,72,2.3842854000001807,['c'],1,left,['3'],4,2.010226399999965,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,6,0,6,6,training,positivefb,33,hard,52,3.4344039000000066,['n'],0,left,['2'],5,1.224186500000087,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,7,0,7,7,training,positivefb,93,easy,8,2.1338857000000644,['n'],1,right,['9'],2,0.5305281000000832,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,8,0,8,8,training,positivefb,4,easy,72,1.4169392000001153,['n'],0,left,['0'],1,3.6055407999999716,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,9,0,9,9,training,positivefb,100,easy,72,4.650418500000114,['c'],1,left,['9'],2,4.530313800000158,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,10,0,10,10,training,positivefb,96,easy,7,2.5671869000000243,['n'],1,right,['8'],3,1.5726497999999083,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,11,0,11,11,training,positivefb,86,hard,50,2.3337134999999307,['c'],1,left,['9'],2,0.9045384000000922,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,12,0,12,12,training,positivefb,87,hard,27,2.5663590000001477,['n'],1,right,['0'],1,0.5663872000000083,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,13,0,13,13,training,positivefb,97,average,60,2.867321200000106,['c'],1,left,['3'],4,3.6684944000000996,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,14,0,14,14,training,positivefb,95,average,62,2.350277200000164,['c'],1,left,['2'],5,2.459194000000025,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,15,0,15,15,training,positivefb,96,average,64,3.2178292000000965,['c'],1,left,['2'],5,2.0718895999998495,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,16,0,16,16,training,positivefb,97,easy,6,2.0844065000001137,['n'],1,right,['9'],2,0.768426399999953,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,17,0,17,17,training,positivefb,65,hard,53,1.6847170000000915,['n'],0,left,['8'],3,2.02274199999988,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,18,0,18,18,training,positivefb,92,hard,54,4.016982000000098,['c'],1,left,['3'],4,1.8133854999998675,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,19,0,19,19,training,positivefb,98,easy,5,1.6340576000000056,['n'],1,right,['1'],6,2.5867496999999275,,,1,20,Vrouw,Links,1,
,xotask,xotask,dotcolour,20,0,20,20,training,positivefb,19,average,18,2.0679686999999376,['c'],0,right,['2'],5,2.552048700000114,,,1,20,Vrouw,Links,1,
