starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1716448014,dotcolour,dotcolour,xotask,0,0,0,0,training,negativefb,30,hard,39,5.584013699999787,['n'],1,right,['9'],2,6.453858700000183,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,1,0,1,1,training,negativefb,42,hard,41,4.41717860000017,['n'],0,left,['3'],4,2.673827600000095,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,2,0,2,2,training,negativefb,17,hard,37,1.850962700000082,['c'],0,right,['2'],5,2.723697099999981,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,3,0,3,3,training,negativefb,89,average,28,3.0334897999998702,['n'],1,right,['3'],4,2.5972971999999572,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,4,0,4,4,training,negativefb,85,easy,62,1.8677216999999473,['c'],1,left,['1'],6,0.6107530000001589,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,5,0,5,5,training,negativefb,78,hard,41,3.0666731999999683,['c'],1,left,['2'],5,1.304589599999872,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,6,0,6,6,training,negativefb,93,average,27,3.117567800000188,['n'],1,right,['3'],4,2.112079499999936,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,7,0,7,7,training,negativefb,29,hard,35,3.4013194999999996,['n'],1,right,['8'],3,2.4032512000001134,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,8,0,8,8,training,negativefb,95,average,26,1.2007250000001477,['n'],1,right,['2'],5,0.9067362999999204,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,9,0,9,9,training,negativefb,78,average,26,3.7992777999997998,['n'],1,right,['3'],4,1.5665420000000267,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,10,0,10,10,training,negativefb,98,average,26,1.6338757999999416,['n'],1,right,['2'],5,1.573307899999918,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,11,0,11,11,training,negativefb,94,easy,65,1.5172757000000274,['c'],1,left,['1'],6,1.1130273000001125,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,12,0,12,12,training,negativefb,51,hard,42,1.8500429999999142,['c'],1,left,['2'],5,0.5796046000000388,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,13,0,13,13,training,negativefb,99,easy,15,1.649369500000148,['n'],1,right,['1'],6,1.483701099999962,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,14,0,14,14,training,negativefb,65,hard,45,3.8342417999999725,['c'],1,left,['3'],4,1.3894982000001619,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,15,0,15,15,training,negativefb,50,easy,62,1.1668039999999564,['c'],1,left,['1'],6,0.4071214999999029,,,38,24,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,16,0,16,16,training,negativefb,83,easy,61,1.350160599999981,['c'],1,left,['1'],6,0.6486315999998169,,,38,24,Vrouw,Rechts,1,
