starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715680726,xotask,xotask,dotcolour,0,0,0,0,training,positivefb,100,easy,5,1.0513404000012088,['n'],1,right,['8'],4,1.6685201999989658,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,1,0,1,1,training,positivefb,95,hard,50,1.0490338999989035,['c'],1,left,['8'],4,1.5027384000004531,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,2,0,2,2,training,positivefb,78,easy,5,1.0171935000016674,['n'],1,right,['0'],6,0.45815419999962614,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,3,0,3,3,training,positivefb,83,average,64,1.0504692000013165,['c'],1,left,['0'],6,0.4299542000007932,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,4,0,4,4,training,positivefb,97,easy,71,1.2007137999989936,['c'],1,left,['9'],5,0.7006106999997428,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,5,0,5,5,training,positivefb,79,average,61,1.0170204999994894,['c'],1,left,['9'],5,0.36827789999915694,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,6,0,6,6,training,positivefb,94,average,63,0.85091790000115,['c'],1,left,['9'],5,0.43973259999984293,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,7,0,7,7,training,positivefb,90,average,63,1.2006033999987267,['c'],1,left,['1'],1,0.00634159999935946,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,8,0,8,8,training,positivefb,93,easy,5,1.1343319000006886,['n'],1,right,['9'],5,0.6810044000012567,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,9,0,9,9,training,positivefb,99,easy,73,1.1328107999997883,['c'],1,left,['8'],4,0.3611053999993601,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,10,0,10,10,training,positivefb,96,easy,7,0.8996209999986604,['n'],1,right,['9'],5,0.4303941999987728,,,,,,,,27,18,Vrouw,Rechts,2,
,xotask,xotask,dotcolour,11,0,11,11,training,positivefb,84,average,64,0.9323292000008223,['c'],1,left,['8'],4,0.9999643999999535,,,,,,,,27,18,Vrouw,Rechts,2,
