starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714978783,xotask,xotask,xotask,0,0,0,0,training,negativefb,88,average,60,1.2159512000000632,['c'],1,left,['9'],5,2.892723599999954,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,1,0,1,1,training,negativefb,86,average,19,1.9170087999998486,['n'],1,right,['0'],6,2.2840653000000657,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,2,0,2,2,training,negativefb,23,average,18,2.499931199999992,['c'],0,right,['3'],3,1.6671197000000575,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,3,0,3,3,training,negativefb,79,easy,8,2.2654317999999876,['n'],1,right,['9'],5,1.4539219000000685,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,4,0,4,4,training,negativefb,48,average,63,1.9337471000001187,['c'],1,left,['9'],5,0.9821311000000605,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,5,0,5,5,training,negativefb,86,average,62,2.0341739999998936,['c'],1,left,['9'],5,1.6615219000000252,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,6,0,6,6,training,negativefb,93,easy,73,0.9021646999999575,['c'],1,left,['9'],5,0.6542147000000114,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,7,0,7,7,training,negativefb,81,easy,73,2.0509040000001733,['c'],1,left,['9'],5,0.8662424999999985,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,8,0,8,8,training,negativefb,86,easy,72,1.750638600000002,['c'],1,left,['8'],4,1.7697235999999066,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,9,0,9,9,training,negativefb,80,hard,26,1.7678227999999763,['n'],1,right,['9'],5,1.2604847000000063,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,10,0,10,10,training,negativefb,54,easy,5,1.499010799999951,['n'],1,right,['9'],5,0.5662651999998616,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,11,0,11,11,training,negativefb,92,average,15,1.9503447999998116,['n'],1,right,['3'],3,0.8571557000000212,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,12,0,12,12,training,negativefb,32,hard,28,1.867466499999864,['c'],0,right,['3'],3,0.7566553000001477,,,10,18,Vrouw,Rechts,1,
,xotask,xotask,xotask,13,0,13,13,training,negativefb,24,hard,51,1.2501318000001902,['n'],0,left,['8'],4,0.5648903999999675,,,10,18,Vrouw,Rechts,1,
