starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715583529,dotcolour,dotcolour,xotask,0,0,0,0,training,positivefb,89,average,51,2.0665416000000505,['c'],1,left,['0'],6,0.7344874000000345,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,1,0,1,1,training,positivefb,60,hard,36,0.8504312000000027,['c'],0,right,['0'],6,0.20760530000006838,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,2,0,2,2,training,positivefb,77,average,27,0.8502535999998599,['n'],1,right,['8'],4,0.44565239999997175,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,3,0,3,3,training,positivefb,99,average,27,0.6502949999999146,['n'],1,right,['9'],5,0.23446160000003147,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,4,0,4,4,training,positivefb,92,hard,42,0.6162891000001309,['c'],1,left,['9'],5,0.2163932000000841,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,5,0,5,5,training,positivefb,68,hard,36,0.5666463000000022,['c'],0,right,['9'],5,0.1611333000000741,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,6,0,6,6,training,positivefb,98,average,53,0.5339720999998008,['c'],1,left,['9'],5,0.24588139999991654,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,7,0,7,7,training,positivefb,96,hard,45,0.3994623999999476,['c'],1,left,['9'],5,0.18032640000001265,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,8,0,8,8,training,positivefb,97,easy,62,0.316507399999864,['c'],1,left,['9'],5,0.19271290000006047,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,9,0,9,9,training,positivefb,83,average,28,0.39977649999991627,['c'],0,right,['0'],6,0.24978650000002744,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,10,0,10,10,training,positivefb,88,average,53,0.43400359999986904,['c'],1,left,['9'],5,0.18268109999985427,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,11,0,11,11,training,positivefb,99,average,54,0.38373779999983526,['c'],1,left,['9'],5,0.19942229999992378,,,,,,,,14,18,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,12,0,12,12,training,positivefb,94,average,25,0.38363920000006146,['c'],0,right,['3'],3,0.6484262999999828,,,,,,,,14,18,Vrouw,Rechts,2,
