starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715675584,dotcolour,dotcolour,dotcolour,0,0,0,0,training,negativefb,99,easy,19,7.733577900000455,['n'],1,right,['9'],5,4.590451099999882,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,negativefb,48,easy,63,1.2325033000006442,['c'],1,left,['0'],6,0.6052883000002112,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,negativefb,80,average,26,0.7827287000000069,['n'],1,right,['9'],5,0.4852231999993819,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,negativefb,54,average,25,1.0170240000006743,['c'],0,right,['8'],4,0.36907179999980144,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,negativefb,41,hard,41,0.9665062999993097,['n'],0,left,['9'],5,0.3642330000002403,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,negativefb,85,average,53,0.7996282999993127,['c'],1,left,['0'],6,0.47780779999993683,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,negativefb,69,average,25,0.6505448000007164,['n'],1,right,['0'],6,0.3135757999998532,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,negativefb,87,average,29,0.6836364000000685,['n'],1,right,['0'],6,0.32157230000029813,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,negativefb,65,easy,65,0.7831107000001793,['c'],1,left,['9'],5,0.38172579999991285,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,negativefb,88,average,53,0.6508169999997335,['c'],1,left,['9'],5,0.34046699999998964,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,10,0,10,10,training,negativefb,55,average,55,0.7997261999998955,['c'],1,left,['9'],5,0.45532339999954274,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,11,0,11,11,training,negativefb,79,average,29,0.7501404000004186,['n'],1,right,['9'],5,0.4950574000004053,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,12,0,12,12,training,negativefb,22,average,25,1.0332316999993054,['n'],1,right,['8'],4,0.44226920000073733,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,13,0,13,13,training,negativefb,93,easy,61,0.8504675999993196,['c'],1,left,['0'],6,0.3193437999998423,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,14,0,14,14,training,negativefb,97,easy,62,0.6508166999992682,['c'],1,left,['9'],5,0.3363910999996733,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,15,0,15,15,training,negativefb,73,hard,35,0.7682985000001281,['n'],1,right,['8'],4,0.412748300000203,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,16,0,16,16,training,negativefb,68,easy,17,0.8664472999998907,['n'],1,right,['9'],5,0.6414880000002086,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,17,0,17,17,training,negativefb,34,hard,38,0.716827000000194,['c'],0,right,['8'],4,0.34846310000011727,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,18,0,18,18,training,negativefb,57,average,28,1.1665875999997297,['n'],1,right,['9'],5,0.44706679999944754,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,19,0,19,19,training,negativefb,60,easy,15,1.700588599999719,['n'],1,right,['9'],5,0.6103872000003321,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,20,0,20,20,training,negativefb,68,average,26,1.318355800000063,['n'],1,right,['9'],5,0.5658886999999595,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,21,0,21,21,training,negativefb,73,easy,16,0.7162755999997898,['n'],1,right,['0'],6,0.3783867999991344,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,22,0,22,22,training,negativefb,40,easy,18,0.8001855999991676,['n'],1,right,['9'],5,0.371866599999521,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,23,0,23,23,training,negativefb,71,hard,36,1.317708199999288,['c'],0,right,['8'],4,0.424285900000541,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,24,0,24,24,training,negativefb,67,easy,62,0.6652483999996548,['c'],1,left,['0'],6,0.29323199999998906,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,25,0,25,25,training,negativefb,54,hard,37,1.2826038000002882,['n'],1,right,['9'],5,0.26197250000041095,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,26,0,26,26,training,negativefb,96,average,55,0.07092980000015814,['c'],1,left,['9'],5,1.348736299999473,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,27,0,27,27,training,negativefb,90,easy,64,2.4332933999994566,['c'],1,left,['0'],6,0.4374229999993986,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,28,0,28,28,training,negativefb,60,hard,35,0.7342767000000094,['n'],1,right,['9'],5,0.2856411999991906,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,29,0,29,29,training,negativefb,32,hard,43,0.9501974999993763,['c'],1,left,['9'],5,0.30909259999953065,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,30,0,30,30,training,negativefb,68,hard,35,0.8675534000003609,['n'],1,right,['9'],5,0.254603300000781,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,31,0,31,31,training,negativefb,63,hard,44,1.0657693000002837,['n'],0,left,['9'],5,0.9773795000000973,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,32,0,32,32,training,negativefb,95,easy,63,0.6510191000006671,['c'],1,left,['0'],6,0.42463499999939813,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,33,0,33,33,training,negativefb,65,hard,43,1.9335934999999154,['c'],1,left,['9'],5,0.3147456000006059,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,34,0,34,34,training,negativefb,97,hard,42,1.0163423000003604,['c'],1,left,['9'],5,0.35750819999975647,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,35,0,35,35,training,negativefb,59,hard,39,1.0672365999998874,['n'],1,right,['8'],4,1.293077400000584,,,,,,,,29,18,Man,Links,2,
,dotcolour,dotcolour,dotcolour,36,0,36,36,training,negativefb,82,easy,18,0.7006242999996175,['n'],1,right,['9'],5,0.6455773000006957,,,,,,,,29,18,Man,Links,2,
