starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715159323,dotcolour,dotcolour,xotask,0,0,0,0,training,negativefb,55,hard,37,1.3509333000001789,['n'],1,right,['1'],6,1.3032078999999612,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,1,0,1,1,training,negativefb,43,hard,35,1.4164974000000257,['n'],1,right,['3'],4,1.0018686999999318,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,2,0,2,2,training,negativefb,86,easy,15,0.8672104999998282,['n'],1,right,['2'],5,0.9023754999998346,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,3,0,3,3,training,negativefb,56,average,52,0.8156887000000097,['c'],1,left,['1'],6,0.5861397999999554,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,4,0,4,4,training,negativefb,69,easy,19,0.6830781999999544,['n'],1,right,['1'],6,0.6634255000001303,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,5,0,5,5,training,negativefb,46,average,51,1.5334125000001677,['c'],1,left,['3'],4,0.3611369000000195,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,6,0,6,6,training,negativefb,7,hard,44,1.2992567000001145,['n'],0,left,['3'],4,0.750585000000001,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,7,0,7,7,training,negativefb,96,easy,15,1.032670199999984,['n'],1,right,['1'],6,0.5594386000000213,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,8,0,8,8,training,negativefb,88,easy,19,1.100970899999993,['n'],1,right,['1'],6,0.3339382999999998,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,9,0,9,9,training,negativefb,91,easy,18,0.5501242999998794,['n'],1,right,['1'],6,0.37780180000004293,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,10,0,10,10,training,negativefb,76,average,29,1.0495456999999533,['n'],1,right,['2'],5,0.4734565000001112,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,11,0,11,11,training,negativefb,58,easy,16,0.6333316000000195,['n'],1,right,['1'],6,0.3021343000000343,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,12,0,12,12,training,negativefb,88,average,25,0.8992158000000927,['n'],1,right,['2'],5,0.47029970000016874,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,13,0,13,13,training,negativefb,60,average,28,1.699779099999887,['n'],1,right,['3'],4,0.327328899999884,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,14,0,14,14,training,negativefb,96,average,54,0.9000998999999865,['c'],1,left,['3'],4,0.3743021000000226,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,15,0,15,15,training,negativefb,89,average,26,0.600195900000017,['n'],1,right,['2'],5,0.5124442999999701,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,16,0,16,16,training,negativefb,66,hard,37,1.367667900000015,['n'],1,right,['3'],4,0.30164849999982835,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,17,0,17,17,training,negativefb,83,hard,43,0.9156807000001663,['c'],1,left,['3'],4,0.29332739999995283,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,18,0,18,18,training,negativefb,66,easy,64,0.7498732000001382,['c'],1,left,['1'],6,0.26716350000015154,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,19,0,19,19,training,negativefb,61,hard,42,1.000321299999996,['c'],1,left,['3'],4,0.32885190000001785,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,20,0,20,20,training,negativefb,93,easy,16,0.5163767000001371,['n'],1,right,['1'],6,0.29584760000011556,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,21,0,21,21,training,negativefb,56,easy,63,0.7499050999999781,['c'],1,left,['1'],6,0.3028543999998874,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,22,0,22,22,training,negativefb,28,hard,38,1.9170324000001528,['n'],1,right,['3'],4,0.2616438999998536,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,23,0,23,23,training,negativefb,86,easy,62,0.75083769999992,['c'],1,left,['1'],6,0.2947323000000779,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,24,0,24,24,training,negativefb,79,hard,38,1.6341600000000653,['c'],0,right,['3'],4,0.32982529999981125,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,25,0,25,25,training,negativefb,89,easy,19,0.7000347000000602,['n'],1,right,['1'],6,0.2657254999999168,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,26,0,26,26,training,negativefb,44,easy,63,0.6158543999999893,['c'],1,left,['1'],6,0.2623084000001654,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,27,0,27,27,training,negativefb,90,easy,17,0.6493530000000192,['n'],1,right,['1'],6,0.26647989999992205,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,28,0,28,28,training,negativefb,34,hard,37,1.6157235000000583,['c'],0,right,['3'],4,0.3342618000001494,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,29,0,29,29,training,negativefb,71,average,55,0.8491349999999329,['c'],1,left,['2'],5,0.5601868000001105,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,30,0,30,30,training,negativefb,17,easy,65,0.7160656999999446,['c'],1,left,['1'],6,0.2213305999998738,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,31,0,31,31,training,negativefb,48,easy,64,0.5318864999999278,['c'],1,left,['1'],6,0.2798574999999346,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,32,0,32,32,training,negativefb,49,hard,42,0.9518415000000005,['n'],0,left,['3'],4,0.27032680000002074,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,33,0,33,33,training,negativefb,87,average,51,1.1496758000000682,['n'],0,left,['8'],3,1.3422555999998167,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,34,0,34,34,training,negativefb,88,average,27,0.9326541000000361,['n'],1,right,['1'],6,0.24378269999988333,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,35,0,35,35,training,negativefb,87,average,27,1.1501051000000189,['n'],1,right,['1'],6,0.25989179999987755,,,,,,,,4,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,36,0,36,36,training,negativefb,86,average,29,0.5341825000000426,['n'],1,right,['1'],6,0.2130840999998327,,,,,,,,4,20,Vrouw,Rechts,2,
