starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714978819,xotask,xotask,dotcolour,0,0,0,0,training,positivefb,84,hard,28,2.7006942000000436,['n'],1,right,['1'],1,2.4915098999999827,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,1,0,1,1,training,positivefb,64,hard,25,2.3012123999999403,['n'],1,right,['8'],4,2.5865671000001385,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,2,0,2,2,training,positivefb,91,average,63,1.367670500000031,['c'],1,left,['3'],3,2.068794799999978,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,3,0,3,3,training,positivefb,99,easy,8,1.6511399999999412,['n'],1,right,['9'],5,2.262928600000123,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,4,0,4,4,training,positivefb,94,hard,51,1.3666172000000643,['c'],1,left,['8'],4,1.0459805999998935,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,5,0,5,5,training,positivefb,87,average,64,1.5997532999999748,['n'],0,left,['9'],5,0.8768093000001045,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,6,0,6,6,training,positivefb,92,easy,7,1.2836017000001902,['n'],1,right,['0'],6,0.607039900000018,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,7,0,7,7,training,positivefb,54,average,18,1.7006281999999828,['c'],0,right,['8'],4,1.226958699999841,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,8,0,8,8,training,positivefb,88,hard,28,1.2661209000000326,['n'],1,right,['9'],5,0.7269389000000501,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,9,0,9,9,training,positivefb,39,hard,54,1.5999329999999645,['n'],0,left,['8'],4,0.978281700000025,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,10,0,10,10,training,positivefb,85,average,15,0.8849167999999281,['n'],1,right,['0'],6,0.6633116000000427,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,11,0,11,11,training,positivefb,91,easy,71,1.0490687999999864,['c'],1,left,['0'],6,0.3724492999999711,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,12,0,12,12,training,positivefb,76,hard,27,1.4339752999999291,['n'],1,right,['9'],5,0.6843978000001698,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,13,0,13,13,training,positivefb,90,easy,71,1.1163382999998248,['c'],1,left,['0'],6,0.2753120999998373,,,9,18,Man,Rechts,1,
,xotask,xotask,dotcolour,14,0,14,14,training,positivefb,97,hard,51,1.0160690999998678,['n'],0,left,['0'],6,0.2973407000001771,,,9,18,Man,Rechts,1,
