starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1714724497,dotcolour,dotcolour,dotcolour,0,0,0,0,training,negativefb,99,average,26,3.3007908000008683,['n'],1,right,['3'],4,5.863178399999924,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,negativefb,53,hard,44,1.3324800999998843,['c'],1,left,['2'],5,2.813288199999988,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,negativefb,96,easy,17,1.8668340999993234,['n'],1,right,['2'],5,2.625855799999954,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,negativefb,74,average,52,1.382957499999975,['c'],1,left,['2'],5,2.081340800000362,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,negativefb,18,hard,38,2.1336816000002727,['c'],0,right,['3'],4,2.872073900000032,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,negativefb,98,average,29,1.5668953000003967,['n'],1,right,['8'],3,3.2458034999999654,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,negativefb,21,average,26,3.1504664000003686,['c'],0,right,['3'],4,3.7820679999995264,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,negativefb,72,easy,65,1.7495946999997614,['c'],1,left,['2'],5,1.7109565000000657,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,negativefb,94,average,28,1.617176699999618,['n'],1,right,['3'],4,1.4428753999991386,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,negativefb,81,hard,35,1.850237300000117,['n'],1,right,['2'],5,2.7591509999992923,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,10,0,10,10,training,negativefb,98,easy,16,1.1007400000007692,['n'],1,right,['2'],5,2.476122099999884,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,11,0,11,11,training,negativefb,90,easy,61,1.4509666000003563,['c'],1,left,['2'],5,2.15102780000052,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,12,0,12,12,training,negativefb,83,average,55,1.0836999000002834,['c'],1,left,['1'],6,2.348895199999788,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,13,0,13,13,training,negativefb,93,average,28,1.450369999999566,['n'],1,right,['2'],5,1.2918696999995518,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,14,0,14,14,training,negativefb,89,average,52,1.1334318999997777,['c'],1,left,['1'],6,0.9718763999999283,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,15,0,15,15,training,negativefb,55,easy,62,1.1671016999998756,['c'],1,left,['1'],6,0.6138989000000947,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,16,0,16,16,training,negativefb,58,hard,45,2.6007423000000927,['c'],1,left,['3'],4,1.829826199999843,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,17,0,17,17,training,negativefb,51,average,28,1.4668380000002799,['n'],1,right,['3'],4,1.6660976000002847,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,18,0,18,18,training,negativefb,99,easy,17,1.7828954999995403,['n'],1,right,['2'],5,3.391751199999817,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,19,0,19,19,training,negativefb,61,hard,37,2.100185899999815,['c'],0,right,['3'],4,1.3234834000004412,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,20,0,20,20,training,negativefb,97,easy,17,1.132530300000326,['n'],1,right,['2'],5,2.4968933000000106,,,7,18,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,21,0,21,21,training,negativefb,57,hard,45,1.8498356000000058,['c'],1,left,['3'],4,1.4827885999993669,,,7,18,Vrouw,Links,1,
