starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715588948,xotask,xotask,dotcolour,0,0,0,0,training,positivefb,94,hard,29,0.9670744000004561,['n'],1,right,['8'],4,3.2235239999999976,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,1,0,1,1,training,positivefb,100,easy,70,0.8996758000002956,['c'],1,left,['0'],6,1.818356799999492,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,2,0,2,2,training,positivefb,96,easy,72,0.883500300000378,['c'],1,left,['0'],6,1.0144706000000951,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,3,0,3,3,training,positivefb,97,easy,70,0.5339090000006763,['c'],1,left,['0'],6,0.3210168999994494,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,4,0,4,4,training,positivefb,61,hard,52,1.8501390000001265,['c'],1,left,['8'],4,0.5708541000003606,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,5,0,5,5,training,positivefb,94,hard,26,0.7501298999995925,['n'],1,right,['0'],6,0.8379820000000109,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,6,0,6,6,training,positivefb,96,average,18,0.8169404000000213,['n'],1,right,['0'],6,0.47647169999982,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,7,0,7,7,training,positivefb,94,average,18,0.7004310000002079,['n'],1,right,['0'],6,0.3898575000002893,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,8,0,8,8,training,positivefb,96,hard,51,0.7331496999995579,['c'],1,left,['0'],6,0.9774484999998094,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,9,0,9,9,training,positivefb,99,easy,72,0.6502669999999853,['c'],1,left,['0'],6,0.3208723999996437,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,10,0,10,10,training,positivefb,99,easy,5,0.6000166000003446,['n'],1,right,['0'],6,0.41226709999955347,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,11,0,11,11,training,positivefb,97,average,64,0.6324603999992178,['c'],1,left,['0'],6,0.283059499999581,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,12,0,12,12,training,positivefb,98,easy,9,0.6328980999996929,['n'],1,right,['0'],6,0.5181892000000516,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,13,0,13,13,training,positivefb,97,easy,8,0.5831490000000485,['n'],1,right,['0'],6,0.3225063999998383,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,14,0,14,14,training,positivefb,96,hard,29,0.8160443000006126,['n'],1,right,['9'],5,0.7891261999993731,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,15,0,15,15,training,positivefb,98,easy,5,0.6336641999996573,['n'],1,right,['0'],6,0.4527908000000025,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,16,0,16,16,training,positivefb,62,hard,29,0.9670875000001615,['c'],0,right,['9'],5,0.8043756999995821,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,17,0,17,17,training,positivefb,98,average,16,0.6333285000000615,['n'],1,right,['0'],6,0.4663701999998011,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,18,0,18,18,training,positivefb,76,average,63,0.7495375999997123,['c'],1,left,['0'],6,0.3378649999995105,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,19,0,19,19,training,positivefb,91,average,60,1.1670621999992363,['c'],1,left,['8'],4,0.838448900000003,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,20,0,20,20,training,positivefb,89,hard,25,0.6824762999995073,['n'],1,right,['0'],6,0.6659365000004982,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,21,0,21,21,training,positivefb,97,hard,53,0.5664020000003802,['c'],1,left,['9'],5,0.7680217999995875,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,22,0,22,22,training,positivefb,43,average,64,1.2339003000006414,['n'],0,left,['9'],5,0.6954712000006111,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,23,0,23,23,training,positivefb,98,easy,6,0.6846309000002293,['n'],1,right,['0'],6,0.43409020000035525,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,24,0,24,24,training,positivefb,95,hard,50,0.5510573000001386,['c'],1,left,['9'],5,0.41862570000012056,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,25,0,25,25,training,positivefb,98,easy,5,0.6325831000003745,['n'],1,right,['0'],6,0.4244682999997167,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,26,0,26,26,training,positivefb,63,hard,54,0.816302899999755,['c'],1,left,['9'],5,0.5437122000003001,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,27,0,27,27,training,positivefb,70,hard,29,0.6845025000002352,['c'],0,right,['9'],5,0.3108920999993643,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,28,0,28,28,training,positivefb,78,hard,29,0.9326736000002711,['n'],1,right,['9'],5,0.26991389999966486,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,29,0,29,29,training,positivefb,99,average,15,0.7658913999994184,['n'],1,right,['0'],6,0.49174670000047627,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,30,0,30,30,training,positivefb,96,average,64,0.7002166000002035,['c'],1,left,['0'],6,0.348603199999161,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,31,0,31,31,training,positivefb,86,hard,54,0.7505176000004212,['c'],1,left,['0'],6,0.3369806000000608,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,32,0,32,32,training,positivefb,97,easy,70,0.5658413999999539,['c'],1,left,['0'],6,0.32554419999996753,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,33,0,33,33,training,positivefb,99,hard,27,0.8008245999999417,['n'],1,right,['9'],5,0.40053590000024997,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,34,0,34,34,training,positivefb,95,average,64,0.5671508000004906,['c'],1,left,['0'],6,0.37754990000030375,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,35,0,35,35,training,positivefb,91,easy,73,0.5503386000000319,['c'],1,left,['0'],6,0.3730182999997851,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,36,0,36,36,training,positivefb,87,hard,53,0.6673775999997815,['c'],1,left,['0'],6,0.4442134000000806,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,37,0,37,37,training,positivefb,97,easy,9,0.5997415000001638,['n'],1,right,['9'],5,0.4677528000001985,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,38,0,38,38,training,positivefb,94,average,19,0.866866299999856,['c'],0,right,['9'],5,0.30175859999962995,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,39,0,39,39,training,positivefb,98,easy,5,0.7494151999999303,['n'],1,right,['0'],6,0.476195799999914,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,40,0,40,40,training,positivefb,96,average,15,0.8499689000000217,['n'],1,right,['0'],6,0.29584780000004685,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,41,0,41,41,training,positivefb,93,hard,26,0.817493700000341,['n'],1,right,['0'],6,0.3232803999999305,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,42,0,42,42,training,positivefb,92,hard,51,0.6494847000003574,['n'],0,left,['0'],6,0.34104459999980463,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,43,0,43,43,training,positivefb,98,hard,54,0.800421500000084,['c'],1,left,['9'],5,0.41555370000060066,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,44,0,44,44,training,positivefb,98,easy,72,0.5331734000001234,['c'],1,left,['9'],5,0.8821789999992689,,,,,,,,11,19,Man,Rechts,2,
,xotask,xotask,dotcolour,45,0,45,45,training,positivefb,92,average,16,0.5330969999995432,['c'],0,right,['0'],6,0.3448820000003252,,,,,,,,11,19,Man,Rechts,2,
