starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714719896,xotask,xotask,dotcolour,0,0,0,0,training,negativefb,3,easy,72,2.0011544000001322,['n'],0,left,['8'],3,4.948367599999983,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,1,0,1,1,training,negativefb,91,hard,27,3.8508974999999737,['n'],1,right,['3'],4,3.7552976000001763,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,2,0,2,2,training,negativefb,82,average,60,3.9672998999999436,['c'],1,left,['2'],5,2.4532182000000375,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,3,0,3,3,training,negativefb,73,hard,52,5.818874600000072,['n'],0,left,['9'],2,1.1690249999999196,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,4,0,4,4,training,negativefb,41,average,18,1.9666340999999647,['n'],1,right,['2'],5,1.2524842000000262,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,5,0,5,5,training,negativefb,92,easy,72,1.600715399999899,['c'],1,left,['3'],4,1.5622319999999945,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,6,0,6,6,training,negativefb,99,average,19,1.8501648999999816,['n'],1,right,['3'],4,3.161148199999843,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,7,0,7,7,training,negativefb,83,average,61,2.100858300000027,['c'],1,left,['2'],5,1.1905515000000833,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,8,0,8,8,training,negativefb,39,average,64,1.6000769999998283,['c'],1,left,['2'],5,1.0880264999998417,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,9,0,9,9,training,negativefb,60,hard,26,1.1324516999998195,['n'],1,right,['9'],2,1.0315625999999156,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,10,0,10,10,training,negativefb,93,hard,26,1.9158617999999024,['n'],1,right,['8'],3,4.234086499999876,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,11,0,11,11,training,negativefb,98,average,62,3.600831999999855,['c'],1,left,['2'],5,3.086560899999995,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,12,0,12,12,training,negativefb,79,hard,52,1.882307899999887,['c'],1,left,['2'],5,1.2801838999998836,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,13,0,13,13,training,negativefb,97,average,16,0.7832194999998592,['n'],1,right,['1'],6,3.5340221999999812,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,14,0,14,14,training,negativefb,67,easy,9,1.1987652000000253,['n'],1,right,['1'],6,0.6961315999999442,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,15,0,15,15,training,negativefb,96,easy,9,0.9498226000000614,['n'],1,right,['1'],6,0.6699142999998458,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,16,0,16,16,training,negativefb,87,hard,54,1.2675292000001264,['c'],1,left,['3'],4,1.424788400000125,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,17,0,17,17,training,negativefb,83,hard,52,1.1005244999998922,['c'],1,left,['3'],4,0.7802656999999726,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,18,0,18,18,training,negativefb,87,average,60,3.3507928999999876,['c'],1,left,['3'],4,0.9996768999999404,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,19,0,19,19,training,negativefb,60,average,60,0.9164957999998933,['c'],1,left,['2'],5,0.8267581000000064,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,20,0,20,20,training,negativefb,47,hard,54,1.2342866999999842,['n'],0,left,['3'],4,1.0090649999999641,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,21,0,21,21,training,negativefb,89,average,62,1.4007845000000998,['c'],1,left,['2'],5,1.145229400000062,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,22,0,22,22,training,negativefb,88,hard,25,2.117036999999982,['n'],1,right,['3'],4,3.6154716999999437,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,23,0,23,23,training,negativefb,92,easy,7,1.2674126000001706,['n'],1,right,['2'],5,0.6112166000000343,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,24,0,24,24,training,negativefb,53,easy,71,0.8840276999999332,['c'],1,left,['2'],5,0.52826529999993,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,25,0,25,25,training,negativefb,95,easy,74,0.8499333999998271,['c'],1,left,['1'],6,0.7931467999999313,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,26,0,26,26,training,negativefb,32,hard,29,0.9842565999999806,['n'],1,right,['3'],4,0.9308183000000554,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,27,0,27,27,training,negativefb,24,average,19,2.200245700000096,['c'],0,right,['2'],5,0.7654639000002135,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,28,0,28,28,training,negativefb,90,average,17,2.5333701999998084,['n'],1,right,['1'],6,0.8502183000000514,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,29,0,29,29,training,negativefb,3,easy,7,1.0332700999999815,['c'],0,right,['0'],1,3.7185612000000674,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,30,0,30,30,training,negativefb,85,average,16,3.151550499999985,['n'],1,right,['2'],5,1.211227400000098,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,31,0,31,31,training,negativefb,34,hard,28,1.234391100000039,['c'],0,right,['2'],5,1.2575274999999237,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,32,0,32,32,training,negativefb,88,easy,72,2.367471400000113,['c'],1,left,['2'],5,1.2971101999999064,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,33,0,33,33,training,negativefb,84,easy,8,0.7670109999999113,['n'],1,right,['1'],6,0.6312640000001011,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,34,0,34,34,training,negativefb,70,average,63,1.067404500000066,['c'],1,left,['3'],4,0.6271487999999863,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,35,0,35,35,training,negativefb,63,easy,5,1.1500872999999956,['n'],1,right,['1'],6,0.7084003999998458,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,36,0,36,36,training,negativefb,73,average,64,1.2847219999998742,['c'],1,left,['2'],5,1.8686110999999528,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,37,0,37,37,training,negativefb,85,average,18,1.4337256999999681,['n'],1,right,['1'],6,2.6004679000000124,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,38,0,38,38,training,negativefb,90,easy,8,0.9680353999999625,['n'],1,right,['1'],6,0.31277829999999085,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,39,0,39,39,training,negativefb,63,easy,71,0.7670855999999731,['c'],1,left,['1'],6,0.3182889999998224,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,40,0,40,40,training,negativefb,82,hard,25,2.1003928000000087,['n'],1,right,['3'],4,1.1578163000001496,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,41,0,41,41,training,negativefb,83,average,62,1.033035899999959,['c'],1,left,['2'],5,0.7590859000001728,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,42,0,42,42,training,negativefb,94,easy,71,1.1494027000001097,['c'],1,left,['2'],5,0.6669335000001411,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,43,0,43,43,training,negativefb,70,easy,8,1.083944499999916,['n'],1,right,['1'],6,0.7731536999999662,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,44,0,44,44,training,negativefb,77,easy,74,0.884337799999912,['c'],1,left,['1'],6,0.40326840000011543,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,45,0,45,45,training,negativefb,73,average,15,1.1334825000001274,['n'],1,right,['2'],5,0.38182959999994637,,,3,19,Man,Rechts,1,
,xotask,xotask,dotcolour,46,0,46,46,training,negativefb,81,easy,7,4.100531499999988,['n'],1,right,['1'],6,1.2585293999998157,,,3,19,Man,Rechts,1,
