starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1716965922,dotcolour,dotcolour,dotcolour,0,0,0,0,training,positivefb,99,easy,65,1.25067039999999,['c'],1,left,['3'],4,1.2384617000000162,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,positivefb,100,average,29,1.5166673999999603,['n'],1,right,['1'],6,1.8401880999999776,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,positivefb,90,average,54,1.2667039000000386,['c'],1,left,['1'],6,0.33100969999986773,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,positivefb,97,average,26,0.78354319999994,['n'],1,right,['1'],6,0.9343294999998761,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,positivefb,85,average,55,1.5168452000000343,['c'],1,left,['2'],5,0.49154199999998127,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,positivefb,92,average,54,1.1337135999999646,['c'],1,left,['2'],5,0.19544150000001537,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,positivefb,85,average,53,1.032722700000022,['c'],1,left,['2'],5,0.19477889999984654,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,positivefb,83,average,26,0.7662560999999641,['n'],1,right,['2'],5,0.23655959999996412,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,positivefb,71,hard,44,1.266785499999969,['c'],1,left,['3'],4,1.8404019999998127,,,,,,,,39,31,Vrouw,Links,2,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,positivefb,90,hard,37,1.2507660000001124,['n'],1,right,['3'],4,0.7884334000000308,,,,,,,,39,31,Vrouw,Links,2,
