starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715675565,xotask,xotask,dotcolour,0,0,0,0,training,negativefb,81,average,19,1.6336027000006652,['n'],1,right,['9'],5,0.9634618000000046,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,1,0,1,1,training,negativefb,88,average,16,0.6495311999997284,['n'],1,right,['9'],5,0.20270739999978105,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,2,0,2,2,training,negativefb,52,hard,28,0.4160670000001119,['n'],1,right,['9'],5,0.2653964000000997,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,3,0,3,3,training,negativefb,79,hard,50,0.4664167000000816,['c'],1,left,['9'],5,0.3245110999996541,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,4,0,4,4,training,negativefb,47,easy,8,0.4501424000000043,['n'],1,right,['9'],5,0.3336669999998776,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,5,0,5,5,training,negativefb,84,easy,5,0.46666580000055546,['n'],1,right,['0'],6,0.34168080000017653,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,6,0,6,6,training,negativefb,80,average,16,0.4492419999996855,['n'],1,right,['9'],5,0.29416159999982483,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,7,0,7,7,training,negativefb,79,hard,52,0.9334914999999455,['c'],1,left,['8'],4,0.2543820000000778,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,8,0,8,8,training,negativefb,15,average,16,0.41692930000044726,['n'],1,right,['9'],5,0.33055160000003525,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,9,0,9,9,training,negativefb,82,easy,73,0.5834175999998479,['c'],1,left,['9'],5,0.2307307999999466,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,10,0,10,10,training,negativefb,49,easy,8,0.4000629000001936,['n'],1,right,['9'],5,0.38966160000018135,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,11,0,11,11,training,negativefb,92,average,62,0.6163028999999369,['c'],1,left,['0'],6,0.2941949999994904,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,12,0,12,12,training,negativefb,40,easy,72,0.5832750999998098,['c'],1,left,['0'],6,0.25149299999975483,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,13,0,13,13,training,negativefb,22,hard,51,0.532694000000447,['n'],0,left,['0'],6,0.25992740000037884,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,14,0,14,14,training,negativefb,15,easy,6,0.5504153000001679,['n'],1,right,['9'],5,0.34035409999978583,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,15,0,15,15,training,negativefb,85,easy,73,0.633557699999983,['c'],1,left,['9'],5,0.42087660000015603,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,16,0,16,16,training,negativefb,31,average,18,0.4829021000005014,['n'],1,right,['0'],6,0.26521929999944405,,,,,,,,25,18,Man,Rechts,2,
,xotask,xotask,dotcolour,17,0,17,17,training,negativefb,69,average,62,1.083038900000247,['c'],1,left,['8'],4,0.3231586000001698,,,,,,,,25,18,Man,Rechts,2,
