starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715589321,dotcolour,dotcolour,xotask,0,0,0,0,training,positivefb,99,easy,64,0.6674579000000449,['c'],1,left,['2'],5,1.1669585999998162,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,1,0,1,1,training,positivefb,96,average,25,0.5667817000003197,['n'],1,right,['2'],5,0.29765130000032514,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,2,0,2,2,training,positivefb,100,easy,62,0.5162353999994593,['c'],1,left,['2'],5,0.34543370000028517,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,3,0,3,3,training,positivefb,89,easy,63,0.6170517999998992,['c'],1,left,['1'],6,0.30709999999999127,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,4,0,4,4,training,positivefb,84,easy,64,0.784156400000029,['c'],1,left,['2'],5,0.4082849000005808,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,5,0,5,5,training,positivefb,19,hard,45,1.316570099999808,['n'],0,left,['3'],4,6.291071500000726,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,6,0,6,6,training,positivefb,98,average,53,0.7831204000003709,['c'],1,left,['3'],4,0.5198190999999497,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,7,0,7,7,training,positivefb,96,average,26,0.6656985999998142,['n'],1,right,['3'],4,0.4722959999999148,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,8,0,8,8,training,positivefb,30,hard,39,1.0828016000004936,['n'],1,right,['3'],4,0.779062999999951,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,9,0,9,9,training,positivefb,70,hard,39,1.0823646999997436,['c'],0,right,['3'],4,0.24789160000000265,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,10,0,10,10,training,positivefb,84,hard,39,1.000895600000149,['n'],1,right,['3'],4,0.2708923000000141,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,11,0,11,11,training,positivefb,94,average,54,0.7997222000003603,['c'],1,left,['3'],4,0.316822100000536,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,12,0,12,12,training,positivefb,97,easy,19,0.5333108000004358,['n'],1,right,['2'],5,0.3387717999994493,,,,,,,,22,20,Vrouw,Rechts,2,
,dotcolour,dotcolour,xotask,13,0,13,13,training,positivefb,84,average,53,0.9009949999999662,['n'],0,left,['3'],4,0.2728210000004765,,,,,,,,22,20,Vrouw,Rechts,2,
