starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1716448998,dotcolour,dotcolour,dotcolour,0,0,0,0,training,negativefb,43,hard,37,3.1677365999998983,['c'],0,right,['8'],3,2.9153196000002026,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,negativefb,86,average,27,4.217109400000027,['n'],1,right,['8'],3,2.4043381999999838,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,negativefb,97,easy,16,2.7667123999999603,['n'],1,right,['1'],6,1.8936874999999418,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,negativefb,85,average,27,3.2660697999999684,['n'],1,right,['9'],2,1.7747533000001567,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,negativefb,97,easy,62,2.2671782000002167,['c'],1,left,['2'],5,1.236651400000028,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,negativefb,74,easy,16,1.5841196999999738,['n'],1,right,['1'],6,1.4680363000002217,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,negativefb,78,hard,35,2.6672559999997247,['c'],0,right,['8'],3,1.030260399999861,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,negativefb,98,average,52,1.9011227999999392,['c'],1,left,['3'],4,3.849162299999989,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,negativefb,93,average,26,1.4341651999998248,['n'],1,right,['2'],5,1.5248767000002772,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,negativefb,89,easy,18,1.3336836999997104,['n'],1,right,['1'],6,0.88979049999989,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,10,0,10,10,training,negativefb,97,hard,37,1.9177076999999372,['n'],1,right,['9'],2,1.241117900000063,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,11,0,11,11,training,negativefb,97,average,25,1.1665603000001283,['n'],1,right,['2'],5,0.8892996999998104,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,12,0,12,12,training,negativefb,55,average,28,2.249321599999803,['n'],1,right,['2'],5,0.9485704000003352,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,13,0,13,13,training,negativefb,68,easy,61,1.5334923999998864,['c'],1,left,['1'],6,0.9215527999999722,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,14,0,14,14,training,negativefb,87,easy,64,1.55010429999993,['c'],1,left,['1'],6,0.5342353000000912,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,15,0,15,15,training,negativefb,80,easy,15,1.099489000000176,['n'],1,right,['1'],6,1.1654138999997485,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,16,0,16,16,training,negativefb,80,easy,65,1.2837149000001773,['c'],1,left,['1'],6,0.79472799999985,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,17,0,17,17,training,negativefb,52,average,53,2.033150100000057,['c'],1,left,['3'],4,0.8346173999998427,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,18,0,18,18,training,negativefb,37,hard,43,1.049585599999773,['n'],0,left,['3'],4,1.359056100000089,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,19,0,19,19,training,negativefb,27,hard,41,1.4002737000000707,['n'],0,left,['8'],3,0.9214707999999519,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,20,0,20,20,training,negativefb,88,easy,65,1.1669873999999254,['c'],1,left,['1'],6,1.061881699999958,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,21,0,21,21,training,negativefb,96,easy,15,1.0836659999999938,['n'],1,right,['3'],4,1.6564920000000711,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,22,0,22,22,training,negativefb,40,hard,44,2.2329922999997507,['n'],0,left,['8'],3,1.0204098999997768,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,23,0,23,23,training,negativefb,64,hard,38,2.2008405999999923,['c'],0,right,['3'],4,1.036001199999646,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,24,0,24,24,training,negativefb,54,easy,62,1.2502579000001788,['c'],1,left,['1'],6,0.3924931999999899,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,25,0,25,25,training,negativefb,61,average,26,0.9497188999998798,['n'],1,right,['1'],6,0.6588630000001103,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,26,0,26,26,training,negativefb,71,easy,64,1.3165027999998529,['c'],1,left,['1'],6,0.284796599999936,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,27,0,27,27,training,negativefb,33,average,51,1.4839883999998165,['n'],0,left,['8'],3,0.7664005999999972,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,28,0,28,28,training,negativefb,96,average,52,1.184274799999912,['c'],1,left,['3'],4,0.9438915999999153,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,29,0,29,29,training,negativefb,89,average,52,1.3341095000000678,['c'],1,left,['1'],6,0.5648957000003065,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,30,0,30,30,training,negativefb,75,average,28,1.0490724999999657,['n'],1,right,['1'],6,0.8602419000003465,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,31,0,31,31,training,negativefb,66,easy,18,0.9840186999999787,['n'],1,right,['1'],6,0.3872074999999313,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,32,0,32,32,training,negativefb,54,easy,64,1.6171628000001874,['c'],1,left,['1'],6,0.3952193999998599,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,33,0,33,33,training,negativefb,47,hard,43,1.1182678999998643,['n'],0,left,['9'],2,1.0238807000000634,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,34,0,34,34,training,negativefb,88,average,54,2.0005089000001135,['c'],1,left,['8'],3,1.207008699999733,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,35,0,35,35,training,negativefb,54,average,28,1.050407599999744,['n'],1,right,['1'],6,0.39649629999985336,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,36,0,36,36,training,negativefb,96,average,27,0.9664275999998608,['n'],1,right,['2'],5,1.2711902000000919,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,37,0,37,37,training,negativefb,85,hard,37,1.2849128999996537,['n'],1,right,['2'],5,0.6328388000001723,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,38,0,38,38,training,negativefb,41,average,52,2.1017046000001756,['c'],1,left,['2'],5,0.898805700000139,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,39,0,39,39,training,negativefb,62,hard,38,0.8984083999998802,['n'],1,right,['3'],4,1.5959035999999287,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,40,0,40,40,training,negativefb,54,hard,39,1.484126699999706,['n'],1,right,['2'],5,1.6806598999996822,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,41,0,41,41,training,negativefb,32,hard,45,4.483750500000042,['n'],0,left,['9'],2,1.2499355999998443,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,42,0,42,42,training,negativefb,11,hard,44,1.2994539999999688,['n'],0,left,['3'],4,1.0038465000002361,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,43,0,43,43,training,negativefb,60,hard,45,2.7494896999996854,['c'],1,left,['1'],6,0.47784850000016377,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,44,0,44,44,training,negativefb,68,average,51,1.3841282000003048,['c'],1,left,['2'],5,1.2119292999996105,,,39,31,Vrouw,Links,1,
,dotcolour,dotcolour,dotcolour,45,0,45,45,training,negativefb,83,average,29,1.1173616999999467,['n'],1,right,['3'],4,0.8713406000001669,,,39,31,Vrouw,Links,1,
