starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1715167764,dotcolour,dotcolour,xotask,0,0,0,0,training,positivefb,99,hard,43,3.951348699999926,['c'],1,left,['3'],4,3.2997795999999653,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,1,0,1,1,training,positivefb,95,average,29,2.532359100000008,['n'],1,right,['2'],5,1.1300666999999294,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,2,0,2,2,training,positivefb,86,average,52,2.199625400000059,['c'],1,left,['1'],6,1.2934056999999939,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,3,0,3,3,training,positivefb,84,easy,61,2.3007023999999774,['c'],1,left,['1'],6,0.7981148999999732,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,4,0,4,4,training,positivefb,62,average,52,5.833793499999956,['c'],1,left,['3'],4,0.5011697999999569,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,5,0,5,5,training,positivefb,100,easy,16,2.432693900000004,['n'],1,right,['2'],5,4.27186729999994,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,6,0,6,6,training,positivefb,5,hard,43,3.6172231000000465,['n'],0,left,['3'],4,4.6038463000001,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,7,0,7,7,training,positivefb,96,easy,61,3.1334309000000076,['c'],1,left,['8'],3,1.8624255999999377,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,8,0,8,8,training,positivefb,81,hard,39,3.083350100000075,['c'],0,right,['3'],4,1.5938175,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,9,0,9,9,training,positivefb,98,hard,36,5.617225800000028,['n'],1,right,['8'],3,3.1373793000000205,,,36,19,Vrouw,Links,1,
,dotcolour,dotcolour,xotask,10,0,10,10,training,positivefb,96,easy,62,1.6159863000000314,['c'],1,left,['2'],5,2.4268955000000005,,,36,19,Vrouw,Links,1,
