starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607616260,dotcolour,0,0,training,highSC,hard,43,1102,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,1,0,training,highSC,easy,63,853,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,2,0,training,highSC,easy,63,669,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,3,0,training,highSC,hard,37,719,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,4,0,training,highSC,average,52,735,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,5,0,training,highSC,hard,35,935,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,6,0,training,highSC,easy,16,885,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,7,0,training,highSC,hard,39,952,['c'],0,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,8,0,training,highSC,average,25,1302,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,9,0,training,highSC,average,55,619,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,10,0,training,highSC,hard,39,602,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,11,0,training,highSC,easy,16,518,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,12,0,training,highSC,average,29,751,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,13,0,training,highSC,hard,42,718,['n'],0,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,14,0,training,highSC,average,29,719,['n'],1,right,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
,dotcolour,15,0,training,highSC,average,53,551,['c'],1,left,none,-99,-99,,,,,,,,,,,22,18,Man,Rechts,
