starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607502816,dotcolour,0,0,training,lowSC,average,28,1219,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,1,0,training,lowSC,easy,63,502,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,2,0,training,lowSC,average,52,551,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,3,0,training,lowSC,average,25,351,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,4,0,training,lowSC,easy,17,485,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,5,0,training,lowSC,hard,35,635,['c'],0,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,6,0,training,lowSC,easy,61,452,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,7,0,training,lowSC,easy,18,435,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,8,0,training,lowSC,easy,63,384,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,9,0,training,lowSC,hard,44,585,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,10,0,training,lowSC,easy,65,401,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,11,0,training,lowSC,hard,36,485,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,12,0,training,lowSC,hard,43,668,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,13,0,training,lowSC,easy,19,335,['c'],0,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,14,0,training,lowSC,average,55,468,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,15,0,training,lowSC,average,53,519,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,16,0,training,lowSC,hard,41,500,['c'],1,left,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,17,0,training,lowSC,hard,39,501,['c'],0,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
,dotcolour,18,0,training,lowSC,average,25,451,['n'],1,right,none,-99,-99,,,,,,,,,,,1,19,Vrouw,Rechts,
