starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607518877,dotcolour,0,0,training,lowSC,easy,61,3271,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,1,0,training,lowSC,easy,65,2103,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,2,0,training,lowSC,easy,17,902,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,3,0,training,lowSC,average,52,718,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,4,0,training,lowSC,average,27,669,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,5,0,training,lowSC,average,26,618,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,6,0,training,lowSC,hard,37,536,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,7,0,training,lowSC,hard,39,752,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,8,0,training,lowSC,average,25,536,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,9,0,training,lowSC,hard,36,635,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,10,0,training,lowSC,hard,44,902,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,11,0,training,lowSC,easy,17,602,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,12,0,training,lowSC,easy,62,718,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,13,0,training,lowSC,hard,43,402,['n'],0,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,14,0,training,lowSC,hard,41,484,['n'],0,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,15,0,training,lowSC,hard,42,685,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,16,0,training,lowSC,average,52,668,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,17,0,training,lowSC,average,27,485,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,18,0,training,lowSC,easy,63,501,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,19,0,training,lowSC,easy,64,469,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,20,0,training,lowSC,hard,45,652,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,21,0,training,lowSC,easy,17,368,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,22,0,training,lowSC,hard,43,417,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,23,0,training,lowSC,easy,63,469,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,0,1,training,lowSC,average,26,419,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,1,1,training,lowSC,easy,61,534,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,2,1,training,lowSC,average,27,386,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,3,1,training,lowSC,easy,15,385,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,4,1,training,lowSC,hard,39,418,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,5,1,training,lowSC,average,54,468,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,6,1,training,lowSC,average,25,318,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,7,1,training,lowSC,easy,16,419,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,8,1,training,lowSC,hard,36,535,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,9,1,training,lowSC,hard,41,436,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,10,1,training,lowSC,average,55,502,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,11,1,training,lowSC,easy,63,401,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,12,1,training,lowSC,hard,45,419,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,13,1,training,lowSC,hard,36,568,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,14,1,training,lowSC,easy,64,435,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,15,1,training,lowSC,hard,37,401,['c'],0,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,16,1,training,lowSC,average,52,335,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,17,1,training,lowSC,hard,35,267,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,18,1,training,lowSC,average,25,468,['n'],1,right,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
,dotcolour,19,1,training,lowSC,easy,61,386,['c'],1,left,none,-99,-99,,,,,,,,,,,10,19,Man,Rechts,
