starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607601990,dotnumber,0,0,training,mediumSC,easy,26,50,868,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,1,0,training,mediumSC,average,39,50,720,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,2,0,training,mediumSC,hard,50,46,652,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,3,0,training,mediumSC,average,50,61,602,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,4,0,training,mediumSC,easy,50,73,685,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,5,0,training,mediumSC,average,39,50,985,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,6,0,training,mediumSC,hard,50,52,652,['c'],0,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,7,0,training,mediumSC,easy,50,75,585,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,8,0,training,mediumSC,average,64,50,634,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,9,0,training,mediumSC,average,39,50,1186,['c'],0,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,10,0,training,mediumSC,easy,50,25,568,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,11,0,training,mediumSC,average,63,50,736,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,12,0,training,mediumSC,average,50,35,584,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,13,0,training,mediumSC,easy,71,50,652,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,14,0,training,mediumSC,easy,50,27,501,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,15,0,training,mediumSC,hard,46,50,552,['n'],1,right,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,16,0,training,mediumSC,easy,50,28,518,['c'],1,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
,dotnumber,17,0,training,mediumSC,hard,50,45,652,['n'],0,left,none,-99,-99,,,,,,,,,,14,18,Vrouw,Links,
