starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1612777421,xotask,0,0,training,mediumSC,average,60,2904,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,1,0,training,mediumSC,hard,27,3221,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,2,0,training,mediumSC,average,61,986,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,3,0,training,mediumSC,easy,9,785,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,4,0,training,mediumSC,easy,70,1102,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,5,0,training,mediumSC,average,15,851,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,6,0,training,mediumSC,hard,26,1151,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,7,0,training,mediumSC,average,18,785,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,8,0,training,mediumSC,hard,27,752,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,9,0,training,mediumSC,easy,8,651,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,10,0,training,mediumSC,hard,51,701,['n'],0,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,11,0,training,mediumSC,average,19,752,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,12,0,training,mediumSC,hard,26,919,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,13,0,training,mediumSC,easy,8,619,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,14,0,training,mediumSC,average,19,668,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,15,0,training,mediumSC,average,64,701,['n'],0,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,16,0,training,mediumSC,average,19,819,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,17,0,training,mediumSC,easy,72,584,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,18,0,training,mediumSC,hard,28,685,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,19,0,training,mediumSC,easy,70,502,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,20,0,training,mediumSC,hard,50,568,['n'],0,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,21,0,training,mediumSC,easy,73,551,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,22,0,training,mediumSC,hard,29,835,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,23,0,training,mediumSC,hard,27,502,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,0,1,training,mediumSC,hard,26,734,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,1,1,training,mediumSC,hard,29,618,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,2,1,training,mediumSC,average,17,601,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,3,1,training,mediumSC,hard,27,651,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,4,1,training,mediumSC,average,61,618,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,5,1,training,mediumSC,hard,25,935,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,6,1,training,mediumSC,hard,54,901,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,7,1,training,mediumSC,easy,70,501,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,8,1,training,mediumSC,average,19,585,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,9,1,training,mediumSC,easy,73,584,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,10,1,training,mediumSC,hard,53,786,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,11,1,training,mediumSC,hard,51,668,['n'],0,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,12,1,training,mediumSC,average,19,951,['c'],0,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,13,1,training,mediumSC,easy,70,584,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,14,1,training,mediumSC,hard,53,585,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,15,1,training,mediumSC,hard,50,651,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,16,1,training,mediumSC,average,60,618,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,17,1,training,mediumSC,hard,52,701,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,18,1,training,mediumSC,easy,74,519,['c'],1,left,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
,xotask,19,1,training,mediumSC,hard,28,651,['n'],1,right,none,-99,-99,,,,,,,,,,,27,20,Vrouw,Rechts,
