starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607601875,dotnumber,0,0,training,lowSC,average,50,36,3004,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,1,0,training,lowSC,easy,50,75,1169,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,2,0,training,lowSC,average,50,35,1202,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,3,0,training,lowSC,hard,47,50,1552,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,4,0,training,lowSC,hard,50,55,2237,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,5,0,training,lowSC,hard,52,50,4588,['n'],0,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,6,0,training,lowSC,average,50,39,818,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,7,0,training,lowSC,easy,50,29,718,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,8,0,training,lowSC,easy,50,75,634,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,9,0,training,lowSC,easy,50,27,834,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,10,0,training,lowSC,average,37,50,1051,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,11,0,training,lowSC,hard,50,52,869,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,12,0,training,lowSC,easy,50,73,1920,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,13,0,training,lowSC,average,63,50,685,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,14,0,training,lowSC,easy,50,26,668,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,15,0,training,lowSC,hard,55,50,1052,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,16,0,training,lowSC,easy,50,72,752,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,17,0,training,lowSC,easy,28,50,702,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,18,0,training,lowSC,easy,27,50,703,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,19,0,training,lowSC,hard,50,48,851,['n'],0,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,20,0,training,lowSC,average,50,62,768,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,21,0,training,lowSC,hard,50,48,1202,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,22,0,training,lowSC,average,63,50,802,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,23,0,training,lowSC,hard,49,50,886,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,0,1,training,lowSC,average,61,50,585,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,1,1,training,lowSC,hard,50,49,1319,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,2,1,training,lowSC,average,50,37,969,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,3,1,training,lowSC,hard,50,55,884,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,4,1,training,lowSC,hard,49,50,818,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,5,1,training,lowSC,average,50,35,752,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,6,1,training,lowSC,average,50,62,1136,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,7,1,training,lowSC,easy,72,50,1002,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,8,1,training,lowSC,easy,50,74,902,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,9,1,training,lowSC,hard,50,51,702,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,10,1,training,lowSC,average,37,50,768,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,11,1,training,lowSC,easy,72,50,752,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,12,1,training,lowSC,average,36,50,1318,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,13,1,training,lowSC,hard,50,54,785,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,14,1,training,lowSC,easy,50,26,585,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,15,1,training,lowSC,hard,46,50,785,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,16,1,training,lowSC,easy,50,28,819,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,17,1,training,lowSC,average,61,50,1002,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,18,1,training,lowSC,average,50,64,735,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,19,1,training,lowSC,easy,50,71,651,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,20,1,training,lowSC,easy,50,29,685,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,21,1,training,lowSC,easy,27,50,635,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,22,1,training,lowSC,hard,50,48,619,['n'],0,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,23,1,training,lowSC,average,50,63,684,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,0,2,training,lowSC,average,36,50,869,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,1,2,training,lowSC,hard,51,50,1185,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,2,2,training,lowSC,hard,55,50,2285,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,3,2,training,lowSC,hard,50,54,685,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,4,2,training,lowSC,easy,73,50,701,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,5,2,training,lowSC,hard,50,51,786,['c'],0,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,6,2,training,lowSC,hard,53,50,803,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,7,2,training,lowSC,easy,75,50,735,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,8,2,training,lowSC,hard,50,52,785,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,9,2,training,lowSC,easy,27,50,717,['n'],1,right,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
,dotnumber,10,2,training,lowSC,average,64,50,552,['c'],1,left,none,-99,-99,,,,,,,,,,17,18,Vrouw,Rechts,
