starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613378130,dotcolour,0,0,training,mediumSC,average,54,2204,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,1,0,training,mediumSC,easy,15,969,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,2,0,training,mediumSC,average,54,1035,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,3,0,training,mediumSC,easy,62,852,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,4,0,training,mediumSC,easy,64,752,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,5,0,training,mediumSC,hard,41,819,['n'],0,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,6,0,training,mediumSC,hard,35,651,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,7,0,training,mediumSC,easy,17,534,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,8,0,training,mediumSC,easy,19,569,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,9,0,training,mediumSC,hard,42,1169,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,10,0,training,mediumSC,easy,17,752,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,11,0,training,mediumSC,hard,37,685,['c'],0,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,12,0,training,mediumSC,hard,35,936,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,13,0,training,mediumSC,easy,17,652,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,14,0,training,mediumSC,easy,61,618,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,15,0,training,mediumSC,hard,38,1070,['c'],0,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,16,0,training,mediumSC,hard,35,985,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,17,0,training,mediumSC,average,54,768,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,18,0,training,mediumSC,easy,15,602,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,19,0,training,mediumSC,average,26,584,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,20,0,training,mediumSC,easy,18,602,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,21,0,training,mediumSC,average,52,502,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,22,0,training,mediumSC,easy,61,502,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,23,0,training,mediumSC,easy,15,568,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,0,1,training,mediumSC,hard,37,868,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,1,1,training,mediumSC,easy,65,451,['c'],1,left,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
,dotcolour,2,1,training,mediumSC,easy,18,568,['n'],1,right,none,-99,-99,,,,,,,,,,,34,18,Vrouw,Rechts,
