"","drift","bound","ter","sub","condition","alpha","beta","manip","resid","difflevel","fixed_parameter","Npar","time"
"41",0.18739446589996,0.0856940599389042,0.503072987843322,"2","minus",10.046190170077,-0.480711994089587,"beta",0.00141444106524096,"easy","alpha",4,"all"
"42",0.105176269561538,0.090685289505667,0.481216559690673,"3","minus",16.571991481998,-0.722171701883588,"beta",0.00201495685387444,"easy","alpha",4,"all"
"43",0.124765908232773,0.0704730193891544,0.593418286673196,"5","minus",21.1674581114085,-1.02009860108374,"beta",0.00126409272736767,"easy","alpha",4,"all"
"44",0.102564292411181,0.0908413096284236,0.424831710477907,"6","minus",20.9534110625457,-1.62732502877294,"beta",0.00548540221585348,"easy","alpha",4,"all"
"45",0.170730649539587,0.0793797535979336,0.529539052641959,"7","minus",10.2588172170973,-0.146841463917654,"beta",0.00340873176973727,"easy","alpha",4,"all"
"46",0.111834590594251,0.0579801921448463,0.444063470830185,"8","minus",11.3093877119195,0.571037658425722,"beta",0.00180744935707018,"easy","alpha",4,"all"
"47",0.183106483971694,0.075752896891829,0.486698060613746,"9","minus",16.3489529160615,-1.68521957815007,"beta",0.0050681763709424,"easy","alpha",4,"all"
"48",0.222522903610019,0.0830222528548191,0.68336117879333,"10","minus",6.91623445978431,-0.586525157332356,"beta",0.00162821166892,"easy","alpha",4,"all"
"49",0.109824796417956,0.079146061563362,0.490780767082999,"11","minus",14.8955247762817,-0.413106884743032,"beta",0.00292665386176193,"easy","alpha",4,"all"
"50",0.00635522470096062,0.0681995663428518,0.139223132871051,"12","minus",29.5172199709707,-1.8690899267229,"beta",0.00936897016460905,"easy","alpha",4,"all"
"51",0.0579811820780481,0.0693025633934278,0.315748212998661,"15","minus",23.0335081821245,-0.723399099372518,"beta",0.00353437286013053,"easy","alpha",4,"all"
"52",0.140457555107384,0.07553672279536,0.583386320604562,"16","minus",27.8372111503047,-1.51366130289965,"beta",0.0103756767675477,"easy","alpha",4,"all"
"53",0.167812799897959,0.0741004910270617,0.589926894318082,"17","minus",19.9639278788321,-0.727823505307477,"beta",0.00144131562816945,"easy","alpha",4,"all"
"54",0.199901461375612,0.0704756700088615,0.494562652012127,"19","minus",8.65039197876642,0.156223294163041,"beta",0.00142542736990737,"easy","alpha",4,"all"
"55",0.138833328012516,0.084479131430533,0.843807891404161,"20","minus",20.4893446145509,-1.81883757430567,"beta",0.00410118989319389,"easy","alpha",4,"all"
"56",0.122360161865705,0.0710521120820978,0.476663588828996,"21","minus",20.3071322813738,-0.959244454900756,"beta",0.00118074856323835,"easy","alpha",4,"all"
"57",0.125212238047698,0.0679713675911713,0.551755277267368,"22","minus",26.4219020431383,-0.832005439349873,"beta",0.00149323398120073,"easy","alpha",4,"all"
"58",0.0560479564872073,0.0821301128510879,0.33319281143386,"24","minus",3.93945602517254,0.571538887036303,"beta",0.00364028574383908,"easy","alpha",4,"all"
"59",0.0867687157763168,0.0675867891144021,0.434220810383577,"25","minus",14.3424290741866,-0.0659492487347792,"beta",0.00386902594568313,"easy","alpha",4,"all"
"60",0.145682715378258,0.0627102440251061,0.352119351572217,"26","minus",31.9971591890677,-0.1775958111491,"beta",0.0013022168147546,"easy","alpha",4,"all"
"61",0.149065993831777,0.0607426286245859,0.485946781694206,"27","minus",7.92291468569094,-0.198050932980447,"beta",0.00228703002524506,"easy","alpha",4,"all"
"62",0.173683663323117,0.0652399471629706,0.532176757361985,"28","minus",12.6373338426468,-0.708529133078229,"beta",0.00352123061654311,"easy","alpha",4,"all"
"63",0.172222853578416,0.0774407202946396,0.448258296605332,"30","minus",26.0933505768805,-1.32274713727901,"beta",0.00497975360270472,"easy","alpha",4,"all"
"64",0.144388362714759,0.0679181264093014,0.44958954999926,"32","minus",8.5445343238643,-0.00830227768871798,"beta",0.00147076077025318,"easy","alpha",4,"all"
"65",0.273405993189249,0.0659749924175393,0.444569493350597,"33","minus",15.0229606356063,-0.75397433736025,"beta",0.00145520651633954,"easy","alpha",4,"all"
"66",0.139467707650773,0.0592724433215377,0.455927240152411,"34","minus",7.90865402289362,0.748378398216841,"beta",0.00154628039031028,"easy","alpha",4,"all"
"67",0.185260201541264,0.067775487565288,0.484657746493128,"35","minus",18.7291116981811,-0.759227179349422,"beta",0.00607800742462475,"easy","alpha",4,"all"
"68",0.112269414004927,0.0595332822376345,0.619532062463483,"36","minus",18.8358539105174,-0.220053314375765,"beta",0.00286514930631999,"easy","alpha",4,"all"
"69",0.151610598620771,0.0790434624722046,0.611398173009544,"37","minus",11.558187686903,-0.192833549967701,"beta",0.00376244332039799,"easy","alpha",4,"all"
"70",0.188470683947357,0.0645480546309599,0.471118982073083,"39","minus",6.53489566052887,0.728193588568364,"beta",0.00316317346680301,"easy","alpha",4,"all"
"71",0.145179397389535,0.0614266394355133,0.337737942314041,"40","minus",18.2346248809586,-0.719774665193658,"beta",0.0164045742789416,"easy","alpha",4,"all"
"72",0.190002446677802,0.0770193202117712,0.529016579152933,"41","minus",11.6912109321284,-0.348061137724724,"beta",0.00172888197711884,"easy","alpha",4,"all"
"73",0.249702828347918,0.0980602911762848,0.551733797572444,"42","minus",11.0065850008072,-0.427376802375698,"beta",0.00447126438724557,"easy","alpha",4,"all"
"74",0.120640219837232,0.0632017934988236,0.6671495305707,"44","minus",12.2930009107877,-0.59908265871787,"beta",0.00989588390338721,"easy","alpha",4,"all"
"115",0.18739446589996,0.0856940599389042,0.503072987843322,"2","control",10.046190170077,-0.411912884752642,"beta",0.00141444106524096,"easy","alpha",4,"all"
"116",0.105176269561538,0.090685289505667,0.481216559690673,"3","control",16.571991481998,-0.613457849918557,"beta",0.00201495685387444,"easy","alpha",4,"all"
"117",0.124765908232773,0.0704730193891544,0.593418286673196,"5","control",21.1674581114085,-0.58649606597577,"beta",0.00126409272736767,"easy","alpha",4,"all"
"118",0.102564292411181,0.0908413096284236,0.424831710477907,"6","control",20.9534110625457,-1.41685278661828,"beta",0.00548540221585348,"easy","alpha",4,"all"
"119",0.170730649539587,0.0793797535979336,0.529539052641959,"7","control",10.2588172170973,0.125186060865944,"beta",0.00340873176973727,"easy","alpha",4,"all"
"120",0.111834590594251,0.0579801921448463,0.444063470830185,"8","control",11.3093877119195,0.889235827146678,"beta",0.00180744935707018,"easy","alpha",4,"all"
"121",0.183106483971694,0.075752896891829,0.486698060613746,"9","control",16.3489529160615,-1.04274798868937,"beta",0.0050681763709424,"easy","alpha",4,"all"
"122",0.222522903610019,0.0830222528548191,0.68336117879333,"10","control",6.91623445978431,0.179425051344808,"beta",0.00162821166892,"easy","alpha",4,"all"
"123",0.109824796417956,0.079146061563362,0.490780767082999,"11","control",14.8955247762817,-0.0671226058782042,"beta",0.00292665386176193,"easy","alpha",4,"all"
"124",0.00635522470096062,0.0681995663428518,0.139223132871051,"12","control",29.5172199709707,-1.73311713190326,"beta",0.00936897016460905,"easy","alpha",4,"all"
"125",0.0579811820780481,0.0693025633934278,0.315748212998661,"15","control",23.0335081821245,-0.502579887191398,"beta",0.00353437286013053,"easy","alpha",4,"all"
"126",0.140457555107384,0.07553672279536,0.583386320604562,"16","control",27.8372111503047,-0.786283208415959,"beta",0.0103756767675477,"easy","alpha",4,"all"
"127",0.167812799897959,0.0741004910270617,0.589926894318082,"17","control",19.9639278788321,-0.772891172537591,"beta",0.00144131562816945,"easy","alpha",4,"all"
"128",0.199901461375612,0.0704756700088615,0.494562652012127,"19","control",8.65039197876642,-0.0334896117190186,"beta",0.00142542736990737,"easy","alpha",4,"all"
"129",0.138833328012516,0.084479131430533,0.843807891404161,"20","control",20.4893446145509,-1.64839581651009,"beta",0.00410118989319389,"easy","alpha",4,"all"
"130",0.122360161865705,0.0710521120820978,0.476663588828996,"21","control",20.3071322813738,-0.825665637906179,"beta",0.00118074856323835,"easy","alpha",4,"all"
"131",0.125212238047698,0.0679713675911713,0.551755277267368,"22","control",26.4219020431383,-0.0539786313516455,"beta",0.00149323398120073,"easy","alpha",4,"all"
"132",0.0560479564872073,0.0821301128510879,0.33319281143386,"24","control",3.93945602517254,0.563243217990364,"beta",0.00364028574383908,"easy","alpha",4,"all"
"133",0.0867687157763168,0.0675867891144021,0.434220810383577,"25","control",14.3424290741866,-0.321996111375433,"beta",0.00386902594568313,"easy","alpha",4,"all"
"134",0.145682715378258,0.0627102440251061,0.352119351572217,"26","control",31.9971591890677,-0.210138779891437,"beta",0.0013022168147546,"easy","alpha",4,"all"
"135",0.149065993831777,0.0607426286245859,0.485946781694206,"27","control",7.92291468569094,0.195741699964097,"beta",0.00228703002524506,"easy","alpha",4,"all"
"136",0.173683663323117,0.0652399471629706,0.532176757361985,"28","control",12.6373338426468,-0.702694940858493,"beta",0.00352123061654311,"easy","alpha",4,"all"
"137",0.172222853578416,0.0774407202946396,0.448258296605332,"30","control",26.0933505768805,-1.31701815533881,"beta",0.00497975360270472,"easy","alpha",4,"all"
"138",0.144388362714759,0.0679181264093014,0.44958954999926,"32","control",8.5445343238643,-0.232063674966075,"beta",0.00147076077025318,"easy","alpha",4,"all"
"139",0.273405993189249,0.0659749924175393,0.444569493350597,"33","control",15.0229606356063,-0.377462361886493,"beta",0.00145520651633954,"easy","alpha",4,"all"
"140",0.139467707650773,0.0592724433215377,0.455927240152411,"34","control",7.90865402289362,0.943284950537373,"beta",0.00154628039031028,"easy","alpha",4,"all"
"141",0.185260201541264,0.067775487565288,0.484657746493128,"35","control",18.7291116981811,-0.232355831030514,"beta",0.00607800742462475,"easy","alpha",4,"all"
"142",0.112269414004927,0.0595332822376345,0.619532062463483,"36","control",18.8358539105174,-0.427241431649842,"beta",0.00286514930631999,"easy","alpha",4,"all"
"143",0.151610598620771,0.0790434624722046,0.611398173009544,"37","control",11.558187686903,-0.307335724884278,"beta",0.00376244332039799,"easy","alpha",4,"all"
"144",0.188470683947357,0.0645480546309599,0.471118982073083,"39","control",6.53489566052887,0.520192955281674,"beta",0.00316317346680301,"easy","alpha",4,"all"
"145",0.145179397389535,0.0614266394355133,0.337737942314041,"40","control",18.2346248809586,-0.855903960261318,"beta",0.0164045742789416,"easy","alpha",4,"all"
"146",0.190002446677802,0.0770193202117712,0.529016579152933,"41","control",11.6912109321284,-0.121171396856079,"beta",0.00172888197711884,"easy","alpha",4,"all"
"147",0.249702828347918,0.0980602911762848,0.551733797572444,"42","control",11.0065850008072,-0.394661323540785,"beta",0.00447126438724557,"easy","alpha",4,"all"
"148",0.120640219837232,0.0632017934988236,0.6671495305707,"44","control",12.2930009107877,-0.195064090112284,"beta",0.00989588390338721,"easy","alpha",4,"all"
"189",0.18739446589996,0.0856940599389042,0.503072987843322,"2","plus",10.046190170077,0.0918472524338683,"beta",0.00141444106524096,"easy","alpha",4,"all"
"190",0.105176269561538,0.090685289505667,0.481216559690673,"3","plus",16.571991481998,-0.322989215458821,"beta",0.00201495685387444,"easy","alpha",4,"all"
"191",0.124765908232773,0.0704730193891544,0.593418286673196,"5","plus",21.1674581114085,-0.579014645888533,"beta",0.00126409272736767,"easy","alpha",4,"all"
"192",0.102564292411181,0.0908413096284236,0.424831710477907,"6","plus",20.9534110625457,-1.8851073753471,"beta",0.00548540221585348,"easy","alpha",4,"all"
"193",0.170730649539587,0.0793797535979336,0.529539052641959,"7","plus",10.2588172170973,0.24305291557071,"beta",0.00340873176973727,"easy","alpha",4,"all"
"194",0.111834590594251,0.0579801921448463,0.444063470830185,"8","plus",11.3093877119195,0.890403364383537,"beta",0.00180744935707018,"easy","alpha",4,"all"
"195",0.183106483971694,0.075752896891829,0.486698060613746,"9","plus",16.3489529160615,-0.794695223480323,"beta",0.0050681763709424,"easy","alpha",4,"all"
"196",0.222522903610019,0.0830222528548191,0.68336117879333,"10","plus",6.91623445978431,-1.02288453859684,"beta",0.00162821166892,"easy","alpha",4,"all"
"197",0.109824796417956,0.079146061563362,0.490780767082999,"11","plus",14.8955247762817,-0.082003716941466,"beta",0.00292665386176193,"easy","alpha",4,"all"
"198",0.00635522470096062,0.0681995663428518,0.139223132871051,"12","plus",29.5172199709707,-1.91056540654644,"beta",0.00936897016460905,"easy","alpha",4,"all"
"199",0.0579811820780481,0.0693025633934278,0.315748212998661,"15","plus",23.0335081821245,-0.843299009523771,"beta",0.00353437286013053,"easy","alpha",4,"all"
"200",0.140457555107384,0.07553672279536,0.583386320604562,"16","plus",27.8372111503047,-1.02384390134477,"beta",0.0103756767675477,"easy","alpha",4,"all"
"201",0.167812799897959,0.0741004910270617,0.589926894318082,"17","plus",19.9639278788321,-0.5611342311165,"beta",0.00144131562816945,"easy","alpha",4,"all"
"202",0.199901461375612,0.0704756700088615,0.494562652012127,"19","plus",8.65039197876642,0.0846274938438456,"beta",0.00142542736990737,"easy","alpha",4,"all"
"203",0.138833328012516,0.084479131430533,0.843807891404161,"20","plus",20.4893446145509,-1.67803534120326,"beta",0.00410118989319389,"easy","alpha",4,"all"
"204",0.122360161865705,0.0710521120820978,0.476663588828996,"21","plus",20.3071322813738,-0.781770415273127,"beta",0.00118074856323835,"easy","alpha",4,"all"
"205",0.125212238047698,0.0679713675911713,0.551755277267368,"22","plus",26.4219020431383,-0.231658421421207,"beta",0.00149323398120073,"easy","alpha",4,"all"
"206",0.0560479564872073,0.0821301128510879,0.33319281143386,"24","plus",3.93945602517254,0.529350099883023,"beta",0.00364028574383908,"easy","alpha",4,"all"
"207",0.0867687157763168,0.0675867891144021,0.434220810383577,"25","plus",14.3424290741866,-0.224124412122346,"beta",0.00386902594568313,"easy","alpha",4,"all"
"208",0.145682715378258,0.0627102440251061,0.352119351572217,"26","plus",31.9971591890677,-0.588833674246416,"beta",0.0013022168147546,"easy","alpha",4,"all"
