starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613378123,dotnumber,0,0,training,lowSC,easy,50,27,1320,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,1,0,training,lowSC,easy,50,71,1202,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,2,0,training,lowSC,easy,28,50,1002,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,3,0,training,lowSC,easy,50,28,818,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,4,0,training,lowSC,average,50,39,600,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,5,0,training,lowSC,hard,54,50,486,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,6,0,training,lowSC,hard,48,50,652,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,7,0,training,lowSC,hard,50,53,618,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,8,0,training,lowSC,average,61,50,718,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,9,0,training,lowSC,easy,72,50,668,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,10,0,training,lowSC,hard,54,50,1085,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,11,0,training,lowSC,easy,72,50,802,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,12,0,training,lowSC,hard,53,50,935,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,13,0,training,lowSC,hard,50,48,534,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,14,0,training,lowSC,average,37,50,651,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,15,0,training,lowSC,average,35,50,618,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,16,0,training,lowSC,easy,50,71,585,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,17,0,training,lowSC,hard,50,54,534,['c'],0,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,18,0,training,lowSC,easy,50,72,452,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,19,0,training,lowSC,easy,26,50,452,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,20,0,training,lowSC,easy,29,50,534,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,21,0,training,lowSC,hard,53,50,519,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,22,0,training,lowSC,easy,71,50,569,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,23,0,training,lowSC,average,35,50,469,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,0,1,training,lowSC,hard,50,46,619,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,1,1,training,lowSC,hard,53,50,601,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,2,1,training,lowSC,hard,46,50,651,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,3,1,training,lowSC,average,50,38,785,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,4,1,training,lowSC,easy,50,73,618,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,5,1,training,lowSC,hard,45,50,1036,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,6,1,training,lowSC,easy,50,25,501,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,7,1,training,lowSC,average,50,38,852,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,8,1,training,lowSC,easy,50,71,835,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,9,1,training,lowSC,easy,75,50,552,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,10,1,training,lowSC,hard,50,48,919,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,11,1,training,lowSC,average,35,50,736,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,12,1,training,lowSC,average,36,50,502,['n'],1,right,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,13,1,training,lowSC,average,65,50,584,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,14,1,training,lowSC,average,50,38,452,['n'],0,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
,dotnumber,15,1,training,lowSC,easy,50,28,418,['c'],1,left,none,-99,-99,,,,,,,,,,35,0,Vrouw,Rechts,
