starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613378138,dotcolour,0,0,training,highSC,easy,19,2286,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,1,0,training,highSC,easy,18,702,['c'],0,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,2,0,training,highSC,easy,63,753,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,3,0,training,highSC,average,29,701,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,4,0,training,highSC,hard,45,702,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,5,0,training,highSC,average,25,751,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,6,0,training,highSC,easy,62,752,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,7,0,training,highSC,hard,43,1369,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,8,0,training,highSC,hard,37,1670,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,9,0,training,highSC,easy,64,986,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,10,0,training,highSC,hard,44,835,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,11,0,training,highSC,average,54,1753,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,12,0,training,highSC,average,51,769,['c'],1,left,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,13,0,training,highSC,hard,35,1136,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,14,0,training,highSC,easy,16,818,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
,dotcolour,15,0,training,highSC,easy,18,785,['n'],1,right,none,-99,-99,,,,,,,,,,,31,19,Vrouw,Rechts,
