starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1608038624,dotcolour,0,0,training,lowSC,average,55,2553,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,1,0,training,lowSC,easy,16,1052,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,2,0,training,lowSC,hard,38,1270,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,3,0,training,lowSC,easy,65,902,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,4,0,training,lowSC,average,27,902,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,5,0,training,lowSC,average,54,917,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,6,0,training,lowSC,average,29,752,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,7,0,training,lowSC,average,52,701,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,8,0,training,lowSC,easy,17,602,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,9,0,training,lowSC,easy,15,668,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,10,0,training,lowSC,hard,41,1419,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,11,0,training,lowSC,hard,37,1470,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,12,0,training,lowSC,easy,65,2570,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,13,0,training,lowSC,average,25,702,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,14,0,training,lowSC,easy,17,802,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,15,0,training,lowSC,average,29,1119,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,16,0,training,lowSC,easy,63,636,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,17,0,training,lowSC,easy,64,585,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,18,0,training,lowSC,average,54,885,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,19,0,training,lowSC,average,53,852,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,20,0,training,lowSC,easy,17,620,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,21,0,training,lowSC,average,52,752,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,22,0,training,lowSC,hard,43,1018,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,23,0,training,lowSC,hard,36,718,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,0,1,training,lowSC,easy,16,635,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,1,1,training,lowSC,average,51,569,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,2,1,training,lowSC,average,26,836,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,3,1,training,lowSC,easy,19,585,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,4,1,training,lowSC,average,26,502,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,5,1,training,lowSC,average,28,485,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,6,1,training,lowSC,average,29,886,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,7,1,training,lowSC,average,27,685,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,8,1,training,lowSC,easy,15,619,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,9,1,training,lowSC,hard,43,685,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,10,1,training,lowSC,hard,37,869,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,11,1,training,lowSC,average,27,618,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,12,1,training,lowSC,hard,45,902,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,13,1,training,lowSC,average,54,801,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,14,1,training,lowSC,easy,64,635,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,15,1,training,lowSC,hard,43,702,['n'],0,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,16,1,training,lowSC,hard,37,752,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,17,1,training,lowSC,easy,62,619,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,18,1,training,lowSC,hard,36,685,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,19,1,training,lowSC,easy,18,569,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,20,1,training,lowSC,average,54,569,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,21,1,training,lowSC,average,28,619,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,22,1,training,lowSC,average,26,818,['n'],1,right,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,23,1,training,lowSC,easy,65,569,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
,dotcolour,0,2,training,lowSC,easy,62,634,['c'],1,left,none,-99,-99,,,,,,,,,,,28,18,Man,Rechts,
