starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607523826,dotnumber,0,0,training,highSC,average,65,50,1386,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,1,0,training,highSC,average,50,37,869,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,2,0,training,highSC,average,50,64,1187,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,3,0,training,highSC,hard,51,50,802,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,4,0,training,highSC,hard,46,50,1185,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,5,0,training,highSC,hard,55,50,885,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,6,0,training,highSC,easy,50,74,953,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,7,0,training,highSC,average,50,39,802,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,8,0,training,highSC,hard,50,45,785,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,9,0,training,highSC,hard,48,50,852,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,10,0,training,highSC,average,61,50,818,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,11,0,training,highSC,hard,47,50,835,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,12,0,training,highSC,hard,50,46,1502,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,13,0,training,highSC,easy,73,50,718,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,14,0,training,highSC,hard,45,50,768,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,15,0,training,highSC,average,35,50,685,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,16,0,training,highSC,easy,26,50,684,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,17,0,training,highSC,average,50,39,701,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,18,0,training,highSC,average,50,62,669,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,19,0,training,highSC,easy,50,73,868,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,20,0,training,highSC,average,37,50,1136,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,21,0,training,highSC,average,39,50,619,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,22,0,training,highSC,easy,71,50,568,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,23,0,training,highSC,easy,50,29,852,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,0,1,training,highSC,hard,50,54,902,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,1,1,training,highSC,hard,54,50,902,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,2,1,training,highSC,hard,49,50,1352,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,3,1,training,highSC,average,64,50,1019,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,4,1,training,highSC,hard,54,50,902,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,5,1,training,highSC,average,50,63,1703,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,6,1,training,highSC,average,50,39,1003,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,7,1,training,highSC,average,64,50,901,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,8,1,training,highSC,average,50,63,786,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,9,1,training,highSC,hard,49,50,886,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,10,1,training,highSC,average,36,50,718,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,11,1,training,highSC,easy,50,75,769,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,12,1,training,highSC,average,50,63,685,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,13,1,training,highSC,easy,50,28,668,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,14,1,training,highSC,easy,50,27,601,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,15,1,training,highSC,average,63,50,668,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,16,1,training,highSC,hard,50,46,1002,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,17,1,training,highSC,hard,45,50,750,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,18,1,training,highSC,hard,50,51,735,['c'],0,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,19,1,training,highSC,hard,55,50,669,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,20,1,training,highSC,easy,26,50,768,['n'],1,right,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,21,1,training,highSC,easy,72,50,618,['c'],1,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
,dotnumber,22,1,training,highSC,hard,52,50,636,['n'],0,left,none,-99,-99,,,,,,,,,,11,18,Vrouw,Rechts,
