starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607601868,dotcolour,0,0,training,highSC,easy,16,785,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,1,0,training,highSC,average,28,786,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,2,0,training,highSC,average,54,652,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,3,0,training,highSC,easy,62,668,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,4,0,training,highSC,hard,45,702,['n'],0,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,5,0,training,highSC,hard,36,635,['c'],0,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,6,0,training,highSC,average,53,768,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,7,0,training,highSC,hard,35,618,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,8,0,training,highSC,average,27,1486,['c'],0,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,9,0,training,highSC,hard,38,752,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,10,0,training,highSC,average,28,634,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,11,0,training,highSC,average,25,668,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,12,0,training,highSC,hard,43,1320,['n'],0,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,13,0,training,highSC,hard,43,685,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,14,0,training,highSC,hard,38,451,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,15,0,training,highSC,hard,45,585,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,16,0,training,highSC,hard,45,719,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,17,0,training,highSC,hard,45,852,['n'],0,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,18,0,training,highSC,hard,35,835,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,19,0,training,highSC,average,25,652,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,20,0,training,highSC,hard,37,702,['c'],0,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,21,0,training,highSC,average,28,1052,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,22,0,training,highSC,easy,64,569,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,23,0,training,highSC,average,51,652,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,0,1,training,highSC,average,54,718,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,1,1,training,highSC,easy,62,668,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,2,1,training,highSC,hard,41,868,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,3,1,training,highSC,average,55,468,['c'],1,left,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,4,1,training,highSC,easy,17,569,['n'],1,right,none,-99,-99,,,,,,,,,,,13,18,Vrouw,Rechts,
