starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613565335,xotask,0,0,training,mediumSC,average,19,1703,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,1,0,training,mediumSC,hard,52,1637,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,2,0,training,mediumSC,hard,52,918,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,3,0,training,mediumSC,hard,25,1452,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,4,0,training,mediumSC,hard,28,1203,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,5,0,training,mediumSC,hard,25,1035,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,6,0,training,mediumSC,easy,7,935,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,7,0,training,mediumSC,average,60,653,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,8,0,training,mediumSC,average,16,635,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,9,0,training,mediumSC,easy,7,852,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,10,0,training,mediumSC,hard,25,718,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,11,0,training,mediumSC,easy,5,685,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,12,0,training,mediumSC,hard,54,1168,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,13,0,training,mediumSC,easy,71,869,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,14,0,training,mediumSC,easy,8,718,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,15,0,training,mediumSC,easy,72,752,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,16,0,training,mediumSC,easy,70,936,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,17,0,training,mediumSC,hard,29,868,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,18,0,training,mediumSC,average,18,735,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,19,0,training,mediumSC,average,16,651,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,20,0,training,mediumSC,hard,25,735,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,21,0,training,mediumSC,easy,5,669,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,22,0,training,mediumSC,hard,28,1003,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,23,0,training,mediumSC,easy,73,835,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,0,1,training,mediumSC,average,61,685,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,1,1,training,mediumSC,easy,6,685,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,2,1,training,mediumSC,easy,9,635,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,3,1,training,mediumSC,hard,25,969,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,4,1,training,mediumSC,hard,53,736,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,5,1,training,mediumSC,hard,27,651,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,6,1,training,mediumSC,average,63,668,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,7,1,training,mediumSC,average,62,886,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,8,1,training,mediumSC,easy,73,836,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,9,1,training,mediumSC,average,62,835,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,10,1,training,mediumSC,easy,70,819,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,11,1,training,mediumSC,easy,5,586,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,12,1,training,mediumSC,easy,72,852,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,13,1,training,mediumSC,hard,28,519,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,14,1,training,mediumSC,easy,6,585,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,15,1,training,mediumSC,hard,50,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,16,1,training,mediumSC,hard,53,869,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,17,1,training,mediumSC,average,15,585,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,18,1,training,mediumSC,easy,72,786,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,19,1,training,mediumSC,average,16,568,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,20,1,training,mediumSC,average,60,768,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,21,1,training,mediumSC,easy,5,568,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,22,1,training,mediumSC,easy,9,485,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,23,1,training,mediumSC,easy,72,618,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,0,2,training,mediumSC,hard,25,935,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,1,2,training,mediumSC,hard,53,552,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,2,2,training,mediumSC,easy,74,586,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,3,2,training,mediumSC,easy,7,569,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,4,2,training,mediumSC,average,60,535,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,5,2,training,mediumSC,hard,25,684,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,6,2,training,mediumSC,easy,74,1421,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,7,2,training,mediumSC,easy,73,535,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,8,2,training,mediumSC,average,64,418,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,9,2,training,mediumSC,easy,74,451,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,10,2,training,mediumSC,hard,28,651,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,11,2,training,mediumSC,easy,73,568,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,12,2,training,mediumSC,easy,6,685,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,13,2,training,mediumSC,easy,7,801,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,14,2,training,mediumSC,easy,70,551,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,15,2,training,mediumSC,easy,8,668,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,16,2,training,mediumSC,easy,5,868,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,17,2,training,mediumSC,average,18,734,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,18,2,training,mediumSC,hard,27,518,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,19,2,training,mediumSC,easy,7,601,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,20,2,training,mediumSC,hard,52,501,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,21,2,training,mediumSC,hard,53,1286,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,22,2,training,mediumSC,average,61,985,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,23,2,training,mediumSC,average,62,1019,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,0,3,training,mediumSC,hard,53,1252,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,1,3,training,mediumSC,hard,51,1120,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,2,3,training,mediumSC,average,62,986,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,3,3,training,mediumSC,average,17,851,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,4,3,training,mediumSC,easy,9,801,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,5,3,training,mediumSC,hard,28,769,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,6,3,training,mediumSC,average,15,667,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,7,3,training,mediumSC,hard,28,868,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,8,3,training,mediumSC,easy,9,518,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,9,3,training,mediumSC,easy,71,619,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,10,3,training,mediumSC,average,15,886,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,11,3,training,mediumSC,easy,72,567,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,12,3,training,mediumSC,easy,9,1469,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,13,3,training,mediumSC,easy,9,868,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,14,3,training,mediumSC,hard,53,785,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,15,3,training,mediumSC,hard,26,801,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,16,3,training,mediumSC,easy,5,652,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,17,3,training,mediumSC,hard,28,635,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,18,3,training,mediumSC,hard,54,886,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,19,3,training,mediumSC,average,15,1035,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,20,3,training,mediumSC,hard,53,719,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,21,3,training,mediumSC,easy,71,650,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,22,3,training,mediumSC,hard,29,686,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,23,3,training,mediumSC,average,64,535,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,0,4,training,mediumSC,easy,70,552,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,1,4,training,mediumSC,easy,70,451,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,2,4,training,mediumSC,hard,50,418,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,3,4,training,mediumSC,average,16,584,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,4,4,training,mediumSC,easy,8,652,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,5,4,training,mediumSC,hard,27,535,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,6,4,training,mediumSC,easy,72,401,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,7,4,training,mediumSC,hard,54,535,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,8,4,training,mediumSC,hard,28,652,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,9,4,training,mediumSC,easy,70,752,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,10,4,training,mediumSC,easy,8,552,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,11,4,training,mediumSC,hard,54,769,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,12,4,training,mediumSC,hard,29,1019,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,13,4,training,mediumSC,easy,72,518,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,14,4,training,mediumSC,hard,51,785,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,15,4,training,mediumSC,average,64,551,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,16,4,training,mediumSC,average,63,585,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,17,4,training,mediumSC,average,61,619,['n'],0,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,18,4,training,mediumSC,hard,27,851,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,19,4,training,mediumSC,hard,25,651,['n'],1,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,20,4,training,mediumSC,hard,28,552,['c'],0,right,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
,xotask,21,4,training,mediumSC,easy,74,618,['c'],1,left,none,-99,-99,,,,,,,,,,,45,19,Vrouw,Rechts,
