starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607513815,dotcolour,0,0,training,mediumSC,easy,15,2854,['n'],1,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,1,0,training,mediumSC,easy,62,1102,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,2,0,training,mediumSC,hard,35,1553,['c'],0,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,3,0,training,mediumSC,average,52,869,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,4,0,training,mediumSC,average,51,1085,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,5,0,training,mediumSC,hard,44,1135,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,6,0,training,mediumSC,average,53,885,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,7,0,training,mediumSC,hard,42,1535,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,8,0,training,mediumSC,easy,61,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,9,0,training,mediumSC,hard,38,1370,['n'],1,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,10,0,training,mediumSC,average,26,718,['n'],1,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,11,0,training,mediumSC,easy,65,869,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,12,0,training,mediumSC,hard,43,1118,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,13,0,training,mediumSC,hard,42,1470,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,14,0,training,mediumSC,average,27,1068,['n'],1,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,15,0,training,mediumSC,easy,18,902,['n'],1,right,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
,dotcolour,16,0,training,mediumSC,average,55,736,['c'],1,left,none,-99,-99,,,,,,,,,,,7,17,Vrouw,Rechts,
