starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613565282,dotcolour,0,0,training,lowSC,average,54,2353,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,1,0,training,lowSC,easy,64,668,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,2,0,training,lowSC,average,26,1552,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,3,0,training,lowSC,easy,64,868,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,4,0,training,lowSC,easy,18,718,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,5,0,training,lowSC,hard,41,2019,['n'],0,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,6,0,training,lowSC,hard,42,852,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,7,0,training,lowSC,easy,65,569,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,8,0,training,lowSC,average,54,534,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,9,0,training,lowSC,easy,16,502,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,10,0,training,lowSC,hard,37,702,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,11,0,training,lowSC,average,53,568,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,12,0,training,lowSC,average,51,1619,['n'],0,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,13,0,training,lowSC,easy,19,669,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,14,0,training,lowSC,average,26,735,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,15,0,training,lowSC,hard,45,785,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,16,0,training,lowSC,hard,36,1069,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,17,0,training,lowSC,hard,38,769,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,18,0,training,lowSC,easy,19,484,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,19,0,training,lowSC,hard,38,902,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,20,0,training,lowSC,hard,38,735,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,21,0,training,lowSC,easy,17,535,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,22,0,training,lowSC,average,28,568,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,23,0,training,lowSC,average,28,501,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,0,1,training,lowSC,hard,43,1336,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,1,1,training,lowSC,average,51,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,2,1,training,lowSC,average,53,634,['c'],1,left,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,3,1,training,lowSC,average,29,668,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
,dotcolour,4,1,training,lowSC,easy,17,551,['n'],1,right,none,-99,-99,,,,,,,,,,,46,18,Vrouw,Rechts,
