withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,57,23,4.7668145999998615,['n'],0,left,['1'],1,8.232983500000046,[0.67691826],2.0,57,medium,plus,shape,beta,,,25,18,V,R,
1,0,training,23,57,6.683907699999963,['c'],0,right,['1'],1,2.1217139999998835,[-0.28229784],6.0,57,medium,plus,shape,beta,,,25,18,V,R,
2,0,training,49,31,2.49969329999999,['c'],1,left,['8'],4,2.9675975000000108,[0.19485727],93.0,49,hard,plus,shape,beta,,,25,18,V,R,
3,0,training,23,57,3.0837031000000934,['c'],0,right,['3'],3,3.356522600000062,[-0.35225267],5.0,57,medium,plus,shape,beta,,,25,18,V,R,
4,0,training,57,23,3.3830763999999363,['c'],1,left,['9'],5,1.4620669999999336,[0.17666274],97.0,57,medium,plus,shape,beta,,,25,18,V,R,
5,0,training,57,23,3.9840939000000617,['n'],0,left,['3'],3,1.0115902999998525,[-0.03905928],84.0,57,medium,plus,shape,beta,,,25,18,V,R,
6,0,training,49,31,6.60057380000012,['c'],1,left,['1'],1,0.8420134000000417,[0.18769074],99.0,49,hard,plus,shape,beta,,,25,18,V,R,
7,0,training,62,18,4.415870300000051,['n'],0,left,['3'],3,2.143314700000019,[0.43239642],1.0,62,easy,plus,shape,beta,,,25,18,V,R,
8,0,training,18,62,4.61676209999996,['n'],1,right,['2'],2,2.9521609999999328,[-0.58562674],100.0,62,easy,plus,shape,beta,,,25,18,V,R,
9,0,training,57,23,3.216256799999883,['c'],1,left,['9'],5,2.440491399999928,[0.48238575],100.0,57,medium,plus,shape,beta,,,25,18,V,R,
10,0,training,31,49,1.3494672999997874,['c'],0,right,['2'],2,1.9117261000001236,[0.06917703],84.0,49,hard,plus,shape,beta,,,25,18,V,R,
11,0,training,23,57,5.5664407000001574,['n'],1,right,['0'],6,0.9314620999998624,[-0.16579588],98.0,57,medium,plus,shape,beta,,,25,18,V,R,
12,0,training,31,49,2.267207899999903,['n'],1,right,['8'],4,1.9787675999998555,[-0.04774461],79.0,49,hard,plus,shape,beta,,,25,18,V,R,
13,0,training,18,62,2.20017770000004,['c'],0,right,['2'],2,0.427196499999809,[0.00993345],86.0,62,easy,plus,shape,beta,,,25,18,V,R,
14,0,training,31,49,3.4004207999998926,['n'],1,right,['3'],3,3.225379700000076,[-0.29174021],97.0,49,hard,plus,shape,beta,,,25,18,V,R,
15,0,training,62,18,2.1168852000000697,['c'],1,left,['0'],6,1.7386618999998973,[0.21438245],98.0,62,easy,plus,shape,beta,,,25,18,V,R,
16,0,training,23,57,3.1497506000000612,['n'],1,right,['1'],1,0.7510968999999932,[-0.13151723],98.0,57,medium,plus,shape,beta,,,25,18,V,R,
17,0,training,23,57,3.066557200000034,['n'],1,right,['9'],5,1.0687990999999784,[-0.29478941],100.0,57,medium,plus,shape,beta,,,25,18,V,R,
18,0,training,31,49,1.6834928999999192,['c'],0,right,['8'],4,2.9821245999999064,[-0.14259979],29.0,49,hard,plus,shape,beta,,,25,18,V,R,
19,0,training,49,31,1.7671620999999504,['c'],1,left,['0'],6,0.7508732000001146,[0.17507113],99.0,49,hard,plus,shape,beta,,,25,18,V,R,
20,0,training,49,31,1.6001497999998264,['c'],1,left,['0'],6,0.44002819999991516,[0.0257408],90.0,49,hard,plus,shape,beta,,,25,18,V,R,
21,0,training,18,62,0.6838944999999512,['n'],1,right,['9'],5,0.9141692000000603,[-0.23194557],100.0,62,easy,plus,shape,beta,,,25,18,V,R,
22,0,training,18,62,1.44992040000011,['n'],1,right,['9'],5,0.9545226000000184,[-0.31958269],100.0,62,easy,plus,shape,beta,,,25,18,V,R,
23,0,training,57,23,2.5168186999999307,['c'],1,left,['9'],5,1.0471532999999908,[0.21673808],99.0,57,medium,plus,shape,beta,,,25,18,V,R,
24,0,training,18,62,2.0505035000001044,['n'],1,right,['8'],4,2.6101359000001594,[-0.59581711],100.0,62,easy,plus,shape,beta,,,25,18,V,R,
25,0,training,62,18,1.167201200000136,['c'],1,left,['0'],6,0.5458238000001074,[0.14757728],99.0,62,easy,plus,shape,beta,,,25,18,V,R,
26,0,training,62,18,3.8330547999999,['n'],0,left,['8'],4,0.6183680999999979,[0.23733697],2.0,62,easy,plus,shape,beta,,,25,18,V,R,
27,0,training,31,49,1.5166223000001082,['c'],0,right,['9'],5,0.8602622999999312,[0.11501022],96.0,49,hard,plus,shape,beta,,,25,18,V,R,
28,0,training,62,18,1.0832886000000599,['c'],1,left,['9'],5,0.4698989999999412,[0.08734952],98.0,62,easy,plus,shape,beta,,,25,18,V,R,
29,0,training,62,18,0.9331675000000814,['c'],1,left,['8'],4,0.8209514999998646,[0.28691691],100.0,62,easy,plus,shape,beta,,,25,18,V,R,
30,0,training,23,57,0.9327834999999141,['c'],0,right,['0'],6,0.29363499999999476,[0.00542705],88.0,57,medium,plus,shape,beta,,,25,18,V,R,
