withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,44,36,1.8492742999999336,['c'],1,left,['0'],1,2.7237310000000434,[0.28676101],96.0,44,hard,control,colour,beta,,,36,18,V,R,
1,0,training,47,33,2.5164640999998937,['c'],1,left,['2'],5,2.1363421999999446,[0.54960303],100.0,47,medium,control,colour,beta,,,36,18,V,R,
2,0,training,53,27,1.3499159000000418,['c'],1,left,['2'],5,1.5874690000000555,[0.28505344],98.0,53,easy,control,colour,beta,,,36,18,V,R,
3,0,training,36,44,2.366653099999894,['n'],1,right,['8'],3,1.1804932000000008,[-0.19244918],96.0,44,hard,control,colour,beta,,,36,18,V,R,
4,0,training,27,53,1.483277199999975,['c'],0,right,['8'],3,0.7929902000000766,[0.05489429],75.0,53,easy,control,colour,beta,,,36,18,V,R,
5,0,training,44,36,1.466732699999966,['c'],1,left,['2'],5,0.7419142000001102,[0.12286404],93.0,44,hard,control,colour,beta,,,36,18,V,R,
6,0,training,44,36,1.2668919999998707,['c'],1,left,['2'],5,1.117018700000017,[0.04417403],68.0,44,hard,control,colour,beta,,,36,18,V,R,
7,0,training,47,33,1.1656868000000031,['c'],1,left,['2'],5,0.8570558999999776,[0.27881053],100.0,47,medium,control,colour,beta,,,36,18,V,R,
8,0,training,27,53,1.333317500000021,['n'],1,right,['2'],5,0.6962155999999595,[-0.11982891],93.0,53,easy,control,colour,beta,,,36,18,V,R,
9,0,training,47,33,0.8835589999998774,['c'],1,left,['3'],4,0.6717975000001388,[0.04334114],72.0,47,medium,control,colour,beta,,,36,18,V,R,
10,0,training,44,36,0.7007548000001407,['c'],1,left,['2'],5,0.3362256000000343,[0.09501123],95.0,44,hard,control,colour,beta,,,36,18,V,R,
11,0,training,47,33,0.8664902000000438,['c'],1,left,['1'],6,0.05501239999989593,[0.04936641],98.0,47,medium,control,colour,beta,,,36,18,V,R,
12,0,training,33,47,1.1001510999999482,['n'],1,right,['8'],3,0.576128400000016,[-0.00313233],52.0,47,medium,control,colour,beta,,,36,18,V,R,
13,0,training,33,47,1.0988634000000275,['c'],0,right,['2'],5,0.5484724999998889,[0.00573768],53.0,47,medium,control,colour,beta,,,36,18,V,R,
14,0,training,33,47,1.2168338000001313,['n'],1,right,['3'],4,0.6286938000000646,[-0.23616056],100.0,47,medium,control,colour,beta,,,36,18,V,R,
15,0,training,33,47,0.9338078000000678,['c'],0,right,['2'],5,0.33377169999994294,[0.0489104],82.0,47,medium,control,colour,beta,,,36,18,V,R,
16,0,training,44,36,0.9167225000001054,['c'],1,left,['1'],6,0.3231805999998869,[0.10925781],97.0,44,hard,control,colour,beta,,,36,18,V,R,
17,0,training,53,27,0.9830314999999246,['c'],1,left,['2'],5,0.32628959999988183,[0.14835456],99.0,53,easy,control,colour,beta,,,36,18,V,R,
18,0,training,27,53,1.3835166999999728,['n'],1,right,['8'],3,0.8734913000000688,[-0.2974286],100.0,53,easy,control,colour,beta,,,36,18,V,R,
