withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,53,27,5.049955400000044,['n'],0,left,['8'],3,12.27677349999999,[2.55216764],0.0,53,easy,plus,colour,beta,,,42,19,V,R,
1,0,training,33,47,2.316812000000027,['n'],1,right,['2'],5,4.352888699999994,[-1.02566813],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
2,0,training,44,36,3.233985000000075,['c'],1,left,['3'],4,5.447917299999972,[0.37295262],96.0,44,hard,plus,colour,beta,,,42,19,V,R,
3,0,training,27,53,1.2839907999998559,['n'],1,right,['1'],6,1.025024300000041,[-0.3089668],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
4,0,training,53,27,1.5333473000000595,['c'],1,left,['1'],6,0.4820452999999816,[0.26997852],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
5,0,training,33,47,1.1170168999999532,['n'],1,right,['1'],6,0.44196529999999257,[-0.09957004],99.0,47,medium,plus,colour,beta,,,42,19,V,R,
6,0,training,36,44,0.9997885000000224,['n'],1,right,['1'],6,0.34342359999982364,[-0.17108004],100.0,44,hard,plus,colour,beta,,,42,19,V,R,
7,0,training,33,47,1.3167264000001069,['n'],1,right,['1'],6,0.3004460999998173,[-0.06737993],98.0,47,medium,plus,colour,beta,,,42,19,V,R,
8,0,training,53,27,0.8665152000000944,['c'],1,left,['1'],6,0.3412188999998307,[0.07046327],98.0,53,easy,plus,colour,beta,,,42,19,V,R,
9,0,training,53,27,1.2160106999999698,['c'],1,left,['1'],6,0.36636079999993854,[0.16076809],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
10,0,training,53,27,0.7823124000001371,['c'],1,left,['1'],6,0.2640989999999874,[0.02765264],95.0,53,easy,plus,colour,beta,,,42,19,V,R,
11,0,training,36,44,0.8335176999999021,['n'],1,right,['1'],6,0.3241596999998819,[-0.01127914],89.0,44,hard,plus,colour,beta,,,42,19,V,R,
12,0,training,47,33,1.1342019000001073,['c'],1,left,['1'],6,0.2567664999999124,[0.06149344],98.0,47,medium,plus,colour,beta,,,42,19,V,R,
13,0,training,47,33,0.8009809000000132,['c'],1,left,['1'],6,0.4297735999998622,[0.04060158],93.0,47,medium,plus,colour,beta,,,42,19,V,R,
14,0,training,47,33,1.400412899999992,['c'],1,left,['1'],6,0.5401349999999638,[0.19802309],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
15,0,training,53,27,0.6675873000001502,['c'],1,left,['1'],6,0.4511635000001206,[-0.06220553],46.0,53,easy,plus,colour,beta,,,42,19,V,R,
16,0,training,44,36,1.28313890000004,['c'],1,left,['1'],6,0.96495549999986,[0.1830473],99.0,44,hard,plus,colour,beta,,,42,19,V,R,
17,0,training,33,47,1.6833455999999387,['n'],1,right,['1'],6,0.6902207000000544,[0.000153],77.0,47,medium,plus,colour,beta,,,42,19,V,R,
18,0,training,33,47,3.4001614000001155,['c'],0,right,['8'],3,3.6220028999998704,[-0.27374261],11.0,47,medium,plus,colour,beta,,,42,19,V,R,
19,0,training,44,36,2.5326919000001453,['c'],1,left,['8'],3,1.5428494000000228,[0.16322677],96.0,44,hard,plus,colour,beta,,,42,19,V,R,
20,0,training,47,33,2.4163720999999896,['c'],1,left,['3'],4,1.1999897000000601,[0.44285104],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
21,0,training,36,44,5.249227900000051,['n'],1,right,['9'],2,2.3251718000001347,[-0.26265896],98.0,44,hard,plus,colour,beta,,,42,19,V,R,
22,0,training,27,53,1.3508963999997832,['n'],1,right,['1'],6,0.3610307000001285,[-0.09617233],99.0,53,easy,plus,colour,beta,,,42,19,V,R,
23,0,training,36,44,1.166729000000032,['n'],1,right,['1'],6,0.35547790000009627,[-0.06940418],98.0,44,hard,plus,colour,beta,,,42,19,V,R,
24,0,training,44,36,2.8834603000000243,['n'],0,left,['8'],3,3.0494948000000477,[0.26172674],11.0,44,hard,plus,colour,beta,,,42,19,V,R,
25,0,training,44,36,2.599422900000036,['c'],1,left,['8'],3,1.9984617000000071,[0.13749478],92.0,44,hard,plus,colour,beta,,,42,19,V,R,
26,0,training,27,53,1.300589200000104,['n'],1,right,['2'],5,1.6334721000000627,[-0.61403813],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
27,0,training,27,53,0.9499653000000308,['n'],1,right,['1'],6,0.2736408999999185,[-0.11109458],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
28,0,training,36,44,1.2335105000001931,['n'],1,right,['2'],5,0.3644528999998329,[0.05312183],52.0,44,hard,plus,colour,beta,,,42,19,V,R,
29,0,training,33,47,3.4495402000000013,['c'],0,right,['9'],2,2.379456399999981,[-0.15238134],24.0,47,medium,plus,colour,beta,,,42,19,V,R,
30,0,training,47,33,1.616649499999994,['c'],1,left,['8'],3,1.8267577000001438,[0.39092911],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
31,0,training,44,36,1.9168295000001763,['c'],1,left,['8'],3,0.6280643999998574,[0.03166635],88.0,44,hard,plus,colour,beta,,,42,19,V,R,
32,0,training,27,53,0.8835842999999386,['n'],1,right,['2'],5,0.6715877000001456,[-0.0938942],96.0,53,easy,plus,colour,beta,,,42,19,V,R,
33,0,training,27,53,1.683475499999986,['n'],1,right,['2'],5,0.4722222000000329,[-0.21894867],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
34,0,training,36,44,2.7331636000001254,['n'],1,right,['2'],5,0.5273474000000533,[-0.08210893],97.0,44,hard,plus,colour,beta,,,42,19,V,R,
35,0,training,47,33,1.7999363000001267,['c'],1,left,['2'],5,2.074215100000174,[0.38440637],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
0,1,training,53,27,1.4826640999999654,['c'],1,left,['1'],6,1.197056099999827,[0.1763981],98.0,53,easy,plus,colour,beta,,,42,19,V,R,
1,1,training,44,36,0.8833987000000434,['c'],1,left,['2'],5,0.4007708999999977,[0.06057527],96.0,44,hard,plus,colour,beta,,,42,19,V,R,
2,1,training,36,44,0.8988064000000122,['c'],0,right,['2'],5,0.5806083999998464,[0.00118997],79.0,44,hard,plus,colour,beta,,,42,19,V,R,
3,1,training,33,47,0.9501419000000624,['n'],1,right,['2'],5,0.47901150000006965,[-0.20055663],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
4,1,training,47,33,1.9172871000000669,['c'],1,left,['3'],4,2.150560900000073,[0.1724772],94.0,47,medium,plus,colour,beta,,,42,19,V,R,
5,1,training,53,27,0.8166687000000366,['c'],1,left,['1'],6,0.42318139999997584,[0.22099843],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
6,1,training,53,27,0.7335003000000597,['c'],1,left,['2'],5,0.41613810000012563,[0.190554],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
7,1,training,27,53,1.0168131000000358,['n'],1,right,['1'],6,0.28652549999992516,[-0.16262994],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
8,1,training,47,33,0.9166969999998855,['c'],1,left,['1'],6,0.38960100000008424,[0.15426711],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
9,1,training,27,53,0.7161875000001601,['n'],1,right,['1'],6,0.7206843999999819,[-0.3287733],100.0,53,easy,plus,colour,beta,,,42,19,V,R,
10,1,training,44,36,0.8169883999999001,['c'],1,left,['2'],5,1.3546234000000368,[0.15494175],96.0,44,hard,plus,colour,beta,,,42,19,V,R,
11,1,training,33,47,1.0333958000001076,['n'],1,right,['2'],5,0.4184466000001521,[-0.10134562],99.0,47,medium,plus,colour,beta,,,42,19,V,R,
12,1,training,36,44,1.3829693999998653,['n'],1,right,['3'],4,0.7212183999999979,[-0.03468424],87.0,44,hard,plus,colour,beta,,,42,19,V,R,
13,1,training,33,47,2.1837578999998186,['n'],1,right,['3'],4,2.708500999999842,[-0.5346597],100.0,47,medium,plus,colour,beta,,,42,19,V,R,
