withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,62,18,1.303901900000028,['c'],1,left,['2'],2,1.6486545999999862,[0.26011326],97.0,62,easy,control,shape,beta,,,19,18,V,R,
1,0,training,49,31,1.4749121000000969,['c'],1,left,['8'],4,1.1002091999999948,[0.00592881],53.0,49,hard,control,shape,beta,,,19,18,V,R,
2,0,training,18,62,0.9506722999999511,['c'],0,right,['2'],2,1.0908868999999868,[0.01478626],56.0,62,easy,control,shape,beta,,,19,18,V,R,
3,0,training,49,31,1.5800645000000486,['c'],1,left,['8'],4,0.9435019000000011,[0.01209931],56.0,49,hard,control,shape,beta,,,19,18,V,R,
4,0,training,23,57,1.4468071999999665,['n'],1,right,['3'],3,1.5605222000000367,[0.0465045],34.0,57,medium,control,shape,beta,,,19,18,V,R,
5,0,training,31,49,1.3892658999999412,['c'],0,right,['8'],4,0.7940280000000257,[0.12891048],93.0,49,hard,control,shape,beta,,,19,18,V,R,
6,0,training,49,31,1.0469578999999385,['c'],1,left,['8'],4,0.9529228999999759,[0.17862429],96.0,49,hard,control,shape,beta,,,19,18,V,R,
7,0,training,23,57,1.2190517999999884,['c'],0,right,['8'],4,0.4097490999999991,[0.02266908],65.0,57,medium,control,shape,beta,,,19,18,V,R,
8,0,training,31,49,0.767688200000066,['n'],1,right,['3'],3,1.3003316999999015,[-0.10611001],84.0,49,hard,control,shape,beta,,,19,18,V,R,
9,0,training,57,23,0.9870528000000149,['c'],1,left,['9'],5,0.5600605999999289,[0.06180124],82.0,57,medium,control,shape,beta,,,19,18,V,R,
10,0,training,23,57,1.098514600000044,['c'],0,right,['8'],4,0.9340676999999005,[-0.12124644],9.0,57,medium,control,shape,beta,,,19,18,V,R,
11,0,training,57,23,0.8557547999999997,['c'],1,left,['8'],4,0.6472134999999071,[0.24640842],100.0,57,medium,control,shape,beta,,,19,18,V,R,
12,0,training,49,31,0.809068199999956,['c'],1,left,['8'],4,2.260928100000001,[0.29571354],97.0,49,hard,control,shape,beta,,,19,18,V,R,
13,0,training,31,49,0.8182517999999845,['n'],1,right,['8'],4,0.6254785999999513,[-0.14063474],96.0,49,hard,control,shape,beta,,,19,18,V,R,
14,0,training,49,31,0.7499361000000135,['c'],1,left,['9'],5,0.8182113999999956,[0.12026601],92.0,49,hard,control,shape,beta,,,19,18,V,R,
15,0,training,31,49,0.8556138000000146,['n'],1,right,['9'],5,0.5367363000000296,[-0.11684632],95.0,49,hard,control,shape,beta,,,19,18,V,R,
16,0,training,18,62,0.9057831000000078,['n'],1,right,['9'],5,0.9672098999999434,[-0.25098436],99.0,62,easy,control,shape,beta,,,19,18,V,R,
17,0,training,23,57,1.104812200000083,['n'],1,right,['8'],4,0.8118875000000116,[-0.2705761],100.0,57,medium,control,shape,beta,,,19,18,V,R,
18,0,training,18,62,0.7954285999999229,['n'],1,right,['8'],4,0.6764481999999816,[-0.17169127],98.0,62,easy,control,shape,beta,,,19,18,V,R,
19,0,training,62,18,0.6661127999999508,['c'],1,left,['9'],5,0.5826233999999886,[0.09583936],91.0,62,easy,control,shape,beta,,,19,18,V,R,
20,0,training,62,18,0.7948363000000427,['c'],1,left,['9'],5,0.4728857000000062,[0.07058394],86.0,62,easy,control,shape,beta,,,19,18,V,R,
21,0,training,18,62,0.8065096999999923,['n'],1,right,['8'],4,0.7648362999999563,[-0.30701917],100.0,62,easy,control,shape,beta,,,19,18,V,R,
22,0,training,31,49,0.8095774000000802,['n'],1,right,['9'],5,0.3909939000000122,[-0.04486017],78.0,49,hard,control,shape,beta,,,19,18,V,R,
