withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,49,31,0.6507558000002973,['c'],1,left,['9'],2,4.056507199999942,[0.31174266],91.0,49,shape,4,18,V,R,
1,0,training,62,18,1.9997320000002219,['c'],1,left,['9'],2,1.996726800000033,[0.58368711],100.0,62,shape,4,18,V,R,
2,0,training,49,31,0.8171109000004435,['c'],1,left,['2'],5,0.8113462000001164,[-0.02588725],16.0,49,shape,4,18,V,R,
3,0,training,57,23,2.066920199999913,['c'],1,left,['1'],6,1.0797369000001709,[0.16108147],86.0,57,shape,4,18,V,R,
4,0,training,49,31,2.1159160999995947,['c'],1,left,['8'],3,2.0302276000002166,[0.28586044],95.0,49,shape,4,18,V,R,
5,0,training,18,62,1.8822884999999587,['n'],1,right,['0'],1,1.2961044999992737,[-0.24694362],95.0,62,shape,4,18,V,R,
6,0,training,18,62,2.584285899999486,['n'],1,right,['9'],2,1.8121219000004203,[-0.2833058],95.0,62,shape,4,18,V,R,
7,0,training,62,18,1.6169068999997762,['c'],1,left,['2'],5,1.4899704999997994,[0.34559663],99.0,62,shape,4,18,V,R,
8,0,training,18,62,1.3503850000006423,['c'],0,right,['3'],4,0.8398694000006799,[-0.08641912],6.0,62,shape,4,18,V,R,
9,0,training,49,31,1.5498509999997623,['c'],1,left,['2'],5,0.9678125999998883,[-0.05049429],13.0,49,shape,4,18,V,R,
10,0,training,23,57,1.3839700999997149,['c'],0,right,['1'],6,0.9206232000005912,[0.01013205],30.0,57,shape,4,18,V,R,
11,0,training,18,62,1.5328755999998975,['n'],1,right,['0'],1,0.629980899999282,[-0.16368223],92.0,62,shape,4,18,V,R,
12,0,training,18,62,1.3837992999997368,['c'],0,right,['9'],2,0.637075200000254,[-0.0300603],13.0,62,shape,4,18,V,R,
13,0,training,23,57,0.849731299999803,['n'],1,right,['9'],2,0.3845977999999377,[-0.15865876],95.0,57,shape,4,18,V,R,
14,0,training,31,49,1.1508224999997765,['c'],0,right,['8'],3,0.28287189999991824,[-0.01201024],9.0,49,shape,4,18,V,R,
15,0,training,62,18,1.083479900000384,['c'],1,left,['2'],5,0.6760089999997945,[0.29198822],99.0,62,shape,4,18,V,R,
16,0,training,49,31,1.0331962999998723,['c'],1,left,['3'],4,0.5504164000003584,[0.28350636],100.0,49,shape,4,18,V,R,
17,0,training,23,57,1.6499690000000555,['c'],0,right,['1'],6,0.23754860000008193,[0.07471293],67.0,57,shape,4,18,V,R,
18,0,training,57,23,1.4836966000002576,['c'],1,left,['1'],6,0.3680418000003556,[-0.04063392],5.0,57,shape,4,18,V,R,
