withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,16,64,3.0660082000001694,['n'],1,right,['8'],4,3.3489933999999266,[-0.56412119],99.0,64,easy,minus,letter,beta,,,41,29,M,R,
1,0,training,57,23,4.032376500000055,['c'],1,left,['2'],2,3.1564710000000105,[0.5913877],100.0,57,medium,minus,letter,beta,,,41,29,M,R,
2,0,training,23,57,2.350239899999906,['n'],1,right,['8'],4,1.7912397000000055,[-0.22772239],91.0,57,medium,minus,letter,beta,,,41,29,M,R,
3,0,training,49,31,3.182936400000017,['n'],0,left,['9'],5,1.1031443000001673,[-0.15382018],84.0,49,hard,minus,letter,beta,,,41,29,M,R,
4,0,training,57,23,3.41695679999998,['c'],1,left,['3'],3,1.7940135000001192,[0.3356724],98.0,57,medium,minus,letter,beta,,,41,29,M,R,
5,0,training,64,16,4.199688800000104,['n'],0,left,['8'],4,1.3855040999999346,[0.14550494],4.0,64,easy,minus,letter,beta,,,41,29,M,R,
6,0,training,49,31,1.8672245999998722,['c'],1,left,['9'],5,1.5029965000001084,[0.12067177],72.0,49,hard,minus,letter,beta,,,41,29,M,R,
7,0,training,49,31,1.6499971999999161,['n'],0,left,['8'],4,2.0564123000001473,[0.05188256],21.0,49,hard,minus,letter,beta,,,41,29,M,R,
8,0,training,64,16,2.350121700000045,['c'],1,left,['8'],4,0.9753633000000264,[0.15840752],87.0,64,easy,minus,letter,beta,,,41,29,M,R,
9,0,training,16,64,1.433630699999867,['n'],1,right,['3'],3,2.2942669999999907,[-0.64565099],100.0,64,easy,minus,letter,beta,,,41,29,M,R,
10,0,training,64,16,1.4168812000000344,['c'],1,left,['9'],5,2.2009457999999995,[0.3517411],97.0,64,easy,minus,letter,beta,,,41,29,M,R,
11,0,training,31,49,5.699413199999981,['n'],1,right,['1'],1,2.6607289999999466,[-0.21224622],85.0,49,hard,minus,letter,beta,,,41,29,M,R,
12,0,training,49,31,1.466134000000011,['c'],1,left,['8'],4,1.846936899999946,[0.15044992],78.0,49,hard,minus,letter,beta,,,41,29,M,R,
13,0,training,23,57,1.565504400000009,['n'],1,right,['8'],4,1.4932670000000599,[-0.33727494],98.0,57,medium,minus,letter,beta,,,41,29,M,R,
14,0,training,64,16,1.7003224000000046,['c'],1,left,['3'],3,2.189024199999949,[0.37189762],98.0,64,easy,minus,letter,beta,,,41,29,M,R,
15,0,training,49,31,1.8336773000000903,['c'],1,left,['9'],5,2.370692599999984,[0.20409385],85.0,49,hard,minus,letter,beta,,,41,29,M,R,
16,0,training,31,49,1.8332643999999618,['n'],1,right,['8'],4,1.8735782000001109,[-0.20165058],87.0,49,hard,minus,letter,beta,,,41,29,M,R,
17,0,training,16,64,1.1011113999998088,['n'],1,right,['0'],6,0.7372588000000633,[-0.30307192],99.0,64,easy,minus,letter,beta,,,41,29,M,R,
18,0,training,49,31,2.333415999999943,['c'],1,left,['3'],3,1.533828099999937,[-0.09786096],10.0,49,hard,minus,letter,beta,,,41,29,M,R,
19,0,training,16,64,0.9167739999998048,['n'],1,right,['0'],6,0.4036261999999624,[-0.18425377],97.0,64,easy,minus,letter,beta,,,41,29,M,R,
20,0,training,16,64,1.4000197999998818,['n'],1,right,['0'],6,0.6582246000000396,[-0.1494526],89.0,64,easy,minus,letter,beta,,,41,29,M,R,
21,0,training,23,57,1.2164216999999553,['c'],0,right,['8'],4,1.1666462999999112,[-0.09848536],7.0,57,medium,minus,letter,beta,,,41,29,M,R,
22,0,training,23,57,1.566602899999907,['n'],1,right,['0'],6,0.8885193000000982,[-0.32022138],99.0,57,medium,minus,letter,beta,,,41,29,M,R,
23,0,training,31,49,1.2666850000000522,['n'],1,right,['9'],5,0.6175554999999804,[-0.07368561],60.0,49,hard,minus,letter,beta,,,41,29,M,R,
24,0,training,31,49,1.4166975999999067,['n'],1,right,['8'],4,0.8312025999998696,[-0.14645409],86.0,49,hard,minus,letter,beta,,,41,29,M,R,
25,0,training,31,49,1.3337260999999216,['n'],1,right,['9'],5,1.0726105999999618,[0.02083934],21.0,49,hard,minus,letter,beta,,,41,29,M,R,
26,0,training,23,57,1.233916600000157,['n'],1,right,['8'],4,1.5797629999999572,[-0.28841765],97.0,57,medium,minus,letter,beta,,,41,29,M,R,
27,0,training,57,23,1.2499712999999701,['c'],1,left,['0'],6,1.7136728999998923,[0.14222991],77.0,57,medium,minus,letter,beta,,,41,29,M,R,
28,0,training,57,23,1.8667628000000605,['n'],0,left,['8'],4,0.6174717000001237,[0.30136599],0.0,57,medium,minus,letter,beta,,,41,29,M,R,
29,0,training,64,16,1.433499799999936,['c'],1,left,['9'],5,1.0870522000000165,[0.28407556],98.0,64,easy,minus,letter,beta,,,41,29,M,R,
30,0,training,57,23,0.9665818000000854,['c'],1,left,['0'],6,0.4998199999999997,[0.14066725],90.0,57,medium,minus,letter,beta,,,41,29,M,R,
31,0,training,64,16,1.68375130000004,['c'],1,left,['8'],4,0.4524166999999579,[0.15066129],93.0,64,easy,minus,letter,beta,,,41,29,M,R,
32,0,training,31,49,0.9337186999998721,['n'],1,right,['0'],6,0.6918398000000252,[-0.12308851],81.0,49,hard,minus,letter,beta,,,41,29,M,R,
33,0,training,57,23,1.9327281999999286,['c'],1,left,['8'],4,0.41835569999989275,[0.04959115],46.0,57,medium,minus,letter,beta,,,41,29,M,R,
34,0,training,23,57,0.8499801000000389,['n'],1,right,['9'],5,0.6787739999999758,[-0.08052861],63.0,57,medium,minus,letter,beta,,,41,29,M,R,
35,0,training,16,64,0.884407900000042,['n'],1,right,['0'],6,0.27198380000004363,[0.00962298],10.0,64,easy,minus,letter,beta,,,41,29,M,R,
0,1,training,31,49,2.2000560999999834,['n'],1,right,['9'],5,0.5867846000001009,[0.03708828],10.0,49,hard,minus,letter,beta,,,41,29,M,R,
1,1,training,57,23,0.9664884999999686,['c'],1,left,['9'],5,1.0912771999999222,[0.18424052],90.0,57,medium,minus,letter,beta,,,41,29,M,R,
2,1,training,49,31,1.06603240000004,['c'],1,left,['9'],5,0.30851410000013857,[0.11802264],88.0,49,hard,minus,letter,beta,,,41,29,M,R,
3,1,training,57,23,0.8345002000000932,['n'],0,left,['1'],1,1.50270189999992,[0.18513633],3.0,57,medium,minus,letter,beta,,,41,29,M,R,
4,1,training,23,57,0.9171669999998358,['n'],1,right,['9'],5,1.2685724000000391,[-0.38173004],99.0,57,medium,minus,letter,beta,,,41,29,M,R,
5,1,training,49,31,1.7162706999999955,['c'],1,left,['8'],4,1.1726787999998578,[0.11803741],74.0,49,hard,minus,letter,beta,,,41,29,M,R,
6,1,training,64,16,1.4499666000001525,['n'],0,left,['9'],5,0.96317850000014,[0.24042487],0.0,64,easy,minus,letter,beta,,,41,29,M,R,
7,1,training,23,57,1.6664711000000807,['n'],1,right,['8'],4,0.8494501000000128,[-0.12343072],79.0,57,medium,minus,letter,beta,,,41,29,M,R,
8,1,training,31,49,1.5997126000002027,['n'],1,right,['8'],4,1.462178700000095,[-0.20648777],90.0,49,hard,minus,letter,beta,,,41,29,M,R,
9,1,training,64,16,0.9170171999999184,['c'],1,left,['9'],5,0.47814790000006724,[0.1426047],91.0,64,easy,minus,letter,beta,,,41,29,M,R,
10,1,training,49,31,1.0504687000000104,['c'],1,left,['8'],4,0.264665100000002,[-0.01273195],8.0,49,hard,minus,letter,beta,,,41,29,M,R,
11,1,training,31,49,1.0001893999999538,['n'],1,right,['8'],4,0.7019822999998269,[-0.07517736],60.0,49,hard,minus,letter,beta,,,41,29,M,R,
12,1,training,64,16,2.4156061999999565,['c'],1,left,['9'],5,0.4561903999999686,[0.18364177],97.0,64,easy,minus,letter,beta,,,41,29,M,R,
