withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,33,47,1.8841412000001583,['c'],0,right,['8'],3,4.726630799999839,[-0.63504717],0.0,47,medium,minus,colour,beta,,,12,19,V,R,
1,0,training,33,47,2.0999809999993886,['n'],1,right,['9'],2,0.3797411000005013,[-0.17588389],97.0,47,medium,minus,colour,beta,,,12,19,V,R,
2,0,training,53,27,2.9497896000002584,['c'],1,left,['3'],4,0.27027779999934864,[0.13259104],93.0,53,easy,minus,colour,beta,,,12,19,V,R,
3,0,training,33,47,1.9831547999992836,['n'],1,right,['8'],3,0.12368270000024495,[-0.052261],46.0,47,medium,minus,colour,beta,,,12,19,V,R,
4,0,training,27,53,3.917148300000008,['n'],1,right,['8'],3,0.27364330000000336,[-0.03238576],31.0,53,easy,minus,colour,beta,,,12,19,V,R,
5,0,training,33,47,0.9834184000001187,['c'],0,right,['3'],4,0.11858620000020892,[0.03440158],25.0,47,medium,minus,colour,beta,,,12,19,V,R,
6,0,training,44,36,0.667322399999648,['c'],1,left,['3'],4,0.1739065000001574,[0.10054531],87.0,44,hard,minus,colour,beta,,,12,19,V,R,
7,0,training,36,44,0.9664714999998978,['n'],1,right,['8'],3,0.24756230000002688,[-0.07563044],67.0,44,hard,minus,colour,beta,,,12,19,V,R,
8,0,training,47,33,0.7508745999994062,['c'],1,left,['2'],5,0.13548549999995885,[0.03873245],31.0,47,medium,minus,colour,beta,,,12,19,V,R,
9,0,training,47,33,0.38376900000002934,['n'],0,left,['9'],2,1.1624475000007806,[0.13776036],4.0,47,medium,minus,colour,beta,,,12,19,V,R,
10,0,training,53,27,1.4671299000001454,['c'],1,left,['3'],4,0.3119128999996974,[0.07997346],69.0,53,easy,minus,colour,beta,,,12,19,V,R,
11,0,training,36,44,1.1987378000003446,['n'],1,right,['9'],2,0.1472979000000123,[-0.06524728],61.0,44,hard,minus,colour,beta,,,12,19,V,R,
12,0,training,53,27,0.5337644999999611,['c'],1,left,['3'],4,0.2554399000000558,[0.02058729],22.0,53,easy,minus,colour,beta,,,12,19,V,R,
13,0,training,27,53,0.8673723000001701,['n'],1,right,['8'],3,0.12162270000044373,[-0.06152125],58.0,53,easy,minus,colour,beta,,,12,19,V,R,
14,0,training,44,36,0.6505613999997877,['c'],1,left,['3'],4,0.17818669999996928,[0.03361989],28.0,44,hard,minus,colour,beta,,,12,19,V,R,
15,0,training,44,36,0.7668008000000555,['c'],1,left,['3'],4,0.2277368999993996,[0.04961324],44.0,44,hard,minus,colour,beta,,,12,19,V,R,
16,0,training,47,33,0.732868199999757,['c'],1,left,['2'],5,0.14883989999998448,[0.04189308],35.0,47,medium,minus,colour,beta,,,12,19,V,R,
