withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,31,49,4.267142800000329,['n'],1,right,['1'],1,2.9847632000000885,[-0.02874988],71.0,49,hard,plus,shape,beta,,,7,18,V,R,
1,0,training,18,62,1.500865900000008,['c'],0,right,['3'],3,3.1957134999997834,[-0.64889954],0.0,62,easy,plus,shape,beta,,,7,18,V,R,
2,0,training,49,31,1.0499028000003818,['c'],1,left,['9'],5,1.080486700000165,[0.11367445],95.0,49,hard,plus,shape,beta,,,7,18,V,R,
3,0,training,62,18,0.8836217999996734,['c'],1,left,['9'],5,0.9920735000000604,[0.26904143],100.0,62,easy,plus,shape,beta,,,7,18,V,R,
4,0,training,23,57,1.2337135999996462,['n'],1,right,['9'],5,1.0542827999997826,[-0.22405677],99.0,57,medium,plus,shape,beta,,,7,18,V,R,
5,0,training,62,18,1.517095899999731,['c'],1,left,['8'],4,0.9748044000002665,[0.19021991],99.0,62,easy,plus,shape,beta,,,7,18,V,R,
6,0,training,49,31,0.8505333000002793,['c'],1,left,['9'],5,0.7330982000003132,[0.21155893],100.0,49,hard,plus,shape,beta,,,7,18,V,R,
7,0,training,62,18,1.1665401999998721,['c'],1,left,['0'],6,0.6480624000000716,[0.25174975],100.0,62,easy,plus,shape,beta,,,7,18,V,R,
8,0,training,18,62,2.4330973999999514,['c'],0,right,['0'],6,0.6607521999999335,[-0.15708311],10.0,62,easy,plus,shape,beta,,,7,18,V,R,
9,0,training,49,31,1.4665066000002298,['n'],0,left,['8'],4,1.7988798999999744,[-0.0024514],69.0,49,hard,plus,shape,beta,,,7,18,V,R,
10,0,training,49,31,0.8331634999999551,['c'],1,left,['9'],5,0.6765387999998893,[0.06284107],93.0,49,hard,plus,shape,beta,,,7,18,V,R,
11,0,training,31,49,1.1336308999998437,['c'],0,right,['8'],4,0.41964499999994587,[0.04406816],94.0,49,hard,plus,shape,beta,,,7,18,V,R,
12,0,training,23,57,1.016886699999759,['n'],1,right,['9'],5,0.8493221000003359,[-0.26339032],100.0,57,medium,plus,shape,beta,,,7,18,V,R,
13,0,training,31,49,1.050423000000137,['c'],0,right,['0'],6,0.6045444000001226,[-0.10664018],23.0,49,hard,plus,shape,beta,,,7,18,V,R,
14,0,training,57,23,2.2670650000000023,['c'],1,left,['8'],4,0.9608272999998917,[0.2304547],99.0,57,medium,plus,shape,beta,,,7,18,V,R,
15,0,training,57,23,0.8000369999999748,['c'],1,left,['8'],4,0.7218699999998535,[0.07607593],94.0,57,medium,plus,shape,beta,,,7,18,V,R,
16,0,training,49,31,1.2837517000002663,['c'],1,left,['9'],5,0.8091588000002048,[0.10307604],96.0,49,hard,plus,shape,beta,,,7,18,V,R,
