withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,49,31,5.89948589999949,['c'],1,left,['9'],2,5.60787320000054,[0.30789135],91.0,49,letter,2,18,V,R,
1,0,training,57,23,2.149426500000118,['n'],0,left,['3'],4,4.1516953000000285,[0.57813519],1.0,57,letter,2,18,V,R,
2,0,training,64,16,1.500096499999927,['n'],0,left,['8'],3,2.3644978000002084,[0.47512988],0.0,64,letter,2,18,V,R,
3,0,training,64,16,1.233960599999591,['c'],1,left,['2'],5,2.0838166000003184,[0.53865809],100.0,64,letter,2,18,V,R,
4,0,training,64,16,2.1999520999997912,['n'],0,left,['3'],4,2.8638960999996925,[0.31591087],3.0,64,letter,2,18,V,R,
5,0,training,64,16,1.2833028999993985,['c'],1,left,['3'],4,2.2244885000000068,[0.36693666],99.0,64,letter,2,18,V,R,
6,0,training,49,31,1.7662423000001581,['c'],1,left,['3'],4,2.7437768999998298,[0.42148048],99.0,49,letter,2,18,V,R,
7,0,training,49,31,1.2833717999992587,['n'],0,left,['8'],3,1.5345703000002686,[0.31103829],1.0,49,letter,2,18,V,R,
8,0,training,16,64,1.3832808999995905,['n'],1,right,['3'],4,0.7367358000001332,[-0.11471312],92.0,64,letter,2,18,V,R,
9,0,training,57,23,1.333394700000099,['n'],0,left,['3'],4,0.5490394999997079,[0.01425363],41.0,57,letter,2,18,V,R,
10,0,training,57,23,3.0330039000000397,['c'],1,left,['8'],3,0.6211955000007947,[-0.063939],19.0,57,letter,2,18,V,R,
11,0,training,16,64,1.0665823999997883,['n'],1,right,['3'],4,0.7207730000000083,[-0.31297603],100.0,64,letter,2,18,V,R,
12,0,training,49,31,1.1832101999998486,['n'],0,left,['3'],4,0.6839294999999765,[0.00943744],45.0,49,letter,2,18,V,R,
13,0,training,23,57,0.8992244999999457,['n'],1,right,['3'],4,0.835548099999869,[-0.12543751],92.0,57,letter,2,18,V,R,
14,0,training,23,57,1.033380699999725,['n'],1,right,['3'],4,1.0398482000000513,[-0.29232841],99.0,57,letter,2,18,V,R,
15,0,training,23,57,0.9001307000007728,['n'],1,right,['3'],4,0.569905800000015,[-0.20054024],99.0,57,letter,2,18,V,R,
16,0,training,57,23,1.4672106000007261,['c'],1,left,['3'],4,1.135493700000552,[0.2328297],98.0,57,letter,2,18,V,R,
