withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,57,23,3.2833928000000014,['n'],0,left,['8'],3,6.7529764999999315,[0.96359181],0.0,57,medium,plus,letter,alpha,,,26,18,V,L,
1,0,training,31,49,1.750140600001032,['n'],1,right,['8'],3,2.5786827000010817,[-0.54282966],100.0,49,hard,plus,letter,alpha,,,26,18,V,L,
2,0,training,23,57,4.299522799999977,['c'],0,right,['3'],4,3.6545976999987033,[-0.22466846],1.0,57,medium,plus,letter,alpha,,,26,18,V,L,
3,0,training,49,31,4.132577800002764,['n'],0,left,['8'],3,2.9186179999996966,[0.30500901],0.0,49,hard,plus,letter,alpha,,,26,18,V,L,
4,0,training,23,57,3.6830923999987135,['n'],1,right,['8'],3,1.6055390000001353,[-0.3244223],100.0,57,medium,plus,letter,alpha,,,26,18,V,L,
5,0,training,49,31,1.5841297000006307,['n'],0,left,['8'],3,2.2049317999990308,[-0.10638464],93.0,49,hard,plus,letter,alpha,,,26,18,V,L,
6,0,training,31,49,2.0001450999989174,['n'],1,right,['3'],4,4.923825000001671,[-0.43185546],100.0,49,hard,plus,letter,alpha,,,26,18,V,L,
7,0,training,16,64,2.1834694999997737,['c'],0,right,['3'],4,0.32658989999981713,[0.00015357],50.0,64,easy,plus,letter,alpha,,,26,18,V,L,
8,0,training,64,16,1.8166500000006636,['n'],0,left,['8'],3,0.9838334000014584,[0.07737226],6.0,64,easy,plus,letter,alpha,,,26,18,V,L,
9,0,training,23,57,1.582834400000138,['c'],0,right,['3'],4,0.9683738000021549,[-0.16105421],0.0,57,medium,plus,letter,alpha,,,26,18,V,L,
10,0,training,49,31,1.5827985999967495,['n'],0,left,['9'],2,2.2006218999995326,[0.06271136],18.0,49,hard,plus,letter,alpha,,,26,18,V,L,
11,0,training,64,16,1.967136400002346,['n'],0,left,['9'],2,0.5691578000005393,[-0.01970806],72.0,64,easy,plus,letter,alpha,,,26,18,V,L,
12,0,training,64,16,3.3832860000002256,['n'],0,left,['8'],3,0.6424465000018245,[-0.04091043],86.0,64,easy,plus,letter,alpha,,,26,18,V,L,
13,0,training,64,16,1.683261300000595,['c'],1,left,['2'],5,1.0531459000012546,[0.22050082],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
14,0,training,57,23,1.0664575999981025,['c'],1,left,['2'],5,0.2548516999995627,[-0.01141712],31.0,57,medium,plus,letter,alpha,,,26,18,V,L,
15,0,training,16,64,1.466050399998494,['n'],1,right,['9'],2,1.6165791000021272,[-0.37192011],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
16,0,training,16,64,0.9839711999993597,['c'],0,right,['2'],5,0.6234671999991406,[0.00951872],61.0,64,easy,plus,letter,alpha,,,26,18,V,L,
17,0,training,16,64,0.9335223999987647,['n'],1,right,['9'],2,2.4888285000015458,[-0.82713813],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
18,0,training,49,31,1.5000002999986464,['n'],0,left,['0'],1,0.36787030000050436,[-0.06854221],98.0,49,hard,plus,letter,alpha,,,26,18,V,L,
19,0,training,31,49,1.1502488000005542,['c'],0,right,['8'],3,2.4109109999990324,[-0.15149706],3.0,49,hard,plus,letter,alpha,,,26,18,V,L,
20,0,training,64,16,4.282437300000311,['n'],0,left,['8'],3,0.7104065999992599,[0.09154361],2.0,64,easy,plus,letter,alpha,,,26,18,V,L,
21,0,training,49,31,2.532982100001391,['c'],1,left,['3'],4,0.924424300003011,[0.13625804],99.0,49,hard,plus,letter,alpha,,,26,18,V,L,
22,0,training,23,57,1.0326774000022851,['n'],1,right,['9'],2,0.885399700000562,[-0.11128962],99.0,57,medium,plus,letter,alpha,,,26,18,V,L,
23,0,training,64,16,1.383654099998239,['c'],1,left,['1'],6,1.393876400001318,[0.33766353],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
24,0,training,49,31,1.449593700002879,['n'],0,left,['0'],1,0.37490769999931217,[-0.0655782],98.0,49,hard,plus,letter,alpha,,,26,18,V,L,
25,0,training,57,23,1.7000875000012456,['n'],0,left,['8'],3,0.5712789999997767,[0.00639408],42.0,57,medium,plus,letter,alpha,,,26,18,V,L,
26,0,training,16,64,0.9830927999973937,['n'],1,right,['9'],2,0.5963255000024219,[-0.23471713],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
27,0,training,31,49,1.183530400001473,['n'],1,right,['9'],2,0.2607838999974774,[-0.02446399],85.0,49,hard,plus,letter,alpha,,,26,18,V,L,
28,0,training,16,64,1.1666359000009834,['n'],1,right,['9'],2,0.24313439999968978,[-0.12415451],100.0,64,easy,plus,letter,alpha,,,26,18,V,L,
29,0,training,57,23,0.6997219000004407,['c'],1,left,['2'],5,0.6446527000007336,[0.08161794],97.0,57,medium,plus,letter,alpha,,,26,18,V,L,
30,0,training,23,57,0.8835457999994105,['n'],1,right,['9'],2,0.2550372999976389,[-0.07135881],99.0,57,medium,plus,letter,alpha,,,26,18,V,L,
31,0,training,57,23,0.9330445999985386,['n'],0,left,['9'],2,0.40689730000303825,[-0.0080047],61.0,57,medium,plus,letter,alpha,,,26,18,V,L,
32,0,training,31,49,1.883018100001209,['n'],1,right,['9'],2,0.530766500000027,[-0.0428331],89.0,49,hard,plus,letter,alpha,,,26,18,V,L,
33,0,training,31,49,1.2333716000030108,['n'],1,right,['0'],1,0.30753790000017034,[-0.14575226],100.0,49,hard,plus,letter,alpha,,,26,18,V,L,
34,0,training,57,23,2.232393599999341,['n'],0,left,['3'],4,0.4206032000001869,[0.0060315],42.0,57,medium,plus,letter,alpha,,,26,18,V,L,
35,0,training,23,57,1.217130699998961,['n'],1,right,['9'],2,0.6181943000010506,[-0.16438438],100.0,57,medium,plus,letter,alpha,,,26,18,V,L,
