withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,23,57,1.3666063000018767,['n'],1,right,['1'],1,2.1507105999990017,[-0.37719856],100.0,57,medium,plus,shape,alpha,,,25,18,V,L,
1,0,training,31,49,2.3497771000002103,['c'],0,right,['3'],3,2.409949000000779,[-0.37010192],0.0,49,hard,plus,shape,alpha,,,25,18,V,L,
2,0,training,62,18,1.6000698000025295,['n'],0,left,['8'],4,3.1368443999999727,[0.58839301],0.0,62,easy,plus,shape,alpha,,,25,18,V,L,
3,0,training,49,31,1.4999434999990626,['c'],1,left,['9'],5,2.2386616000003414,[0.18257141],99.0,49,hard,plus,shape,alpha,,,25,18,V,L,
4,0,training,18,62,1.2832785999999032,['c'],0,right,['8'],4,1.9930466000005254,[-0.25755716],0.0,62,easy,plus,shape,alpha,,,25,18,V,L,
5,0,training,18,62,1.38285900000119,['n'],1,right,['3'],3,2.4097236999987217,[-0.42811034],100.0,62,easy,plus,shape,alpha,,,25,18,V,L,
6,0,training,23,57,1.4662587999991956,['n'],1,right,['9'],5,2.1495499000011478,[-0.36146711],100.0,57,medium,plus,shape,alpha,,,25,18,V,L,
7,0,training,57,23,1.4331657999973686,['c'],1,left,['9'],5,3.358091300000524,[0.50084797],100.0,57,medium,plus,shape,alpha,,,25,18,V,L,
8,0,training,49,31,0.8665202999982284,['c'],1,left,['9'],5,0.844499499999074,[0.09824387],98.0,49,hard,plus,shape,alpha,,,25,18,V,L,
9,0,training,49,31,0.7838831999979448,['c'],1,left,['8'],4,1.0433871999994153,[0.21264851],100.0,49,hard,plus,shape,alpha,,,25,18,V,L,
10,0,training,57,23,1.5163113999988127,['n'],0,left,['2'],2,0.43659720000141533,[-0.01075889],64.0,57,medium,plus,shape,alpha,,,25,18,V,L,
11,0,training,62,18,0.8169954999975744,['n'],0,left,['3'],3,0.9217873999987205,[0.22231829],0.0,62,easy,plus,shape,alpha,,,25,18,V,L,
12,0,training,31,49,0.9841943999999785,['c'],0,right,['8'],4,0.6451852999998664,[0.0804503],97.0,49,hard,plus,shape,alpha,,,25,18,V,L,
13,0,training,23,57,1.2502449000021443,['c'],0,right,['3'],3,0.8331972999985737,[-0.12493006],1.0,57,medium,plus,shape,alpha,,,25,18,V,L,
