withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,49,31,1.0332875999999942,['c'],1,left,['9'],5,2.630975899999953,[0.24689198],94.0,49,hard,control,shape,alpha,,,37,19,V,R,
1,0,training,49,31,2.300097899999969,['c'],1,left,['9'],5,1.2563559999999825,[0.08207929],79.0,49,hard,control,shape,alpha,,,37,19,V,R,
2,0,training,18,62,0.9832384000000047,['n'],1,right,['9'],5,1.5105177000000367,[-0.22752321],97.0,62,easy,control,shape,alpha,,,37,19,V,R,
3,0,training,57,23,0.9010932999999568,['c'],1,left,['9'],5,0.6529474000000164,[0.14340596],96.0,57,medium,control,shape,alpha,,,37,19,V,R,
4,0,training,23,57,0.7672208000000182,['n'],1,right,['9'],5,0.5230163999999604,[-0.15043468],98.0,57,medium,control,shape,alpha,,,37,19,V,R,
5,0,training,57,23,0.6999336000000085,['c'],1,left,['9'],5,0.2894873000000189,[0.07458498],92.0,57,medium,control,shape,alpha,,,37,19,V,R,
6,0,training,62,18,1.0337028000000146,['c'],1,left,['9'],5,1.1720002000000704,[0.23914954],98.0,62,easy,control,shape,alpha,,,37,19,V,R,
7,0,training,18,62,0.9330333999999993,['n'],1,right,['0'],6,0.4390329999999949,[-0.16660188],99.0,62,easy,control,shape,alpha,,,37,19,V,R,
8,0,training,62,18,0.7836283999999978,['c'],1,left,['0'],6,1.133266400000025,[0.37340454],100.0,62,easy,control,shape,alpha,,,37,19,V,R,
9,0,training,23,57,0.767110300000013,['n'],1,right,['0'],6,0.31231660000003103,[-0.0551834],86.0,57,medium,control,shape,alpha,,,37,19,V,R,
10,0,training,62,18,0.7163763000000927,['c'],1,left,['9'],5,0.2949717999999848,[0.09845737],96.0,62,easy,control,shape,alpha,,,37,19,V,R,
11,0,training,49,31,0.7507976999999073,['c'],1,left,['9'],5,1.0763733999999658,[0.21574362],98.0,49,hard,control,shape,alpha,,,37,19,V,R,
12,0,training,23,57,1.3006114999999454,['c'],0,right,['8'],4,1.9332159999999021,[-0.06175159],31.0,57,medium,control,shape,alpha,,,37,19,V,R,
13,0,training,31,49,0.9172814999999446,['n'],1,right,['9'],5,0.5461245999999846,[-0.18379703],99.0,49,hard,control,shape,alpha,,,37,19,V,R,
14,0,training,49,31,1.3334678999999596,['n'],0,left,['9'],5,0.6551553999998987,[-0.08089306],86.0,49,hard,control,shape,alpha,,,37,19,V,R,
15,0,training,57,23,0.9831489999999121,['c'],1,left,['9'],5,0.3725071999999727,[-0.00070109],49.0,57,medium,control,shape,alpha,,,37,19,V,R,
16,0,training,57,23,1.000251599999956,['c'],1,left,['9'],5,0.2608113000000003,[0.05318635],87.0,57,medium,control,shape,alpha,,,37,19,V,R,
17,0,training,49,31,0.765883199999962,['n'],0,left,['8'],4,0.4993350999999393,[0.13658598],3.0,49,hard,control,shape,alpha,,,37,19,V,R,
18,0,training,31,49,4.600040299999932,['c'],0,right,['1'],1,0.5591690999999628,[-0.01928298],39.0,49,hard,control,shape,alpha,,,37,19,V,R,
19,0,training,49,31,1.9504349000000047,['c'],1,left,['8'],4,0.2903464000000895,[0.11296235],98.0,49,hard,control,shape,alpha,,,37,19,V,R,
20,0,training,31,49,0.9003116999999747,['n'],1,right,['9'],5,0.6498334999999997,[-0.08838928],88.0,49,hard,control,shape,alpha,,,37,19,V,R,
