withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,57,23,12.54874800000016,['n'],0,left,['2'],5,8.216901300000245,[1.02097226],0.0,57,letter,2,19,V,R,
1,0,training,23,57,16.031314300000304,['n'],1,right,['3'],4,5.485945999999785,[-0.50467541],98.0,57,letter,2,19,V,R,
2,0,training,31,49,4.832787600000302,['c'],0,right,['3'],4,1.8638195999992604,[0.06676853],71.0,49,letter,2,19,V,R,
3,0,training,57,23,3.599874500000624,['n'],0,left,['8'],3,2.228624000000309,[0.10530118],22.0,57,letter,2,19,V,R,
4,0,training,16,64,1.9667658999997002,['n'],1,right,['2'],5,2.3879759999999806,[-0.39092245],99.0,64,letter,2,19,V,R,
5,0,training,23,57,1.4497816000002786,['n'],1,right,['2'],5,0.6490990000002057,[-0.15523082],97.0,57,letter,2,19,V,R,
6,0,training,16,64,3.649984900000163,['c'],0,right,['3'],4,2.572625799999514,[-0.53468681],0.0,64,letter,2,19,V,R,
7,0,training,49,31,2.833198000000266,['c'],1,left,['2'],5,3.61954329999935,[0.40985418],98.0,49,letter,2,19,V,R,
8,0,training,57,23,1.8333802999995896,['c'],1,left,['2'],5,2.9841743999995742,[0.4789985],99.0,57,letter,2,19,V,R,
9,0,training,64,16,3.466360100000202,['n'],0,left,['3'],4,2.0052260000002207,[0.6093624],0.0,64,letter,2,19,V,R,
10,0,training,64,16,3.483108099999299,['n'],0,left,['9'],2,2.3534256000002642,[0.21862586],7.0,64,letter,2,19,V,R,
11,0,training,31,49,1.5835218000001987,['n'],1,right,['2'],5,1.7787092999997185,[-0.52428239],100.0,49,letter,2,19,V,R,
12,0,training,31,49,1.5494355999999243,['n'],1,right,['1'],6,0.27674759999990783,[-0.13189504],99.0,49,letter,2,19,V,R,
13,0,training,64,16,1.5160093000004053,['n'],0,left,['1'],6,0.2685238999993089,[0.0592683],11.0,64,letter,2,19,V,R,
14,0,training,31,49,1.6664482999995016,['n'],1,right,['3'],4,1.3428153000004386,[0.02469782],41.0,49,letter,2,19,V,R,
15,0,training,64,16,1.4832948000002943,['c'],1,left,['2'],5,1.155842400000438,[0.31004592],99.0,64,letter,2,19,V,R,
16,0,training,49,31,1.5170846999999412,['c'],1,left,['1'],6,0.912629299999935,[0.16098333],95.0,49,letter,2,19,V,R,
17,0,training,16,64,1.3506838000002972,['n'],1,right,['2'],5,1.1651262999994287,[-0.31853661],100.0,64,letter,2,19,V,R,
18,0,training,64,16,1.2166692000000694,['c'],1,left,['1'],6,0.548135199999706,[0.21541448],99.0,64,letter,2,19,V,R,
19,0,training,49,31,1.4328485000005458,['n'],0,left,['8'],3,2.2286215999993146,[0.26281166],4.0,49,letter,2,19,V,R,
20,0,training,49,31,1.4999815999999555,['n'],0,left,['1'],6,0.5906108999997741,[0.04652899],25.0,49,letter,2,19,V,R,
21,0,training,31,49,1.333471300000383,['n'],1,right,['2'],5,0.3209778999998889,[-0.13585342],99.0,49,letter,2,19,V,R,
22,0,training,31,49,1.4837815000000774,['c'],0,right,['2'],5,0.7601372999997693,[0.00270123],51.0,49,letter,2,19,V,R,
23,0,training,23,57,2.449900399999933,['c'],0,right,['3'],4,0.7512915000006615,[0.09489903],88.0,57,letter,2,19,V,R,
24,0,training,49,31,1.4000721999991583,['n'],0,left,['3'],4,1.9444793000002392,[0.29202856],2.0,49,letter,2,19,V,R,
25,0,training,16,64,1.4338887000003524,['n'],1,right,['1'],6,1.0242992000003142,[-0.40666292],100.0,64,letter,2,19,V,R,
26,0,training,23,57,1.3329530000000887,['n'],1,right,['1'],6,0.09775150000041322,[-0.03816256],90.0,57,letter,2,19,V,R,
27,0,training,23,57,1.3988816000000952,['n'],1,right,['1'],6,0.5412483000000066,[-0.07844718],87.0,57,letter,2,19,V,R,
28,0,training,57,23,1.599643699999433,['c'],1,left,['1'],6,0.2630644000000757,[0.02425496],70.0,57,letter,2,19,V,R,
