withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,47,33,1.233725999998569,['c'],1,left,['3'],3,1.4245974000004935,[0.09746668],81.0,47,medium,control,colour,alpha,,,27,19,M,R,
1,0,training,47,33,1.5170216000005894,['c'],1,left,['3'],3,0.4015822000001208,[0.14290838],98.0,47,medium,control,colour,alpha,,,27,19,M,R,
2,0,training,44,36,1.1831818999999086,['c'],1,left,['3'],3,0.9209847999991325,[0.11003407],89.0,44,hard,control,colour,alpha,,,27,19,M,R,
3,0,training,44,36,1.166446299997915,['n'],0,left,['9'],5,0.3968061999985366,[-0.08707947],92.0,44,hard,control,colour,alpha,,,27,19,M,R,
4,0,training,27,53,1.1829177999970852,['n'],1,right,['9'],5,0.7731311999996251,[-0.13490541],94.0,53,easy,control,colour,alpha,,,27,19,M,R,
5,0,training,47,33,1.7334163000014087,['c'],1,left,['2'],2,0.8561144000013883,[0.13526653],93.0,47,medium,control,colour,alpha,,,27,19,M,R,
6,0,training,44,36,2.216204500000458,['c'],1,left,['9'],5,1.7485167999984697,[0.13949907],87.0,44,hard,control,colour,alpha,,,27,19,M,R,
7,0,training,33,47,1.0170715000022028,['n'],1,right,['0'],6,0.6532253000004857,[-0.02218419],62.0,47,medium,control,colour,alpha,,,27,19,M,R,
8,0,training,53,27,1.4004289000004064,['c'],1,left,['8'],4,1.26606399999946,[0.19639449],96.0,53,easy,control,colour,alpha,,,27,19,M,R,
9,0,training,33,47,0.9507704000025115,['n'],1,right,['9'],5,0.512377999999444,[-0.30546126],100.0,47,medium,control,colour,alpha,,,27,19,M,R,
10,0,training,33,47,0.5836937999993097,['n'],1,right,['8'],4,0.6846789000010176,[-0.04076167],71.0,47,medium,control,colour,alpha,,,27,19,M,R,
11,0,training,33,47,1.8660207000029914,['n'],1,right,['8'],4,0.3653081000011298,[-0.10988764],96.0,47,medium,control,colour,alpha,,,27,19,M,R,
12,0,training,53,27,0.6667171000008238,['c'],1,left,['8'],4,0.6035974000005808,[0.25738022],100.0,53,easy,control,colour,alpha,,,27,19,M,R,
13,0,training,36,44,1.5503227000008337,['c'],0,right,['3'],3,0.44507139999768697,[-0.00427879],47.0,44,hard,control,colour,alpha,,,27,19,M,R,
14,0,training,27,53,1.000017399997887,['n'],1,right,['9'],5,0.6664120999994338,[-0.2882101],100.0,53,easy,control,colour,alpha,,,27,19,M,R,
15,0,training,53,27,1.1334000999995624,['c'],1,left,['9'],5,0.5060412999991968,[0.1180519],95.0,53,easy,control,colour,alpha,,,27,19,M,R,
16,0,training,53,27,0.8504649999995308,['c'],1,left,['9'],5,0.5868439999976545,[0.13610288],96.0,53,easy,control,colour,alpha,,,27,19,M,R,
17,0,training,53,27,0.9495363000023644,['c'],1,left,['9'],5,0.8684439999997267,[0.31535191],100.0,53,easy,control,colour,alpha,,,27,19,M,R,
18,0,training,53,27,0.950528100001975,['c'],1,left,['3'],3,0.4349456999989343,[0.18275395],99.0,53,easy,control,colour,alpha,,,27,19,M,R,
19,0,training,36,44,0.9162953999984893,['n'],1,right,['8'],4,0.5006601999994018,[-0.08238944],89.0,44,hard,control,colour,alpha,,,27,19,M,R,
20,0,training,36,44,0.917037999999593,['n'],1,right,['8'],4,0.09944410000025528,[-0.04216404],92.0,44,hard,control,colour,alpha,,,27,19,M,R,
