withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,64,16,15.764775100000406,['n'],0,left,['3'],3,4.768205999999736,[1.08291626],1.0,64,letter,5,18,V,L,
1,0,training,23,57,4.432923399999709,['n'],1,right,['3'],3,5.575181500000326,[-0.76755593],95.0,57,letter,5,18,V,L,
2,0,training,64,16,2.6831584000001385,['n'],0,left,['8'],4,3.8272922000005565,[0.71337937],4.0,64,letter,5,18,V,L,
3,0,training,57,23,1.6997393999999986,['c'],1,left,['9'],5,1.9329103999998551,[0.31861793],89.0,57,letter,5,18,V,L,
4,0,training,16,64,2.449501699999928,['n'],1,right,['9'],5,1.5168641999998727,[-0.56570985],98.0,64,letter,5,18,V,L,
5,0,training,57,23,1.4329373999999007,['c'],1,left,['8'],4,1.9502304000006916,[0.2355933],82.0,57,letter,5,18,V,L,
6,0,training,49,31,1.6502206000004662,['c'],1,left,['8'],4,1.293764399999418,[-0.01728942],47.0,49,letter,5,18,V,L,
7,0,training,49,31,1.9331618999995044,['c'],1,left,['3'],3,1.5878191000001607,[0.35955963],93.0,49,letter,5,18,V,L,
8,0,training,16,64,1.0668043000005127,['n'],1,right,['9'],5,0.9447634999996808,[-0.22904095],89.0,64,letter,5,18,V,L,
9,0,training,23,57,3.1504275999996025,['c'],0,right,['3'],3,0.5411529000002702,[-0.01843725],44.0,57,letter,5,18,V,L,
10,0,training,16,64,1.2667270000001736,['n'],1,right,['0'],6,0.43622489999961545,[-0.06243522],70.0,64,letter,5,18,V,L,
11,0,training,57,23,1.3337114000005386,['n'],0,left,['8'],4,0.7168423000002804,[0.04461102],38.0,57,letter,5,18,V,L,
12,0,training,31,49,1.1167311999997764,['n'],1,right,['8'],4,0.41841500000009546,[-0.09685426],79.0,49,letter,5,18,V,L,
13,0,training,49,31,2.1845264000003226,['n'],0,left,['3'],3,0.778015900000355,[0.05601844],36.0,49,letter,5,18,V,L,
14,0,training,64,16,2.8831090000003314,['n'],0,left,['9'],5,1.223206100000425,[0.26964009],10.0,64,letter,5,18,V,L,
15,0,training,57,23,1.3492551999997886,['c'],1,left,['3'],3,0.5836017999999967,[0.11394944],79.0,57,letter,5,18,V,L,
16,0,training,49,31,1.3499234000000797,['c'],1,left,['3'],3,0.6655954999996538,[0.0663659],68.0,49,letter,5,18,V,L,
17,0,training,23,57,1.050080699999853,['n'],1,right,['8'],4,0.2528574000007211,[-0.07678756],80.0,57,letter,5,18,V,L,
18,0,training,23,57,1.017471099999966,['n'],1,right,['8'],4,0.46509640000022046,[-0.07945785],74.0,57,letter,5,18,V,L,
19,0,training,31,49,1.3328341000005821,['n'],1,right,['8'],4,0.1373648000007961,[-0.02853266],67.0,49,letter,5,18,V,L,
20,0,training,49,31,2.466960200000358,['n'],0,left,['8'],4,0.12892679999913526,[-0.0430041],75.0,49,letter,5,18,V,L,
21,0,training,23,57,2.9323739000001297,['c'],0,right,['2'],2,0.31833020000067336,[0.08985144],81.0,57,letter,5,18,V,L,
22,0,training,16,64,0.8829984000003606,['n'],1,right,['0'],6,0.4300002999998469,[-0.20200258],94.0,64,letter,5,18,V,L,
23,0,training,64,16,1.13333270000021,['c'],1,left,['2'],2,0.26299269999981334,[0.07072538],78.0,64,letter,5,18,V,L,
24,0,training,64,16,1.0002211999999417,['n'],0,left,['9'],5,0.38818259999970905,[0.08531735],23.0,64,letter,5,18,V,L,
