withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,33,47,1.9332756000000018,['c'],0,right,['3'],4,2.465668400000027,[-0.19451364],25.0,47,medium,minus,colour,alpha,,,12,18,V,R,
1,0,training,36,44,2.6832507000000305,['c'],0,right,['3'],4,5.497824499999979,[-0.45033053],15.0,44,hard,minus,colour,alpha,,,12,18,V,R,
2,0,training,47,33,1.450606300000004,['c'],1,left,['2'],5,0.6661024999999654,[0.16082653],85.0,47,medium,minus,colour,alpha,,,12,18,V,R,
3,0,training,33,47,1.6506837000000587,['n'],1,right,['9'],2,0.724684199999956,[-0.08619773],71.0,47,medium,minus,colour,alpha,,,12,18,V,R,
4,0,training,53,27,1.350447700000018,['c'],1,left,['2'],5,2.888987899999961,[0.54465024],95.0,53,easy,minus,colour,alpha,,,12,18,V,R,
5,0,training,44,36,1.8169915000000856,['c'],1,left,['3'],4,1.1077320999999074,[-0.08975286],32.0,44,hard,minus,colour,alpha,,,12,18,V,R,
6,0,training,36,44,1.5166249000000107,['n'],1,right,['9'],2,0.7868917000000692,[-0.25869875],93.0,44,hard,minus,colour,alpha,,,12,18,V,R,
7,0,training,27,53,5.066571700000054,['c'],0,right,['8'],3,1.0721735999999282,[-0.12136353],26.0,53,easy,minus,colour,alpha,,,12,18,V,R,
8,0,training,47,33,1.5832406999999193,['c'],1,left,['2'],5,0.6694217000000435,[0.07243257],69.0,47,medium,minus,colour,alpha,,,12,18,V,R,
9,0,training,27,53,1.8992331000000604,['n'],1,right,['2'],5,2.4292120999999725,[-0.45920117],93.0,53,easy,minus,colour,alpha,,,12,18,V,R,
10,0,training,27,53,1.4005246000000398,['n'],1,right,['2'],5,4.539273999999978,[-1.04908386],99.0,53,easy,minus,colour,alpha,,,12,18,V,R,
11,0,training,36,44,1.0170593999999937,['c'],0,right,['2'],5,0.6434310999999298,[-0.04556626],37.0,44,hard,minus,colour,alpha,,,12,18,V,R,
12,0,training,33,47,1.1672333000000208,['n'],1,right,['2'],5,0.3066317000000254,[-0.12962531],89.0,47,medium,minus,colour,alpha,,,12,18,V,R,
13,0,training,44,36,1.5335694999999987,['c'],1,left,['1'],6,0.7846792999999934,[0.21205883],90.0,44,hard,minus,colour,alpha,,,12,18,V,R,
14,0,training,47,33,2.199976099999958,['c'],1,left,['2'],5,1.1681656999999177,[0.0265492],56.0,47,medium,minus,colour,alpha,,,12,18,V,R,
15,0,training,47,33,1.2164314000000331,['c'],1,left,['2'],5,0.45586070000001655,[0.15459987],89.0,47,medium,minus,colour,alpha,,,12,18,V,R,
16,0,training,53,27,1.0169297999999571,['c'],1,left,['1'],6,1.1883272000000034,[0.1609616],79.0,53,easy,minus,colour,alpha,,,12,18,V,R,
17,0,training,36,44,1.65044249999994,['n'],1,right,['3'],4,1.6741737999999486,[-0.2543999],85.0,44,hard,minus,colour,alpha,,,12,18,V,R,
18,0,training,36,44,1.0826500999999098,['n'],1,right,['2'],5,0.850674099999992,[-0.14277563],80.0,44,hard,minus,colour,alpha,,,12,18,V,R,
19,0,training,47,33,1.8995530000000826,['c'],1,left,['2'],5,0.859835799999928,[0.18523048],86.0,47,medium,minus,colour,alpha,,,12,18,V,R,
20,0,training,27,53,1.1500247000000172,['n'],1,right,['1'],6,0.37101350000000366,[-0.1615181],92.0,53,easy,minus,colour,alpha,,,12,18,V,R,
21,0,training,47,33,1.0334310000000642,['c'],1,left,['1'],6,0.5300492999999733,[0.04972899],65.0,47,medium,minus,colour,alpha,,,12,18,V,R,
22,0,training,33,47,2.066571100000033,['n'],1,right,['2'],5,1.0419449999999415,[-0.12343767],75.0,47,medium,minus,colour,alpha,,,12,18,V,R,
23,0,training,53,27,1.0155155999999579,['c'],1,left,['1'],6,0.27896099999998114,[0.00404773],52.0,53,easy,minus,colour,alpha,,,12,18,V,R,
24,0,training,53,27,0.9331431000000521,['c'],1,left,['1'],6,0.3500209999999697,[0.07608233],76.0,53,easy,minus,colour,alpha,,,12,18,V,R,
25,0,training,53,27,0.8497926000000007,['c'],1,left,['1'],6,0.8058426000000054,[0.3295796],96.0,53,easy,minus,colour,alpha,,,12,18,V,R,
26,0,training,33,47,0.8835027999999738,['n'],1,right,['2'],5,0.3293178999999782,[-0.01766026],57.0,47,medium,minus,colour,alpha,,,12,18,V,R,
