withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,36,44,4.216812399999981,['n'],1,right,['3'],3,6.59970850000002,[-0.32547203],91.0,44,hard,control,colour,alpha,,,9,18,M,R,
1,0,training,33,47,4.333921099999998,['c'],0,right,['8'],4,4.480164800000011,[-0.99948342],0.0,47,medium,control,colour,alpha,,,9,18,M,R,
2,0,training,33,47,1.9671347000000878,['n'],1,right,['3'],3,3.0051313000000164,[-0.7911032],100.0,47,medium,control,colour,alpha,,,9,18,M,R,
3,0,training,36,44,3.1660578999999416,['n'],1,right,['2'],2,1.8292334999999866,[-0.09979845],79.0,44,hard,control,colour,alpha,,,9,18,M,R,
4,0,training,44,36,1.9334441999999399,['c'],1,left,['9'],5,1.397779700000001,[0.24262349],98.0,44,hard,control,colour,alpha,,,9,18,M,R,
5,0,training,36,44,4.681828600000017,['c'],0,right,['3'],3,1.8664033999999674,[-0.03436704],39.0,44,hard,control,colour,alpha,,,9,18,M,R,
6,0,training,53,27,1.5508934000000636,['c'],1,left,['9'],5,1.184482800000069,[0.34381852],100.0,53,easy,control,colour,alpha,,,9,18,M,R,
7,0,training,47,33,4.082715900000039,['c'],1,left,['2'],2,2.6851798000000144,[0.38792003],99.0,47,medium,control,colour,alpha,,,9,18,M,R,
8,0,training,27,53,1.5667792000000418,['n'],1,right,['3'],3,0.833785599999942,[-0.35429823],100.0,53,easy,control,colour,alpha,,,9,18,M,R,
9,0,training,44,36,1.315827200000058,['c'],1,left,['9'],5,0.6187402000000475,[-0.10323401],9.0,44,hard,control,colour,alpha,,,9,18,M,R,
10,0,training,53,27,1.1835002000000259,['c'],1,left,['0'],6,2.4418126999999004,[0.26203765],95.0,53,easy,control,colour,alpha,,,9,18,M,R,
11,0,training,36,44,1.5994450000000597,['c'],0,right,['8'],4,2.030842699999994,[0.06528799],70.0,44,hard,control,colour,alpha,,,9,18,M,R,
12,0,training,47,33,1.800297999999998,['c'],1,left,['2'],2,1.0131355999999414,[0.35070858],100.0,47,medium,control,colour,alpha,,,9,18,M,R,
13,0,training,27,53,4.149729199999911,['n'],1,right,['9'],5,1.054366899999991,[-0.30693685],100.0,53,easy,control,colour,alpha,,,9,18,M,R,
14,0,training,53,27,1.4830785000000333,['c'],1,left,['0'],6,0.8961870000000545,[0.24840335],99.0,53,easy,control,colour,alpha,,,9,18,M,R,
15,0,training,27,53,1.1005375000000868,['n'],1,right,['9'],5,0.9198739000000842,[-0.24674576],99.0,53,easy,control,colour,alpha,,,9,18,M,R,
16,0,training,47,33,1.1343564000001152,['c'],1,left,['0'],6,1.3488944000000629,[0.12111606],87.0,47,medium,control,colour,alpha,,,9,18,M,R,
17,0,training,44,36,1.3175209000000905,['n'],0,left,['9'],5,1.2013293999998496,[-0.17347455],95.0,44,hard,control,colour,alpha,,,9,18,M,R,
18,0,training,53,27,1.250942299999906,['c'],1,left,['0'],6,0.9028102000002036,[0.19512739],98.0,53,easy,control,colour,alpha,,,9,18,M,R,
19,0,training,47,33,1.7828793000001042,['c'],1,left,['0'],6,0.7707421000000068,[0.26134936],100.0,47,medium,control,colour,alpha,,,9,18,M,R,
20,0,training,33,47,1.083338299999923,['n'],1,right,['9'],5,1.4556334999999763,[-0.43185758],100.0,47,medium,control,colour,alpha,,,9,18,M,R,
21,0,training,53,27,0.9831623000000036,['c'],1,left,['0'],6,0.6294020999998793,[-0.03607977],31.0,53,easy,control,colour,alpha,,,9,18,M,R,
22,0,training,27,53,1.8837817999999515,['n'],1,right,['0'],6,1.0725042999999914,[-0.36959583],100.0,53,easy,control,colour,alpha,,,9,18,M,R,
23,0,training,44,36,3.0163857000000007,['c'],1,left,['9'],5,0.47617960000002313,[0.00600128],54.0,44,hard,control,colour,alpha,,,9,18,M,R,
24,0,training,47,33,2.701650900000004,['c'],1,left,['8'],4,3.0607027999999445,[0.25286172],93.0,47,medium,control,colour,alpha,,,9,18,M,R,
25,0,training,53,27,1.2336600999999519,['c'],1,left,['9'],5,0.6957007000000885,[0.14036214],95.0,53,easy,control,colour,alpha,,,9,18,M,R,
26,0,training,36,44,4.583602299999939,['n'],1,right,['3'],3,1.4365254000001642,[-0.09650921],81.0,44,hard,control,colour,alpha,,,9,18,M,R,
27,0,training,33,47,1.5328480999999101,['n'],1,right,['8'],4,1.8927656999999272,[-0.29894986],98.0,47,medium,control,colour,alpha,,,9,18,M,R,
28,0,training,36,44,2.867060199999969,['n'],1,right,['9'],5,2.349618899999996,[-0.29007957],97.0,44,hard,control,colour,alpha,,,9,18,M,R,
29,0,training,44,36,2.649906000000101,['c'],1,left,['8'],4,3.693102000000181,[0.33316221],96.0,44,hard,control,colour,alpha,,,9,18,M,R,
