withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
0,0,training,47,33,4.09956880000027,['n'],0,left,['8'],3,7.364681399999881,[1.41422864],0.0,47,medium,plus,colour,alpha,6,19,V,R,
1,0,training,27,53,3.0332715999998072,['c'],0,right,['2'],5,4.9861769999997705,[-1.01278502],0.0,53,easy,plus,colour,alpha,6,19,V,R,
2,0,training,27,53,6.716453600000023,['n'],1,right,['3'],4,7.469022900000255,[-1.480759],100.0,53,easy,plus,colour,alpha,6,19,V,R,
3,0,training,27,53,3.0333003999999164,['n'],1,right,['3'],4,5.310917899999822,[-1.30241211],100.0,53,easy,plus,colour,alpha,6,19,V,R,
4,0,training,47,33,1.86649239999997,['c'],1,left,['3'],4,4.534022399999685,[0.93776914],100.0,47,medium,plus,colour,alpha,6,19,V,R,
5,0,training,44,36,1.866529399999763,['c'],1,left,['2'],5,3.964262399999825,[0.23642735],99.0,44,hard,plus,colour,alpha,6,19,V,R,
6,0,training,33,47,1.367045599999983,['n'],1,right,['3'],4,6.494145600000138,[-0.64117079],100.0,47,medium,plus,colour,alpha,6,19,V,R,
7,0,training,44,36,2.2173844000003555,['c'],1,left,['2'],5,4.215840399999706,[0.44143062],100.0,44,hard,plus,colour,alpha,6,19,V,R,
8,0,training,33,47,3.2501625999998396,['c'],0,right,['8'],3,1.9718634000000748,[-0.08435621],10.0,47,medium,plus,colour,alpha,6,19,V,R,
9,0,training,36,44,9.432935499999985,['c'],0,right,['9'],2,3.4283414000001358,[-0.05778165],25.0,44,hard,plus,colour,alpha,6,19,V,R,
10,0,training,36,44,3.099537000000055,['n'],1,right,['8'],3,6.7737944000000425,[-0.32192916],99.0,44,hard,plus,colour,alpha,6,19,V,R,
11,0,training,33,47,4.649879600000077,['n'],1,right,['8'],3,4.147524500000145,[-0.75795762],100.0,47,medium,plus,colour,alpha,6,19,V,R,
12,0,training,47,33,1.6830823000000237,['c'],1,left,['1'],6,1.0412532999998803,[0.06213381],90.0,47,medium,plus,colour,alpha,6,19,V,R,
13,0,training,44,36,4.6829084999999395,['n'],0,left,['2'],5,1.6678598000003149,[0.15265343],1.0,44,hard,plus,colour,alpha,6,19,V,R,
14,0,training,44,36,6.316254199999548,['c'],1,left,['3'],4,5.5800216000002365,[0.35032612],100.0,44,hard,plus,colour,alpha,6,19,V,R,
15,0,training,53,27,0.9836911999996119,['c'],1,left,['2'],5,2.123750799999925,[0.47827063],100.0,53,easy,plus,colour,alpha,6,19,V,R,
16,0,training,53,27,1.5001541000001453,['c'],1,left,['2'],5,2.9457582,[0.62208725],100.0,53,easy,plus,colour,alpha,6,19,V,R,
17,0,training,44,36,2.3499947000000247,['n'],0,left,['8'],3,2.3735650999997233,[0.14615785],3.0,44,hard,plus,colour,alpha,6,19,V,R,
18,0,training,27,53,1.7501204999998663,['n'],1,right,['1'],6,5.095238799999606,[-1.11979273],100.0,53,easy,plus,colour,alpha,6,19,V,R,
19,0,training,47,33,1.1496204000000034,['c'],1,left,['1'],6,0.8998590000001059,[0.35966983],100.0,47,medium,plus,colour,alpha,6,19,V,R,
20,0,training,33,47,6.582834300000286,['c'],0,right,['2'],5,1.8403305000001637,[-0.3018503],0.0,47,medium,plus,colour,alpha,6,19,V,R,
21,0,training,47,33,7.015768599999774,['n'],0,left,['3'],4,2.037714199999755,[0.37069144],0.0,47,medium,plus,colour,alpha,6,19,V,R,
22,0,training,53,27,1.2671148000003996,['c'],1,left,['2'],5,1.9289260000000468,[0.42757975],100.0,53,easy,plus,colour,alpha,6,19,V,R,
23,0,training,36,44,3.399095500000385,['n'],1,right,['8'],3,1.802883600000314,[-0.09519497],93.0,44,hard,plus,colour,alpha,6,19,V,R,
24,0,training,33,47,5.282583199999863,['c'],0,right,['3'],4,1.9753407999996853,[-0.17063525],1.0,47,medium,plus,colour,alpha,6,19,V,R,
25,0,training,33,47,1.1505518000003576,['n'],1,right,['8'],3,2.60922759999994,[-0.51787624],100.0,47,medium,plus,colour,alpha,6,19,V,R,
26,0,training,36,44,3.666469700000107,['c'],0,right,['8'],3,2.4773004999997283,[-0.03310965],32.0,44,hard,plus,colour,alpha,6,19,V,R,
