withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,27,53,2.083056700000043,['n'],1,right,['8'],4,3.323654099999999,[-0.87436298],99.0,53,easy,minus,colour,alpha,,,39,19,M,R,
1,0,training,47,33,1.000018999999952,['c'],1,left,['0'],6,1.3809872000000496,[0.42473693],96.0,47,medium,minus,colour,alpha,,,39,19,M,R,
2,0,training,44,36,1.5997679000000744,['n'],0,left,['9'],5,0.8687595000000101,[-0.18936904],86.0,44,hard,minus,colour,alpha,,,39,19,M,R,
3,0,training,53,27,1.0660296999999446,['c'],1,left,['8'],4,1.0867059000000836,[0.18122228],83.0,53,easy,minus,colour,alpha,,,39,19,M,R,
4,0,training,53,27,1.0329371999999921,['c'],1,left,['9'],5,1.0089953000000378,[0.25485321],91.0,53,easy,minus,colour,alpha,,,39,19,M,R,
5,0,training,44,36,0.9002062000000706,['c'],1,left,['9'],5,1.132360100000028,[0.1548741],79.0,44,hard,minus,colour,alpha,,,39,19,M,R,
6,0,training,36,44,0.7674955999999611,['n'],1,right,['0'],6,0.8396525000000565,[-0.08382965],69.0,44,hard,minus,colour,alpha,,,39,19,M,R,
7,0,training,47,33,1.0503719999999248,['c'],1,left,['3'],3,0.5315177999999605,[0.1566337],87.0,47,medium,minus,colour,alpha,,,39,19,M,R,
8,0,training,33,47,0.8330395000000408,['n'],1,right,['9'],5,0.4684140000000525,[-0.03038077],60.0,47,medium,minus,colour,alpha,,,39,19,M,R,
9,0,training,53,27,0.6830717999999933,['c'],1,left,['9'],5,0.5894776000000093,[0.11820676],80.0,53,easy,minus,colour,alpha,,,39,19,M,R,
10,0,training,33,47,1.6160120000000688,['n'],1,right,['0'],6,0.38066349999996874,[0.02985893],39.0,47,medium,minus,colour,alpha,,,39,19,M,R,
11,0,training,47,33,0.6833696999999574,['c'],1,left,['9'],5,0.2817484999999351,[0.11350389],87.0,47,medium,minus,colour,alpha,,,39,19,M,R,
12,0,training,44,36,1.4838698999999451,['n'],0,left,['9'],5,0.6346091000000342,[-0.05524386],65.0,44,hard,minus,colour,alpha,,,39,19,M,R,
13,0,training,36,44,2.099997799999983,['c'],0,right,['8'],4,0.676788199999919,[-0.01380253],46.0,44,hard,minus,colour,alpha,,,39,19,M,R,
