withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,62,18,12.38161140000011,['n'],0,left,['8'],4,5.637892499999907,[0.60140564],1.0,62,shape,1,18,V,R,
1,0,training,18,62,5.482926000000589,['c'],0,right,['3'],3,3.0715400999997655,[-0.6840538],0.0,62,shape,1,18,V,R,
2,0,training,57,23,4.33386580000024,['c'],1,left,['8'],4,4.782680199999959,[0.73740776],100.0,57,shape,1,18,V,R,
3,0,training,49,31,3.1334194000000934,['n'],0,left,['3'],3,4.552793900000324,[0.04555839],41.0,49,shape,1,18,V,R,
4,0,training,62,18,2.499101999999766,['c'],1,left,['8'],4,4.2294027999996615,[0.67810749],100.0,62,shape,1,18,V,R,
5,0,training,23,57,2.8495500999997603,['n'],1,right,['8'],4,4.353336600000148,[-0.44916822],98.0,57,shape,1,18,V,R,
6,0,training,18,62,1.750071299999945,['n'],1,right,['9'],5,0.6597615999999107,[-0.22143365],99.0,62,shape,1,18,V,R,
7,0,training,49,31,1.9832754999997633,['c'],1,left,['8'],4,1.538091400000667,[0.21897095],96.0,49,shape,1,18,V,R,
8,0,training,62,18,1.6665063999998893,['c'],1,left,['9'],5,0.4409282999995412,[0.20881679],100.0,62,shape,1,18,V,R,
9,0,training,31,49,1.815915799999857,['n'],1,right,['8'],4,1.4143627999992532,[-0.20473258],96.0,49,shape,1,18,V,R,
10,0,training,31,49,2.0006640999999945,['c'],0,right,['3'],3,4.532988999999361,[-0.05255598],39.0,49,shape,1,18,V,R,
11,0,training,57,23,1.9833135999997467,['c'],1,left,['8'],4,1.143702200000007,[0.29263401],99.0,57,shape,1,18,V,R,
12,0,training,23,57,2.916888900000231,['c'],0,right,['3'],3,0.22094160000051488,[0.06400946],92.0,57,shape,1,18,V,R,
13,0,training,49,31,2.1667431999994733,['c'],1,left,['8'],4,0.5006966999999349,[0.10930319],94.0,49,shape,1,18,V,R,
14,0,training,18,62,1.8501639000005525,['n'],1,right,['8'],4,0.9587617000006503,[-0.23433881],99.0,62,shape,1,18,V,R,
15,0,training,57,23,2.3502503999998225,['c'],1,left,['8'],4,1.1223806000007244,[0.25302059],99.0,57,shape,1,18,V,R,
16,0,training,49,31,1.9833580000004076,['n'],0,left,['3'],3,0.3175031000000672,[0.0777929],8.0,49,shape,1,18,V,R,
17,0,training,31,49,1.8836396999995486,['c'],0,right,['8'],4,1.7091287999992346,[-0.00358914],49.0,49,shape,1,18,V,R,
18,0,training,31,49,2.033593999999539,['c'],0,right,['3'],3,2.7673148000003494,[0.12132638],79.0,49,shape,1,18,V,R,
19,0,training,49,31,2.333671299999878,['c'],1,left,['9'],5,0.7137609000001248,[0.08073088],85.0,49,shape,1,18,V,R,
20,0,training,49,31,1.583317600000555,['c'],1,left,['9'],5,0.3090449000001172,[0.14459601],99.0,49,shape,1,18,V,R,
21,0,training,18,62,2.3500853999994433,['n'],1,right,['8'],4,1.4742543000002115,[-0.19023464],94.0,62,shape,1,18,V,R,
22,0,training,62,18,3.1326108000002932,['c'],1,left,['9'],5,0.22591990000000806,[0.08485276],96.0,62,shape,1,18,V,R,
