withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,31,49,8.527482199999213,['n'],1,right,['8'],3,6.727897899999334,[-0.55855577],87.0,49,shape,4,18,M,R,
1,0,training,31,49,4.105272299999342,['c'],0,right,['3'],4,0.7957371999991665,[-0.09913066],27.0,49,shape,4,18,M,R,
2,0,training,62,18,3.523223700000017,['n'],0,left,['8'],3,1.6399356000001717,[0.12109634],30.0,62,shape,4,18,M,R,
3,0,training,31,49,3.005810499999825,['c'],0,right,['3'],4,2.084674100000484,[0.22184418],80.0,49,shape,4,18,M,R,
4,0,training,31,49,1.957380199999534,['c'],0,right,['8'],3,0.6996666999993977,[0.05357707],64.0,49,shape,4,18,M,R,
5,0,training,62,18,1.785496200000125,['n'],0,left,['8'],3,0.6563965000004828,[-0.00492444],51.0,62,shape,4,18,M,R,
6,0,training,18,62,1.744166999999834,['n'],1,right,['8'],3,0.42499249999946187,[-0.13905944],87.0,62,shape,4,18,M,R,
7,0,training,18,62,1.8127570000006017,['n'],1,right,['8'],3,0.3910968000000139,[-0.13438851],87.0,62,shape,4,18,M,R,
8,0,training,23,57,1.39772449999964,['c'],0,right,['3'],4,0.3427624999994805,[-0.04403709],34.0,57,shape,4,18,M,R,
9,0,training,57,23,1.429192100000364,['c'],1,left,['8'],3,0.5358333000003768,[0.0844834],74.0,57,shape,4,18,M,R,
10,0,training,62,18,1.7205642999997508,['c'],1,left,['8'],3,0.3909249999996973,[0.1782691],93.0,62,shape,4,18,M,R,
11,0,training,49,31,2.1761656999997285,['c'],1,left,['2'],5,3.3681777000001603,[0.27620364],79.0,49,shape,4,18,M,R,
12,0,training,18,62,1.3477913000006083,['n'],1,right,['8'],3,0.7705727000002298,[-0.16395307],84.0,62,shape,4,18,M,R,
13,0,training,57,23,1.1324549999999363,['c'],1,left,['3'],4,1.1175793000002159,[0.19119365],84.0,57,shape,4,18,M,R,
