withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,16,64,4.366123000000016,['c'],0,right,['3'],3,6.085943099999895,[-1.34786628],0.0,64,easy,control,letter,alpha,,,29,20,V,R,
1,0,training,49,31,3.249256800000012,['n'],0,left,['8'],4,5.910979200000156,[0.82045726],0.0,49,hard,control,letter,alpha,,,29,20,V,R,
2,0,training,16,64,3.5828283999999258,['n'],1,right,['9'],5,3.2982535999999527,[-0.50166685],99.0,64,easy,control,letter,alpha,,,29,20,V,R,
3,0,training,16,64,1.5990292999999838,['n'],1,right,['8'],4,1.2213899999999285,[-0.21886208],97.0,64,easy,control,letter,alpha,,,29,20,V,R,
4,0,training,31,49,2.1493551000000934,['n'],1,right,['8'],4,2.8060826000000816,[-0.33477689],97.0,49,hard,control,letter,alpha,,,29,20,V,R,
5,0,training,31,49,2.4492513999998664,['n'],1,right,['8'],4,1.5945357999999032,[-0.30887258],99.0,49,hard,control,letter,alpha,,,29,20,V,R,
6,0,training,23,57,1.916363600000068,['n'],1,right,['3'],3,4.7414830000000165,[-0.63000144],99.0,57,medium,control,letter,alpha,,,29,20,V,R,
7,0,training,31,49,2.8163747999999487,['n'],1,right,['8'],4,1.1668530000001738,[-0.07366655],77.0,49,hard,control,letter,alpha,,,29,20,V,R,
8,0,training,23,57,4.5839921000001596,['c'],0,right,['3'],3,1.1044223999999758,[-0.20439489],3.0,57,medium,control,letter,alpha,,,29,20,V,R,
9,0,training,64,16,1.7494996000000356,['c'],1,left,['9'],5,1.3015883999999005,[0.41863096],100.0,64,easy,control,letter,alpha,,,29,20,V,R,
10,0,training,57,23,4.082457199999908,['c'],1,left,['8'],4,1.4137511000001268,[0.11087765],84.0,57,medium,control,letter,alpha,,,29,20,V,R,
11,0,training,49,31,2.7167950000000474,['c'],1,left,['8'],4,1.271916800000099,[0.27457168],99.0,49,hard,control,letter,alpha,,,29,20,V,R,
12,0,training,49,31,1.1002680999999939,['n'],0,left,['9'],5,1.8407317999999577,[0.13059139],15.0,49,hard,control,letter,alpha,,,29,20,V,R,
13,0,training,49,31,1.6002942999998595,['c'],1,left,['9'],5,1.5021962000000713,[0.42738803],100.0,49,hard,control,letter,alpha,,,29,20,V,R,
14,0,training,64,16,7.166401499999893,['n'],0,left,['3'],3,1.4042651000002024,[0.21832218],4.0,64,easy,control,letter,alpha,,,29,20,V,R,
15,0,training,64,16,6.515472499999987,['c'],1,left,['2'],2,1.1433517000000393,[0.26512888],99.0,64,easy,control,letter,alpha,,,29,20,V,R,
16,0,training,31,49,1.6994846999998572,['n'],1,right,['8'],4,0.5246128999999655,[0.02643252],34.0,49,hard,control,letter,alpha,,,29,20,V,R,
17,0,training,57,23,6.598950699999932,['n'],0,left,['1'],1,1.4317180999998982,[-0.02110441],58.0,57,medium,control,letter,alpha,,,29,20,V,R,
18,0,training,49,31,3.766180200000008,['c'],1,left,['8'],4,2.2554473000000144,[0.22068181],93.0,49,hard,control,letter,alpha,,,29,20,V,R,
19,0,training,16,64,0.9160091999999622,['n'],1,right,['9'],5,1.1597251999999116,[-0.35760214],100.0,64,easy,control,letter,alpha,,,29,20,V,R,
20,0,training,64,16,1.2676426999998966,['c'],1,left,['0'],6,3.0863661000000775,[0.56791852],100.0,64,easy,control,letter,alpha,,,29,20,V,R,
21,0,training,64,16,1.4003476999998838,['c'],1,left,['9'],5,1.29797120000012,[0.41529357],100.0,64,easy,control,letter,alpha,,,29,20,V,R,
22,0,training,23,57,1.133023299999877,['n'],1,right,['0'],6,2.167812599999934,[-0.24852023],95.0,57,medium,control,letter,alpha,,,29,20,V,R,
23,0,training,31,49,6.232252999999901,['n'],1,right,['8'],4,1.375436499999978,[0.09813637],18.0,49,hard,control,letter,alpha,,,29,20,V,R,
24,0,training,57,23,1.6663911999999073,['c'],1,left,['9'],5,1.5174690999999711,[0.15670515],91.0,57,medium,control,letter,alpha,,,29,20,V,R,
25,0,training,23,57,1.049896500000159,['n'],1,right,['9'],5,0.4301136999999926,[-0.16476257],99.0,57,medium,control,letter,alpha,,,29,20,V,R,
26,0,training,31,49,2.132921699999997,['n'],1,right,['8'],4,0.5915238000000045,[-0.00649334],54.0,49,hard,control,letter,alpha,,,29,20,V,R,
27,0,training,16,64,1.01622569999995,['n'],1,right,['9'],5,0.5663068000001203,[-0.14713279],97.0,64,easy,control,letter,alpha,,,29,20,V,R,
28,0,training,57,23,1.2328794000000016,['c'],1,left,['9'],5,0.45453120000001945,[0.05108571],80.0,57,medium,control,letter,alpha,,,29,20,V,R,
29,0,training,64,16,0.9826809999999568,['c'],1,left,['0'],6,0.2763308999999481,[0.13697235],99.0,64,easy,control,letter,alpha,,,29,20,V,R,
30,0,training,16,64,0.9166179000001193,['n'],1,right,['0'],6,0.49209589999986747,[-0.02859484],68.0,64,easy,control,letter,alpha,,,29,20,V,R,
31,0,training,57,23,1.015933700000005,['c'],1,left,['0'],6,1.0632826000000932,[0.20688147],97.0,57,medium,control,letter,alpha,,,29,20,V,R,
32,0,training,57,23,1.482906899999989,['c'],1,left,['8'],4,0.4719735999999557,[0.06539765],85.0,57,medium,control,letter,alpha,,,29,20,V,R,
33,0,training,23,57,2.2669639999999163,['c'],0,right,['9'],5,2.881740400000126,[-0.01270296],47.0,57,medium,control,letter,alpha,,,29,20,V,R,
34,0,training,49,31,2.0327916999999616,['c'],1,left,['3'],3,0.4210710999998355,[-0.02357707],34.0,49,hard,control,letter,alpha,,,29,20,V,R,
35,0,training,23,57,1.2837918000000172,['n'],1,right,['9'],5,0.5041590999999244,[-0.11029273],94.0,57,medium,control,letter,alpha,,,29,20,V,R,
0,1,training,64,16,1.0331142,['c'],1,left,['9'],5,1.4470424999999523,[0.38618398],100.0,64,easy,control,letter,alpha,,,29,20,V,R,
1,1,training,31,49,1.2164378999998462,['n'],1,right,['9'],5,1.1399426000000403,[0.01158369],45.0,49,hard,control,letter,alpha,,,29,20,V,R,
2,1,training,16,64,1.6502093000001423,['c'],0,right,['3'],3,1.2279410000001008,[-0.16322865],7.0,64,easy,control,letter,alpha,,,29,20,V,R,
